Swedish_Lemma,English_Lemma,Chinese_Lemma,POS
längs,along,沿着,ADP
löfte,promise,承诺,NOUN
medborgare,citizen,公民,NOUN
meddela,inform,通知,VERB
medveten,aware,意识到的,ADJ
militär,military,军事的,ADJ
mirakel,miracle,奇迹,NOUN
missförstånd,misunderstanding,误解,NOUN
misslyckas,fail,失败,VERB
misstänka,suspect,怀疑,VERB
mod,courage,勇气,NOUN
motiv,motive,动机,NOUN
myndighet,authority,当局,NOUN
mänsklig,human,人类的,ADJ
mästare,master,大师,NOUN
nedför,down,向下,ADP
norrut,northward,向北,ADV
berusad,drunk,醉的,ADJ
nuförtiden,nowadays,如今,ADV
beröm,praise,赞美,NOUN
nunna,nun,修女,NOUN
närvarande,present,出席的,ADJ
officiell,official,官方的,ADJ
olycklig,unhappy,不快乐的,ADJ
organisation,organization,组织,NOUN
oroad,worried,担忧的,ADJ
orsaka,cause,导致,VERB
orättvis,unfair,不公平的,ADJ
otur,bad luck,厄运,NOUN
oviktig,unimportant,不重要的,ADJ
passera,pass,经过,VERB
personligen,personally,亲自地,ADV
personligt,personal,个人的,ADJ
pinsam,embarrassing,令人尴尬的,ADJ
pipa,pipe,管子,NOUN
placera,place,放置,VERB
politiker,politician,政治家,NOUN
port,gate,大门,NOUN
pressa,press,按压,VERB
princip,principle,原则,NOUN
pröva,try,尝试,VERB
pund,pound,英镑,NOUN
påminna,remind,提醒,VERB
påverka,affect,影响,VERB
rapportera,report,报告,VERB
reaktion,reaction,反应,NOUN
rejält,considerably,相当大地,ADV
relation,relationship,关系,NOUN
representera,represent,代表,VERB
resurs,resource,资源,NOUN
riktning,direction,方向,NOUN
riskera,risk,冒风险,VERB
rumskamrat,roommate,室友,NOUN
rutin,routine,常规,NOUN
rykte,rumor,传闻,NOUN
rymd,space,太空,NOUN
ryss,Russian,俄罗斯人,NOUN
räknas,be counted,被算作,VERB
rättighet,right,权利,NOUN
rättvis,fair,公平的,ADJ
rån,robbery,抢劫,NOUN
rörelse,movement,运动,NOUN
samarbeta,cooperate,合作,VERB
samband,connection,联系,NOUN
samhälle,society,社会,NOUN
samlas,gather,聚集,VERB
samling,collection,收集,NOUN
satsa,bet,下注,VERB
schysst,fair,公平的,ADJ
seger,victory,胜利,NOUN
sekreterare,secretary,秘书,NOUN
seriös,serious,严肃的,ADJ
singel,single,单曲,NOUN
sinne,mind,心智,NOUN
sistone,recently,最近,ADV
sjuka,the sick,病人,NOUN
skatt,tax,税,NOUN
skilja,separate,分离,VERB
skilsmässa,divorce,离婚,NOUN
skinn,skin,皮肤,NOUN
skjuts,ride,搭车,NOUN
skrämma,scare,惊吓,VERB
skrämmande,frightening,令人害怕的,ADJ
skugga,shadow,阴影,NOUN
skum,shady,可疑的,ADJ
skylla,blame,责怪,VERB
skälla,bark,吠,VERB
skämmas,be ashamed,感到羞耻,VERB
skådespelerska,actress,女演员,NOUN
slav,slave,奴隶,NOUN
slutligen,finally,最后,ADV
slösa,waste,浪费,VERB
snett,diagonally,对角地,ADV
sno,steal,偷,VERB
snubbe,guy,家伙,NOUN
snut,cop,警察,NOUN
sorg,sorrow,悲伤,NOUN
sorgligt,sadly,悲伤地,ADV
sparkad,fired,被解雇的,ADJ
spendera,spend,花费,VERB
spion,spy,间谍,NOUN
sprida,spread,传播,VERB
sprit,liquor,烈酒,NOUN
bås,booth,隔栏,NOUN
spränga,blow up,爆炸,VERB
spänna,tighten,拉紧,VERB
stackare,poor devil,可怜虫,NOUN
staket,fence,栅栏,NOUN
stat,state,国家,NOUN
stig,path,小径,NOUN
stiga,rise,上升,VERB
stilig,handsome,英俊的,ADJ
straff,punishment,惩罚,NOUN
strunt,nonsense,废话,NOUN
strunta,not care,不在乎,VERB
strålande,radiant,辉煌的,ADJ
ström,current,水流,NOUN
stulen,stolen,被偷的,ADJ
stämma,sue,起诉,VERB
ständigt,constantly,不断地,ADV
suga,suck,吸,VERB
svartsjuk,jealous,嫉妒的,ADJ
sväng,turn,转弯,NOUN
syfte,purpose,目的,NOUN
syn,sight,视力,NOUN
sänka,lower,降低,VERB
sår,wound,伤口,NOUN
såra,hurt,伤害,VERB
sårad,wounded,受伤的,ADJ
söderut,southward,向南,ADV
sömn,sleep,睡眠,NOUN
tacksam,grateful,感激的,ADJ
takt,pace,节奏,NOUN
talang,talent,天赋,NOUN
teknik,technology,技术,NOUN
tekniskt,technically,技术上地,ADV
teori,theory,理论,NOUN
tjänare,servant,仆人,NOUN
tomt,plot,地块,NOUN
ton,tone,语气,NOUN
torn,tower,塔,NOUN
trubbel,trouble,麻烦,NOUN
träff,meeting,会面,NOUN
tråd,thread,线,NOUN
tröttna,tire,疲倦,VERB
tvingas,be forced,被迫,VERB
tvärtom,on the contrary,相反,ADV
tystnad,silence,沉默,NOUN
tåla,tolerate,忍受,VERB
tålamod,patience,耐心,NOUN
underligt,strangely,奇怪地,ADV
undersöka,investigate,调查,VERB
ungdom,youth,青年,NOUN
uppenbar,obvious,明显的,ADJ
uppgift,task,任务,NOUN
uppleva,experience,体验,VERB
upprepa,repeat,重复,VERB
uppskatta,appreciate,欣赏,VERB
upptäckt,discovery,发现,NOUN
utbildning,education,教育,NOUN
utifrån,from,从,ADP
utrustning,equipment,设备,NOUN
vakta,guard,看守,VERB
vampyr,vampire,吸血鬼,NOUN
vana,habit,习惯,NOUN
vanligtvis,usually,通常,ADV
varna,warn,警告,VERB
vars,whose,谁的,PRON
cocktail,cocktail,鸡尾酒,NOUN
verk,work,作品,NOUN
verktyg,tool,工具,NOUN
villig,willing,愿意的,ADJ
vilse,astray,迷路,ADJ
vittne,witness,证人,NOUN
vänlighet,kindness,善良,NOUN
vänskap,friendship,友谊,NOUN
värde,value,价值,NOUN
värdelös,worthless,无价值的,ADJ
ägare,owner,所有者,NOUN
älskare,lover,情人,NOUN
ängel,angel,天使,NOUN
äventyr,adventure,冒险,NOUN
ångra,regret,后悔,VERB
åsikt,opinion,意见,NOUN
åter,again,再次,ADV
önskan,wish,愿望,NOUN
allesammans,everybody together,大家全体,PRON
avgiftsfri,free of charge,免费的,ADJ
behärskning,self-control,克制,NOUN
beträffande,regarding,关于,ADP
bolån,mortgage,房贷,NOUN
deklarera,file your taxes,报税,VERB
finanspolitik,fiscal policy,财政政策,NOUN
förälska,fall in love,爱上,VERB
förutsatt,provided that,假如,SCONJ
hatbrott,hate crime,仇恨犯罪,NOUN
hyckla,be hypocritical,虚伪,VERB
industriland,industrialised country,工业化国家,NOUN
jordbrukspolitik,agricultural policy,农业政策,NOUN
kostnadsökning,cost increase,成本上涨,NOUN
lagförslag,parliamentary bill,法案,NOUN
levnadskostnad,cost of living,生活成本,NOUN
mensen,menstruation,月经,NOUN
nätfiske,phishing,网络钓鱼,NOUN
nedrustning,disarmament,裁军,NOUN
oförnuftig,unreasonable,不理智的,ADJ
ombudsman,ombudsman,监察专员,NOUN
partiledare,party leader,政党领袖,NOUN
prenumeration,subscription,订阅,NOUN
programledare,TV host,节目主持人,NOUN
rekrytering,recruitment,招聘,NOUN
romantik,romance,浪漫,NOUN
sanningshalt,truth content,真实性,NOUN
sjukgymnast,physiotherapist,理疗师,NOUN
smittspridning,infection spread,疫情传播,NOUN
stigmatisering,stigmatisation,污名化,NOUN
tingsrätt,district court,基层法院,NOUN
uppkoppling,internet connection,网络连接,NOUN
utlysa,announce publicly,公开征集,VERB
utvecklingsland,developing country,发展中国家,NOUN
vårdskuld,healthcare backlog,医疗积压,NOUN
varsin,each (distributive),各自的,DET
webbinarium,webinar,网络研讨会,NOUN
avböja,decline politely,婉拒,VERB
xenofobi,xenophobia,仇外心理,NOUN
designa,design,设计,VERB
egoistisk,selfish,自私的,ADJ
förkylas,catch a cold,患上感冒,VERB
fruktansvärt,terribly,极其,ADV
infoga,insert,插入,VERB
känneteckna,characterise,标志,VERB
konkret,concrete,具体的,ADJ
lyckad,successful,成功的,ADJ
nationalisering,nationalisation,国有化,NOUN
nonchalera,disregard,漠视,VERB
omformulera,rephrase,重新表述,VERB
osjälvisk,selfless,无私的,ADJ
överensstämma,correspond,相符,VERB
samexistera,coexist,共存,VERB
speciellt,especially,特别是,ADV
tillfriskna,recover from illness,康复,VERB
uppmuntran,encouragement,鼓励,NOUN
välfungerande,well-functioning,运转良好的,ADJ
världskänd,world-famous,世界闻名的,ADJ
avväga,weigh up,权衡,VERB
estetiskt,aesthetically,从美学角度,ADV
genomgång,review session,回顾梳理,NOUN
klädkod,dress code,着装要求,NOUN
objektiv,objective,客观的,ADJ
otrygg,insecure,缺乏安全感的,ADJ
regerande,ruling,执政的,ADJ
trotsig,defiant,反抗的,ADJ
utförd,carried out,已执行的,ADJ
utmanövrera,outmanoeuvre,智胜挤掉,VERB
överskatta,overestimate,高估,VERB
besvärande,troubling,令人困扰的,ADJ
efterfråga,demand,需求,VERB
förmedling,mediation,调解,NOUN
inflyttning,inward migration,迁入,NOUN
kompensation,compensation,补偿,NOUN
lättning,easing,缓解,NOUN
regionalt,regionally,在地区层面,ADV
skärpt,tightened,收紧的,ADJ
tillspetsning,escalation,激化,NOUN
åsidosätta,neglect,忽视,VERB
anhållen,detained,被拘留的,ADJ
betygsätta,grade (assess),评定等级,VERB
elräkning,electricity bill,电费账单,NOUN
förnybarhet,renewability,可再生性,NOUN
häktad,in custody,被羁押的,ADJ
klimatkris,climate crisis,气候危机,NOUN
miljöhänsyn,environmental consideration,环境考量,NOUN
naturvård,nature conservation,自然保护,NOUN
sakkunnig,expert (competent),内行的,ADJ
sopsortering,waste sorting,垃圾分类,NOUN
upplöst,dissolved,已解散的,ADJ
arbetsschema,work schedule,工作班表,NOUN
däribland,among them,其中包括,ADV
förbinda,connect/bind,连接,VERB
kompetensutveckling,skills development,能力发展,NOUN
provanställning,probationary employment,试用期雇佣,NOUN
tillsvidareanställning,permanent employment,长期雇佣,NOUN
visstidsanställning,fixed-term employment,定期雇佣,NOUN
aktualisera,update,使更新,VERB
falna,fade,褪色消逝,VERB
glimta,glimmer,闪烁,VERB
kalkylera,calculate,计算,VERB
maximera,maximize,最大化,VERB
nedsvärta,blacken someone's name,抹黑,VERB
schavottera,hold up to ridicule,当众嘲笑,VERB
speja,spy,窥视,VERB
transplantera,transplant,移植,VERB
vitsorda,endorse,认可背书,VERB
aktningsfull,respectful,恭敬的,ADJ
enskild,private,私人的,ADJ
förströdd,absent-minded,心不在焉的,ADJ
koherent,coherent,连贯的,ADJ
påhittig,inventive,足智多谋的,ADJ
sanslös,senseless,失常疯狂的,ADJ
tröttsam,tiresome,令人厌倦的,ADJ
yvig,voluminous,蓬松张扬的,ADJ
sans,composure,清醒理智,NOUN
arbetslöshetssiffra,unemployment figure,失业人数,NOUN
kompetensförsörjning,skills supply,人才供给,NOUN
löneförhandling,wage negotiation,工资谈判,NOUN
pandemiberedskap,pandemic preparedness,大流行应对准备,NOUN
skolkurator,school counselor,学校辅导员,NOUN
tandvårdskostnad,dental care cost,牙科费用,NOUN
utmattningssyndrom,exhaustion syndrome,耗竭综合征,NOUN
yrkesskada,occupational injury,工伤,NOUN
astrolog,astrologer,占星家,NOUN
eftertänksamhet,thoughtfulness,深思熟虑,NOUN
handlingskraft,capacity for action,行动力,NOUN
påbyggnad,annex build-on,扩建部分,NOUN
utbyggnad,expansion,扩展工程,NOUN
demolera,demolish,拆毁,VERB
tillstyrka,recommend approval,建议批准,VERB
planlöst,aimlessly,无计划地,ADV
amatörmässig,amateurish,业余水平的,ADJ
beryktad,notorious,声名狼藉的,ADJ
hatisk,hateful,充满仇恨的,ADJ
lättrogen,credulous,轻信的,ADJ
slösaktig,wasteful,挥霍的,ADJ
exkludera,exclude,排斥排除,VERB
iscensätta,stage,策划上演,VERB
splittra,split,使分裂瓦解,VERB
förslitning,wear,耗损,NOUN
sammanfogning,joining,拼接组合,NOUN
arrangemang,arrangement,安排活动,NOUN
angelägen,urgent,紧迫的,ADJ
beklagligtvis,unfortunately,遗憾的是,ADV
framgent,henceforth,从今往后,ADV
likafullt,nevertheless,尽管如此,ADV
sålunda,thus,因而,ADV
ändock,nonetheless,依然,ADV
artskydd,species protection,物种保护,NOUN
domarfullmäktige,judicial trainee,见习法官,NOUN
elproduktion,electricity production,电力生产,NOUN
energipris,energy price,能源价格,NOUN
flygskatt,aviation tax,航空税,NOUN
inflationstakt,inflation rate,通胀速度,NOUN
journaluppgift,medical record information,病历信息,NOUN
klimatpolitik,climate policy,气候政策,NOUN
kraftledning,power line,输电线,NOUN
källskydd,source protection,消息源保护,NOUN
lagöverträdelse,legal violation,违法行为,NOUN
läkemedelsutveckling,pharmaceutical development,药物研发,NOUN
medieutveckling,media development,媒体发展,NOUN
nämndeman,lay judge,陪审员,NOUN
placebo,placebo,安慰剂,NOUN
preskriptionstid,limitation period,时效期限,NOUN
påföljd,sanction,刑罚后果,NOUN
remissinstans,referral body,征询意见机构,NOUN
skadeståndsansvar,liability for damages,损害赔偿责任,NOUN
solcellsanläggning,solar panel installation,太阳能电池装置,NOUN
styrränta,policy rate,政策利率,NOUN
uppgiftsläckage,data leak,信息泄露,NOUN
vårddokumentation,health care documentation,医疗记录文档,NOUN
åsiktsbildning,opinion formation,观点形成,NOUN
överskuldsättning,over-indebtedness,过度负债,NOUN
entlediga,relieve of duty,解除职务,VERB
påböda,decree,下令强制规定,VERB
bortslösning,squandering,糟蹋浪费,NOUN
omdaning,transformation,彻底变革,NOUN
överskattning,overestimation,高估,NOUN
förkrossande,crushing,压倒性的,ADJ
måttfull,moderate,有节制的,ADJ
sansad,sober,清醒适度的,ADJ
uppfinningsrik,inventive,富有创造力的,ADJ
obestridligen,indisputably,无可争辩地,ADV
åtskilligt,a good deal,相当多地,ADV
kvalitetskontroll,quality control,质量控制,NOUN
skatteregler,tax rules,税收规则,NOUN
årsmöte,annual meeting,年度大会,NOUN
avlida,pass away,逝世,VERB
fornlämning,ancient monument,古迹遗存,NOUN
legalisering,legalization,合法化,NOUN
gränsvärde,limit value,极限值,NOUN
säkerhetsmarginal,safety margin,安全裕度,NOUN
vallokal,polling station,投票站,NOUN
övertygad,convinced,确信的,ADJ
deg,dough,面团,NOUN
anonym,anonymous,匿名的,ADJ
ansvara,be responsible,负责,VERB
attackera,attack,攻击,VERB
påstå,claim,声称,VERB
uttrycka,express,表达,VERB
rekommendera,recommend,推荐,VERB
uppfatta,perceive,感知,VERB
registrera,register,登记,VERB
forska,research,研究,VERB
separera,separate,分离,VERB
kombinera,combine,结合,VERB
länka,link,链接,VERB
knyta,tie,系,VERB
binda,bind,绑,VERB
fästa,attach,固定,VERB
utveckla,develop,发展,VERB
forma,form,形成,VERB
tillverka,manufacture,制造,VERB
producera,produce,生产,VERB
godkänna,approve,批准,VERB
sträcka,stretch,伸展,VERB
uppfinna,invent,发明,VERB
dröja,delay,拖延,VERB
förvänta,expect,期望,VERB
sända,send,发送,VERB
leverera,deliver,交付,VERB
svära,swear,发誓,VERB
investera,invest,投资,VERB
protestera,protest,抗议,VERB
basera,base,以...为基础,VERB
riva,tear down,拆除,VERB
renovera,renovate,翻新,VERB
stryka,strike,击,VERB
riksdag,parliament,国会,NOUN
röstning,voting,投票,NOUN
hota,threaten,威胁,VERB
majoritet,majority,多数,NOUN
kapitel,chapter,章节,NOUN
standard,standard,标准,NOUN
dom,verdict,判决,NOUN
firma,firm,商号,NOUN
handel,trade,贸易,NOUN
avgift,fee,费用,NOUN
inkomst,income,收入,NOUN
vinst,profit,利润,NOUN
budget,budget,预算,NOUN
undervisning,teaching,教学,NOUN
pension,pension,养老金,NOUN
försäkring,insurance,保险,NOUN
tradition,tradition,传统,NOUN
rasism,racism,种族主义,NOUN
skvaller,gossip,流言,NOUN
moral,morals,道德,NOUN
ångest,anxiety,焦虑,NOUN
besvikelse,disappointment,失望,NOUN
självförtroende,self-confidence,自信,NOUN
passion,passion,热情,NOUN
brist,shortage,短缺,NOUN
religion,religion,宗教,NOUN
förening,association,协会,NOUN
nätverk,network,网络,NOUN
kontakter,contacts,人脉,NOUN
kommunikation,communication,沟通,NOUN
dialog,dialogue,对话,NOUN
konferens,conference,会议,NOUN
plattform,platform,平台,NOUN
utveckling,development,发展,NOUN
funktion,function,功能,NOUN
innehåll,content,内容,NOUN
länk,link,链接,NOUN
skala,scale,规模,NOUN
mängd,amount,数量,NOUN
farsa,farce,闹剧,NOUN
karaktär,character,性格,NOUN
personlighet,personality,个性,NOUN
intryck,impression,印象,NOUN
upplevelse,experience,经历,NOUN
vinkel,angle,角度,NOUN
position,position,立场,NOUN
gissning,guess,猜测,NOUN
konsekvens,consequence,后果,NOUN
utmaning,challenge,挑战,NOUN
svårighet,difficulty,困难,NOUN
hinder,obstacle,障碍,NOUN
ram,frame,框架,NOUN
budskap,message,信息,NOUN
metod,method,方法,NOUN
process,process,过程,NOUN
region,region,地区,NOUN
zon,zone,地带,NOUN
län,county,省,NOUN
landskap,province,省份,NOUN
kommun,municipality,市,NOUN
storstad,city,大城市,NOUN
förort,suburb,郊区,NOUN
uttryck,expression,表达,NOUN
fras,phrase,短语,NOUN
talare,speaker,演讲者,NOUN
gisslan,hostage,人质,NOUN
lyssnare,listener,听众,NOUN
fokus,focus,焦点,NOUN
press,press,新闻界,NOUN
journalist,journalist,记者,NOUN
reporter,reporter,记者,NOUN
glida,glide,滑动,VERB
rubrik,headline,标题,NOUN
kritik,criticism,评论,NOUN
karantän,quarantine,隔离,NOUN
kriminell,criminal,犯罪的,ADJ
avslöja,reveal,揭露,VERB
avundsjuka,envy,嫉妒,NOUN
bekräftelse,confirmation,确认,NOUN
belöning,reward,奖励,NOUN
besatt,obsessed,着迷的,ADJ
beväpnad,armed,武装的,ADJ
borgmästare,mayor,市长,NOUN
brottsplats,crime scene,犯罪现场,NOUN
brygga,pier,码头,NOUN
bud,message,消息,NOUN
byte,change,改变,NOUN
deprimerande,depressing,令人沮丧的,ADJ
domstol,court,法院,NOUN
drag,feature,特征,NOUN
döende,dying,垂死的,ADJ
dölja,hide,隐藏,VERB
nytta,use,用处,NOUN
enbart,only,仅仅,ADV
enhet,unit,单位,NOUN
fartyg,vessel,船只,NOUN
flykt,escape,逃跑,NOUN
formel,formula,公式,NOUN
framsteg,progress,进步,NOUN
främling,stranger,陌生人,NOUN
fullkomligt,completely,完全地,ADV
fullständigt,completely,完全地,ADV
herre,master,主人,NOUN
förebild,role model,榜样,NOUN
skuld,guilt,罪责,NOUN
föremål,object,物体,NOUN
skäl,reason,理由,NOUN
förhandla,negotiate,谈判,VERB
förhindra,prevent,阻止,VERB
förhör,interrogation,审讯,NOUN
förlåtelse,forgiveness,原谅,NOUN
förrädare,traitor,叛徒,NOUN
försäkra,assure,保证,VERB
förtroende,trust,信任,NOUN
gest,gesture,手势,NOUN
syssla,occupy oneself,从事,VERB
gripande,moving,动人的,ADJ
sällskap,company,陪伴,NOUN
heder,honor,荣誉,NOUN
herrejävlar,good lord,天哪,INTJ
tillgång,access,获取,NOUN
hjälplös,helpless,无助的,ADJ
hjärtinfarkt,heart attack,心脏病发作,NOUN
hämnas,take revenge,报复,VERB
hämnd,revenge,复仇,NOUN
inspektör,inspector,检查员,NOUN
intill,next to,紧靠,ADP
juridik,law,法律,NOUN
kamrat,comrade,同志,NOUN
klient,client,客户,NOUN
kliv,step,步,NOUN
ära,honor,荣誉,NOUN
återvända,return,返回,VERB
kvitt,irrelevant,无所谓,ADJ
kvitta,matter,要紧,VERB
öde,fate,命运,NOUN
led,joint,关节,NOUN
len,soft,柔软的,ADJ
lidande,suffering,痛苦,NOUN
likt,like,像,ADP
livstid,life sentence,无期徒刑,NOUN
lojalitet,loyalty,忠诚,NOUN
element,radiator,暖气片,NOUN
läkemedel,medicine,药物,NOUN
lämplig,suitable,合适的,ADJ
ana,suspect,怀疑,VERB
medel,means,手段,NOUN
and,duck,鸭子,NOUN
medvetslös,unconscious,无意识的,ADJ
ande,spirit,精神,NOUN
andel,share,份额,NOUN
anfall,attack,攻击,NOUN
motstånd,resistance,抵抗,NOUN
mänsklighet,humanity,人类,NOUN
närvaro,presence,出席,NOUN
anta,assume,假设,VERB
oerhört,immensely,极其,ADV
arkiv,archive,档案,NOUN
offra,sacrifice,牺牲,VERB
omständighet,circumstance,情况,NOUN
art,species,物种,NOUN
ondska,evil,邪恶,NOUN
ordförande,chairperson,主席,NOUN
oskadd,unharmed,未受伤的,ADJ
oskuld,innocence,无辜,NOUN
otrogen,unfaithful,不忠的,ADJ
otäck,nasty,令人不快的,ADJ
plikt,duty,责任,NOUN
rikedom,wealth,财富,NOUN
rike,realm,王国,NOUN
avancerad,advanced,高级的,ADJ
rymma,escape,逃跑,VERB
rättegång,trial,审判,NOUN
rättvisa,justice,正义,NOUN
avgå,step down,辞职,VERB
samvete,conscience,良心,NOUN
signera,sign,签署,VERB
avlägsna,remove,移除,VERB
sikta,aim,瞄准,VERB
skam,shame,羞耻,NOUN
avsked,farewell,告别,NOUN
skönhet,beauty,美丽,NOUN
slagsmål,fight,斗殴,NOUN
avstå,refrain,放弃,VERB
slita,wear,磨损,VERB
slump,chance,偶然,NOUN
avvakta,wait,等待,VERB
snarare,rather,宁可,ADV
spionera,spy,刺探,VERB
stolthet,pride,骄傲,NOUN
stryk,blow,殴打,NOUN
stråla,radiate,发光,VERB
styrelse,board,董事会,NOUN
suverän,sovereign,主权的,ADJ
svaghet,weakness,弱点,NOUN
svek,betrayal,背叛,NOUN
baserad,based,基于,ADJ
svit,suite,套房,NOUN
såvitt,as far as,就……而言,ADV
terrorist,terrorist,恐怖分子,NOUN
tillbringa,spend,度过,VERB
befälhavare,commander,指挥官,NOUN
tron,throne,王座,NOUN
tvekan,hesitation,犹豫,NOUN
begära,request,请求,VERB
tvivel,doubt,怀疑,NOUN
tyda,indicate,表明,VERB
begåvad,gifted,有天赋的,ADJ
ubåt,submarine,潜水艇,NOUN
universum,universe,宇宙,NOUN
bekanta,acquaint,使熟悉,VERB
uppenbarligen,obviously,显然地,ADV
uppsats,essay,论文,NOUN
bekämpa,combat,对抗,VERB
usel,lousy,糟糕的,ADJ
utbyte,exchange,交流,NOUN
beordra,order,命令,VERB
deprimerad,depressed,沮丧的,ADJ
utföra,carry out,执行,VERB
utnyttja,exploit,利用,VERB
utredning,investigation,调查,NOUN
diagnos,diagnosis,诊断,NOUN
utrymme,space,空间,NOUN
utvald,selected,选中的,ADJ
varelse,creature,生物,NOUN
vd,CEO,首席执行官,NOUN
verksamhet,activity,活动,NOUN
villkor,condition,条件,NOUN
akademiker,academic,学者,NOUN
vittna,testify,作证,VERB
akademi,academy,学院,NOUN
vittnesmål,testimony,证词,NOUN
akademisk,academic,学术的,ADJ
änka,widow,寡妇,NOUN
åklagare,prosecutor,检察官,NOUN
återgå,return,返回,VERB
öm,tender,温柔的,ADJ
överlevande,survivor,幸存者,NOUN
överlämna,hand over,移交,VERB
övertala,persuade,说服,VERB
anförtro,confide,委托,VERB
övertyga,convince,使确信,VERB
abort,abortion,流产,NOUN
absurt,absurd,荒谬的,ADJ
aggressiv,aggressive,具攻击性的,ADJ
akt,act,行为,NOUN
aktie,share,股票,NOUN
aktivera,activate,激活,VERB
alkoholist,alcoholic,酗酒者,NOUN
alltsammans,all of it,全部,PRON
anseende,reputation,声誉,NOUN
amatör,amateur,业余爱好者,NOUN
analys,analysis,分析,NOUN
analysera,analyze,分析,VERB
anfalla,attack,攻击,VERB
ange,state,陈述,VERB
angrepp,attack,攻击,NOUN
angripa,attack,攻击,VERB
anklaga,accuse,指控,VERB
anklagelse,accusation,指控,NOUN
anmälan,report,报告,NOUN
anonymt,anonymously,匿名地,ADV
antibiotika,antibiotics,抗生素,NOUN
applåd,applause,鼓掌,NOUN
apropå,regarding,关于,ADP
aptit,appetite,食欲,NOUN
arrestera,arrest,逮捕,VERB
