English_Lemma,English_Lemma,Chinese_Lemma,POS,CEFR
again,again,你又,NOUN,B2
aggressiveness,aggressiveness,攻击性,NOUN,B2
agricultural,agricultural,农业的,ADJ,B2
ah,ah,啊,INTJ,B2
to aim,to aim,瞄准,VERB,B2
air conditioning,air conditioning,空调,NOUN,B2
alarm clock,alarm clock,闹钟,NOUN,B2
alas,alas,唉,INTJ,B2
alert,alert,警觉的,ADJ,B2
algebra,algebra,代数,NOUN,B2
alienation,alienation,异化,NOUN,B2
all,all,全,ADJ,B2
all,all,全部,ADV,B2
all,all,جميع,NOUN,B2
all,all,所有,PRON,B2
all along,all along,一路上,NOUN,B2
all at once,all at once,一下子,ADV,B2
all day long,all day long,一整天,NOUN,B2
all good,all good,都好,NOUN,B2
all night,all night,通宵,NOUN,B2
allow hiding,allow hiding,许躲,NOUN,B2
allowance,allowance,津贴,NOUN,B2
allowed,allowed,被允许的,ADJ,B2
allusion,allusion,暗示,NOUN,B2
alone,alone,独自,ADV,B2
along with,along with,随着,ADP,B2
also too,also too,也,ADV,B2
altercation,altercation,争执,NOUN,B2
altered meaning,altered meaning,改义,NOUN,B2
altered path,altered path,改径,NOUN,B2
alternation,alternation,轮流,NOUN,B2
aluminum,aluminum,铝,NOUN,B2
alumnus,alumnus,校友,NOUN,B2
amber,amber,琥珀,NOUN,B2
ambiguous,ambiguous,模棱两可的,ADJ,B2
amended concrete,amended concrete,改具,NOUN,B2
amended division,amended division,改分,NOUN,B2
amended essence,amended essence,改本,NOUN,B2
amended generality,amended generality,改般,NOUN,B2
amended particular,amended particular,改特,NOUN,B2
amended possibility,amended possibility,改可,NOUN,B2
amended synthesis,amended synthesis,改综,NOUN,B2
amended unity,amended unity,改一,NOUN,B2
american,american,美国的,ADJ,B2
american,american,美国人,NOUN,B2
amplifier,amplifier,放大器,NOUN,B2
amulet,amulet,护身符,NOUN,B2
amusing,amusing,有趣的,ADJ,B2
an official standard,an official standard,标准,NOUN,B2
analog,analog,模拟的,ADJ,B2
analyst,analyst,分析师,NOUN,B2
ancestors,ancestors,祖先,NOUN,B2
to anchor,to anchor,抛锚,VERB,B2
anchorage,anchorage,锚地,NOUN,B2
and,and,我也,SCONJ,B2
and so forth,and so forth,依此类推,ADV,B2
anesthetic,anesthetic,麻醉剂,NOUN,B2
animation,animation,动画,NOUN,B2
annals,annals,编年史,NOUN,B2
annex,annex,附件,NOUN,B2
annihilation,annihilation,寂灭,NOUN,B2
annoyed,annoyed,恼火的,ADJ,B2
annual,annual,年度,NOUN,B2
annual leave,annual leave,年假,NOUN,B2
answering machine,answering machine,邮箱,NOUN,B2
ant,ant,蚂蚁,NOUN,B2
anthropomorphism,anthropomorphism,拟人化,NOUN,B2
anti-contingency,anti-contingency,反偶,NOUN,B2
anti-static,anti-static,防静电,ADJ,B2
anti-universality,anti-universality,反普,NOUN,B2
antibody,antibody,抗体,NOUN,B2
anticyclone,anticyclone,反气旋,NOUN,B2
antigen,antigen,抗原,NOUN,B2
antique,antique,古老的,ADJ,B2
antithesis,antithesis,对立面,NOUN,B2
antonym,antonym,反义词,NOUN,B2
to anxious for quick results,to anxious for quick results,急于求成,VERB,B2
any,any,任何,PRON,B2
anyway,anyway,好歹,PRON,B2
apart,apart,分开,ADV,B2
apostasy,apostasy,叛教,NOUN,B2
appeasement,appeasement,平息,NOUN,B2
appellant,appellant,上诉人,NOUN,B2
to apply makeup,to apply makeup,化妆,VERB,B2
appreciation,appreciation,欣赏,NOUN,B2
apprentice,apprentice,学徒,NOUN,B2
to approach,to approach,靠近,VERB,B2
approximately,approximately,大约,ADV,B2
apricot,apricot,杏,NOUN,B2
apron,apron,围裙,NOUN,B2
arc,arc,弧,NOUN,B2
archaeological,archaeological,考古的,ADJ,B2
archipelago,archipelago,群岛,NOUN,B2
architecture,architecture,建筑,NOUN,B2
argumentation,argumentation,论证体系,NOUN,B2
armchair,armchair,扶手椅,NOUN,B2
armed,armed,武装的,ADJ,B2
army morale,army morale,军心,NOUN,B2
around,around,到处,ADV,B2
arrears,arrears,欠款,NOUN,B2
arrest,arrest,逮捕,NOUN,B2
as,as,像,ADP,B2
as before,as before,依旧,ADV,B2
as expected,as expected,果然,ADV,B2
as if,as if,好像,SCONJ,B2
as long as,as long as,طالما,CCONJ,B2
as long as,as long as,只要,SCONJ,B2
as much as possible,as much as possible,尽可能,ADV,B2
as soon as,as soon as,一...就,SCONJ,B2
as well as,as well as,以及,CCONJ,B2
ascension,ascension,升天,NOUN,B2
assassin,assassin,刺客,NOUN,B2
assessment,assessment,评估,NOUN,B2
assets,assets,资产,NOUN,B2
to assume office,to assume office,就任,VERB,B2
asthma,asthma,哮喘,NOUN,B2
at all,at all,根本,ADV,B2
at any time,at any time,随时,ADV,B2
at ease,at ease,安心,ADJ,B2
at home,at home,在家,ADV,B2
at least,at least,至少,ADV,B2
at that time,at that time,当时/那时,ADV,B2
at the instant sth happens,at the instant sth happens,临时,ADV,B2
at the same time,at the same time,同时,ADV,B2
at will,at will,任由,NOUN,B2
at worst,at worst,大不了,ADV,B2
atheism,atheism,无神论,NOUN,B2
attacker,attacker,攻击者,NOUN,B2
to attempt,to attempt,企图,VERB,B2
attendance,attendance,出席,NOUN,B2
atypical,atypical,非典型的,ADJ,B2
audio equipment,audio equipment,音响,NOUN,B2
to audit,to audit,审计,VERB,B2
auditor,auditor,审计员,NOUN,B2
authentication,authentication,认证,NOUN,B2
authorized,authorized,有资格的,ADJ,B2
autism,autism,自闭症,NOUN,B2
automatically,automatically,自动地,ADV,B2
automation,automation,自动化,NOUN,B2
average,average,平均数,NOUN,B2
to await,to await,等待,VERB,B2
to await orders,to await orders,待命,VERB,B2
awakening,awakening,觉醒,NOUN,B2
to award,to award,分配,VERB,B2
award ceremony,award ceremony,颁奖典礼,NOUN,B2
awareness raising,awareness raising,提高意识,NOUN,B2
axiom,axiom,公理,NOUN,B2
bachelor,bachelor,单身汉,NOUN,B2
bachelor's degree,bachelor's degree,学士学位,NOUN,B2
back,back,背面,NOUN,B2
back door,back door,后门,NOUN,B2
back seat,back seat,后座,NOUN,B2
backache,backache,背痛,NOUN,B2
backstab,backstab,背刺,NOUN,B2
backstage,backstage,幕后,NOUN,B2
backup,backup,备份,NOUN,B2
bad luck,bad luck,倒霉,NOUN,B2
bad thing,bad thing,坏事,NOUN,B2
baker,baker,面包师,NOUN,B2
ballet,ballet,芭蕾舞,NOUN,B2
bamboo forest,bamboo forest,竹林,NOUN,B2
ban,ban,禁令,NOUN,B2
banal,banal,陈腐的,ADJ,B2
banana,banana,香蕉,NOUN,B2
bandage,bandage,绷带,NOUN,B2
banishment,banishment,流放,NOUN,B2
banking,banking,银行的,ADJ,B2
banknote,banknote,钞票,NOUN,B2
barbaric,barbaric,野蛮的,ADJ,B2
bare ownership,bare ownership,虚有权,NOUN,B2
barley,barley,大麦,NOUN,B2
base fertilizer,base fertilizer,基肥,NOUN,B2
baseball,baseball,棒球,NOUN,B2
baseness,baseness,卑鄙,NOUN,B2
basil,basil,罗勒,NOUN,B2
basin,basin,盆,NOUN,B2
bastard,bastard,混蛋,NOUN,B2
battlefield,battlefield,战场,NOUN,B2
be,be,是,AUX,B2
to be able,to be able,能,VERB,B2
be able to,be able to,能,AUX,B2
to be able to,to be able to,能够,VERB,B2
to be absent,to be absent,缺席,VERB,B2
to be addicted,to be addicted,上瘾,VERB,B2
to be afraid,to be afraid,害怕,VERB,B2
be allowed,be allowed,允许,AUX,B2
to be ashamed,to be ashamed,感到羞愧,VERB,B2
to be based on,to be based on,基于,VERB,B2
to be born,to be born,出生,VERB,B2
to be called,to be called,叫做,VERB,B2
to be careful,to be careful,小心,VERB,B2
to be damaged,to be damaged,受损,VERB,B2
to be done,to be done,被做,VERB,B2
to be enough,to be enough,足够,VERB,B2
to be far from,to be far from,绝非,VERB,B2
to be forced,to be forced,被迫,VERB,B2
to be jealous,to be jealous,嫉妒,VERB,B2
to be late,to be late,迟到,VERB,B2
to be left over,to be left over,剩余,VERB,B2
to be located,to be located,位于,VERB,B2
to be located at,to be located at,位于,VERB,B2
to be missing,to be missing,缺少,VERB,B2
to be proper,to be proper,体统,VERB,B2
to be required,to be required,被要求,VERB,B2
to be right,to be right,正确,VERB,B2
to be silent,to be silent,沉默,VERB,B2
be sorry,be sorry,抱歉,ADJ,B2
to be surprised,to be surprised,感到惊讶,VERB,B2
to be tired of,to be tired of,厌倦,VERB,B2
to be useful,to be useful,有用,VERB,B2
to be worth,to be worth,值得,VERB,B2
bearing,bearing,轴承,NOUN,B2
beating,beating,跳动,NOUN,B2
because,because,因为,CCONJ,B2
because of,because of,因为,ADP,B2
to become invalid,to become invalid,作废,VERB,B2
beep,beep,吱吱声,NOUN,B2
before,before,之前,ADV,B2
before,before,在...之前,SCONJ,B2
begging,begging,乞讨,NOUN,B2
to begin to start,to begin to start,开始,VERB,B2
beginner,beginner,初学者,NOUN,B2
behind,behind,在后面,ADV,B2
behind it,behind it,在后面,ADV,B2
bell pepper,bell pepper,甜椒,NOUN,B2
belly,belly,肚子,NOUN,B2
belonging,belonging,归属感,NOUN,B2
belongings,belongings,所属物,NOUN,B2
beloved,beloved,爱人,NOUN,B2
below,below,下面,NOUN,B2
bend,bend,弯道,NOUN,B2
benevolence,benevolence,仁慈,NOUN,B2
bet,bet,打赌,NOUN,B2
bias,bias,偏见,NOUN,B2
bible,bible,圣经,NOUN,B2
bibliography,bibliography,参考书目,NOUN,B2
big data,big data,大数据,NOUN,B2
big dipper,big dipper,北斗七星,NOUN,B2
biggest,biggest,最大,ADJ,B2
bile,bile,胆汁,NOUN,B2
billiards,billiards,台球,NOUN,B2
billion,billion,十亿,NOUN,B2
biodiversity,biodiversity,生物多样性,NOUN,B2
birthmark,birthmark,胎记,NOUN,B2
bite,bite,一口,NOUN,B2
biting,biting,尖刻的,ADJ,B2
bizarre case,bizarre case,奇案,NOUN,B2
black robe,black robe,黑衣,NOUN,B2
blackberry,blackberry,黑莓,NOUN,B2
blackboard,blackboard,黑板,NOUN,B2
blacksmith,blacksmith,铁匠,NOUN,B2
blame,blame,责备,NOUN,B2
bleeding,bleeding,出血,NOUN,B2
blind,blind,百叶窗,NOUN,B2
bloc,bloc,阵营,NOUN,B2
to blockade,to blockade,封锁,VERB,B2
blog,blog,博客,NOUN,B2
blood pressure,blood pressure,血压,NOUN,B2
blood sugar,blood sugar,血糖,NOUN,B2
bloodshed,bloodshed,血腥,NOUN,B2
bloodstain,bloodstain,血染,NOUN,B2
blouse,blouse,女衬衫,NOUN,B2
blow,blow,打击,NOUN,B2
blueberry,blueberry,蓝莓,NOUN,B2
boarding pass,boarding pass,登机牌,NOUN,B2
boarding school,boarding school,寄宿学校,NOUN,B2
boasting,boasting,夸耀,NOUN,B2
boiler,boiler,锅炉,NOUN,B2
boiling,boiling,沸腾,NOUN,B2
booklet,booklet,小册子,NOUN,B2
border,border,边境的,ADJ,B2
bored,bored,无聊的,ADJ,B2
borrowed knife,borrowed knife,借刀,NOUN,B2
borrower,borrower,借款人,NOUN,B2
borrowing,borrowing,借贷,NOUN,B2
both,both,两者都,CCONJ,B2
both,both,两者,PRON,B2
both eyes,both eyes,双眼,NOUN,B2
bother,bother,麻烦,NOUN,B2
bound to,bound to,势必,ADV,B2
boundless,boundless,无疆,NOUN,B2
bow,bow,蝴蝶结,NOUN,B2
bowl pouring,bowl pouring,倒碗,NOUN,B2
to brake,to brake,刹车,VERB,B2
brand new,brand new,崭新的,ADJ,B2
bravery,bravery,勇敢,NOUN,B2
to break a record,to break a record,打破纪录,VERB,B2
to break down,to break down,分解,VERB,B2
to break open,to break open,撬开,VERB,B2
to break up,to break up,破裂,VERB,B2
breakthrough,breakthrough,突破性,ADJ,B2
to breastfeed,to breastfeed,母乳喂养,VERB,B2
breastfeeding,breastfeeding,母乳喂养,NOUN,B2
to bribe,to bribe,贿赂,VERB,B2
brief,brief,近点说,NOUN,B2
to bring back,to bring back,带回,VERB,B2
bringing,bringing,جلب,NOUN,B2
briton,briton,英国人,NOUN,B2
to broadcast,to broadcast,播出,VERB,B2
broadcasting,broadcasting,广播,NOUN,B2
brook,brook,小溪,NOUN,B2
brook no delay,brook no delay,刻不容缓,ADJ,B2
broth,broth,肉汤,NOUN,B2
brother-in-law,brother-in-law,姐夫/妹夫,NOUN,B2
browser,browser,浏览器,NOUN,B2
to brush,to brush,刷,VERB,B2
buddha,buddha,佛,NOUN,B2
budgetary,budgetary,预算的,ADJ,B2
bungee jumping,bungee jumping,蹦极,NOUN,B2
burning,burning,灼热的,ADJ,B2
business,business,商业的,ADJ,B2
busyness,busyness,事忙,NOUN,B2
but,but,然而,ADV,B2
but also,but also,但也,NOUN,B2
but majesty,but majesty,可陛,NOUN,B2
buttocks,buttocks,屁股,NOUN,B2
buyer,buyer,买家,NOUN,B2
by fair means or foul,by fair means or foul,不择手段,ADV,B2
by means of,by means of,通过,ADP,B2
by night,by night,趁夜,ADV,B2
by the way,by the way,顺便说一下,ADV,B2
bygone,bygone,过去的,ADJ,B2
cabbage,cabbage,卷心菜,NOUN,B2
cafe,cafe,咖啡馆,NOUN,B2
calamity,calamity,灾难,NOUN,B2
calculation,calculation,计算,NOUN,B2
calf,calf,小腿,NOUN,B2
call,call,电话,NOUN,B2
calligraphy,calligraphy,书法,NOUN,B2
calling,calling,使命,NOUN,B2
calm,calm,平静,NOUN,B2
to calm,to calm,使平静,VERB,B2
calmness,calmness,平静,NOUN,B2
camel,camel,骆驼,NOUN,B2
to campaign,to campaign,积极参与活动,VERB,B2
can be at,can be at,可在,NOUN,B2
can't help,can't help,不由得,ADV,B2
can-exit,can-exit,还出得来,NOUN,B2
cancellation,cancellation,取消,NOUN,B2
canned food,canned food,罐头食品,NOUN,B2
cannot stay,cannot stay,不住,PART,B2
cantaloupe,cantaloupe,哈密瓜,NOUN,B2
canteen,canteen,食堂,NOUN,B2
capability,capability,能力,NOUN,B2
capable,capable,有本事,NOUN,B2
cape,cape,海角,NOUN,B2
captivating,captivating,迷人的,ADJ,B2
captive,captive,俘虏,NOUN,B2
captivity,captivity,囚禁,NOUN,B2
to capture,to capture,获取,VERB,B2
car accident,car accident,车祸,NOUN,B2
car wash,car wash,洗车,NOUN,B2
caravan,caravan,房车,NOUN,B2
cardiac,cardiac,心脏的,ADJ,B2
care,care,照料,NOUN,B2
to care for,to care for,照顾,VERB,B2
caregiver,caregiver,护理人员,NOUN,B2
caretaker,caretaker,房屋管理员,NOUN,B2
caricatural,caricatural,漫画的,ADJ,B2
carpenter,carpenter,木匠,NOUN,B2
carpentry,carpentry,木工,NOUN,B2
to carry out,to carry out,实施,VERB,B2
cartilage,cartilage,软骨,NOUN,B2
case details,case details,案情,NOUN,B2
cash register,cash register,收银机,NOUN,B2
cashew,cashew,腰果,NOUN,B2
cashmere,cashmere,羊绒,NOUN,B2
cassava,cassava,木薯,NOUN,B2
to catch up,to catch up,赶上,VERB,B2
catharsis,catharsis,宣泄,NOUN,B2
cauliflower,cauliflower,花椰菜,NOUN,B2
to cause,to cause,引起,VERB,B2
cause of change,cause of change,改因,NOUN,B2
cause of death,cause of death,死因,NOUN,B2
cause of defeat,cause of defeat,败因,NOUN,B2
cautious and conscientious,cautious and conscientious,兢兢业业,ADJ,B2
cautious and solemn idiom very carefully,cautious and solemn idiom very carefully,小心翼翼,ADJ,B2
cavalry,cavalry,骑兵,NOUN,B2
to caw,to caw,呱呱叫,VERB,B2
celery,celery,芹菜,NOUN,B2
celibacy,celibacy,独身,NOUN,B2
cell phone,cell phone,手机,NOUN,B2
cellular,cellular,细胞的,ADJ,B2
to cement,to cement,巩固,VERB,B2
centimeter,centimeter,厘米,NOUN,B2
central,central,中心的,ADJ,B2
centralization,centralization,集中化,NOUN,B2
ceramic art,ceramic art,陶艺,NOUN,B2
ceramics,ceramics,陶瓷,NOUN,B2
cerebral,cerebral,大脑的,ADJ,B2
certain,certain,某些,DET,B2
certain fall,certain fall,必倒,NOUN,B2
cessation,cessation,终止,NOUN,B2
chairman,chairman,主席,NOUN,B2
chairperson,chairperson,主席,NOUN,B2
to challenge,to challenge,质疑,VERB,B2
chancellor,chancellor,总理,NOUN,B2
change of mind,change of mind,改念,NOUN,B2
changed route,changed route,改路,NOUN,B2
changed work,changed work,改工,NOUN,B2
chapel,chapel,小教堂,NOUN,B2
characteristic,characteristic,典型的,ADJ,B2
characteristic feature,characteristic feature,特点,NOUN,B2
charades,charades,打哑谜,NOUN,B2
to charge,to charge,充电,VERB,B2
chase,chase,追逐,NOUN,B2
chastity,chastity,贞洁,NOUN,B2
chat,chat,聊天,NOUN,B2
check,check,支票,NOUN,B2
cheeky,cheeky,厚颜无耻的,ADJ,B2
to cheer on,to cheer on,加油,VERB,B2
to cheer up,to cheer up,使高兴,VERB,B2
cheerful,cheerful,愉快的,ADJ,B2
chef,chef,厨师,NOUN,B2
chemical,chemical,化学的,ADJ,B2
chemotherapy,chemotherapy,化疗,NOUN,B2
chess,chess,国际象棋,NOUN,B2
chest stab,chest stab,胸刺,NOUN,B2
chewing gum,chewing gum,口香糖,NOUN,B2
chili pepper,chili pepper,辣椒,NOUN,B2
chinese,chinese,中国的,ADJ,B2
chinese,chinese,中文,NOUN,B2
chinese cabbage,chinese cabbage,白菜,NOUN,B2
to chirp,to chirp,啁啾,VERB,B2
chivalry,chivalry,骑士精神,NOUN,B2
cholesterol,cholesterol,胆固醇,NOUN,B2
chop,chop,砍,NOUN,B2
christmas,christmas,圣诞节,NOUN,B2
chromosome,chromosome,染色体,NOUN,B2
cinnamon,cinnamon,肉桂,NOUN,B2
circulation,circulation,循环,NOUN,B2
circumcision,circumcision,割礼,NOUN,B2
citizenship,citizenship,公民身份,NOUN,B2
city council,city council,市议会,NOUN,B2
city hall,city hall,市政厅,NOUN,B2
claim,claim,要求,NOUN,B2
clan,clan,家族,NOUN,B2
classic,classic,经典作品,NOUN,B2
classicism,classicism,古典主义,NOUN,B2
classifier for documents portions,classifier for documents portions,份,NOUN,B2
classmate,classmate,同学,NOUN,B2
clause,clause,从句,NOUN,B2
to clean up,to clean up,清理,VERB,B2
cleaner,cleaner,清洁剂,NOUN,B2
cleaning,cleaning,清洁,NOUN,B2
to clear,to clear,清理,VERB,B2
clear-cut,clear-cut,明确的,ADJ,B2
clearing,clearing,林中空地,NOUN,B2
clergy,clergy,神职人员,NOUN,B2
cliche,cliche,陈词滥调,NOUN,B2
cliff,cliff,悬崖,NOUN,B2
climate change,climate change,气候变化,NOUN,B2
to climb a mountain,to climb a mountain,爬山,VERB,B2
cloakroom,cloakroom,衣帽间,NOUN,B2
close,close,近的,ADJ,B2
to close account,to close account,销户,VERB,B2
to close the door,to close the door,关门,VERB,B2
closeness,closeness,接近,NOUN,B2
closing ceremony,closing ceremony,闭幕仪式,NOUN,B2
closure,closure,关闭,NOUN,B2
clot,clot,凝块,NOUN,B2
cloth,cloth,布,NOUN,B2
cloudy,cloudy,阴沉的,ADJ,B2
cloudy day,cloudy day,阴天,NOUN,B2
to coach,to coach,辅导,VERB,B2
coefficient,coefficient,系数,NOUN,B2
coercion,coercion,胁迫,NOUN,B2
coherence,coherence,连贯性,NOUN,B2
coincidentally by chance,coincidentally by chance,恰巧,ADV,B2
colander,colander,漏勺,NOUN,B2
cold,cold,寒冷,NOUN,B2
coldly,coldly,冷淡地,ADV,B2
collaborator,collaborator,合作者,NOUN,B2
collapse,collapse,倒塌,NOUN,B2
collective,collective,集体的,ADJ,B2
collision,collision,碰撞,NOUN,B2
colon,colon,冒号,NOUN,B2
colonel,colonel,上校,NOUN,B2
colonialism,colonialism,殖民主义,NOUN,B2
to color,to color,着色,VERB,B2
colorful,colorful,五颜六色的,ADJ,B2
to comb,to comb,梳头,VERB,B2
to combat,to combat,对抗,VERB,B2
combating,combating,打击,NOUN,B2
to come back,to come back,回来,VERB,B2
to come from,to come from,来自,VERB,B2
to come here,to come here,来到这里,VERB,B2
to come in,to come in,进来,VERB,B2
to come out,to come out,出来,VERB,B2
to come over,to come over,顺道来访,VERB,B2
to come up,to come up,出现,VERB,B2
comedian,comedian,喜剧演员,NOUN,B2
comfort,comfort,安慰,NOUN,B2
comic,comic,喜剧的,ADJ,B2
coming,coming,مجيء,NOUN,B2
to command,to command,命令,VERB,B2
commander,commander,指挥官,NOUN,B2
commentator,commentator,评论员,NOUN,B2
commercial,commercial,商业的,ADJ,B2
commissioner,commissioner,专员,NOUN,B2
to commit a crime,to commit a crime,犯罪,VERB,B2
to commit fraud,to commit fraud,舞弊,VERB,B2
committed,committed,投入的,ADJ,B2
common sense,common sense,常识,NOUN,B2
commonality,commonality,共同点,NOUN,B2
commoner,commoner,平民,NOUN,B2
commotion,commotion,骚动,NOUN,B2
communique,communique,公报,NOUN,B2
communism,communism,共产主义,NOUN,B2
communist,communist,شيوعي,ADJ,B2
communitarianism,communitarianism,社群主义,NOUN,B2
companionship,companionship,陪伴,NOUN,B2
comparison,comparison,比较,NOUN,B2
compartment,compartment,隔间,NOUN,B2
compassionate,compassionate,有同情心的,ADJ,B2
compatibility,compatibility,兼容性,NOUN,B2
compatriot,compatriot,同胞,NOUN,B2
compilation,compilation,汇编,NOUN,B2
complementary,complementary,互补的,ADJ,B2
complete works,complete works,全集,NOUN,B2
completion,completion,完成,NOUN,B2
compliant,compliant,符合的,ADJ,B2
complication,complication,周折,NOUN,B2
complicity,complicity,共犯,NOUN,B2
to comply with,to comply with,遵守,VERB,B2
composed,composed,稳重的,ADJ,B2
composer,composer,作曲家,NOUN,B2
compost,compost,堆肥,NOUN,B2
composure,composure,镇定,NOUN,B2
compound,compound,复合性,ADJ,B2
comprehension,comprehension,理解,NOUN,B2
compressor,compressor,压缩机,NOUN,B2
to compromise,to compromise,危及,VERB,B2
compulsive,compulsive,强迫性的,ADJ,B2
computing,computing,计算机科学,NOUN,B2
concealment,concealment,隐瞒,NOUN,B2
to concern,to concern,涉及,VERB,B2
to concern all,to concern all,凡事,VERB,B2
concession,concession,让步,NOUN,B2
concise,concise,简洁的,ADJ,B2
conclusive,conclusive,决定性的,ADJ,B2
concrete,concrete,具体的,ADJ,B2
concubine,concubine,妾,NOUN,B2
concubine dismissal,concubine dismissal,让妾,NOUN,B2
condemnation,condemnation,谴责,NOUN,B2
to condole,to condole,哀悼,VERB,B2
condolence,condolence,哀悼,NOUN,B2
condolences,condolences,哀悼,NOUN,B2
to conduct,to conduct,أجرى,VERB,B2
conductivity,conductivity,导电性,NOUN,B2
cone,cone,圆锥体,NOUN,B2
confederation,confederation,邦联,NOUN,B2
confiscation,confiscation,没收,NOUN,B2
confrontation,confrontation,对抗,NOUN,B2
congestion,congestion,拥堵,NOUN,B2
congratulation,congratulation,祝贺,NOUN,B2
conjecture,conjecture,推测,NOUN,B2
conjugation,conjugation,变位,NOUN,B2
connoisseur,connoisseur,行家,NOUN,B2
connotation,connotation,内涵,NOUN,B2
conqueror,conqueror,征服者,NOUN,B2
conscientious,conscientious,认真的,ADJ,B2
consequently,consequently,因此,ADV,B2
considerable,considerable,相当大的,ADJ,B2
consignment,consignment,托运,NOUN,B2
consistency,consistency,一致性,NOUN,B2
consolation,consolation,安慰,NOUN,B2
conspicuous,conspicuous,显著的,ADJ,B2
constable,constable,警官,NOUN,B2
constant,constant,常数,NOUN,B2
constellation,constellation,星座,NOUN,B2
constipation,constipation,便秘,NOUN,B2
constituency,constituency,选区,NOUN,B2
constitutional,constitutional,宪法的,ADJ,B2
construction site,construction site,工地,NOUN,B2
constructive,constructive,建设性的,ADJ,B2
consul,consul,领事,NOUN,B2
consular,consular,领事的,ADJ,B2
consulate,consulate,领事馆,NOUN,B2
consumption,consumption,消费,NOUN,B2
contemplative,contemplative,沉思的,ADJ,B2
contentment,contentment,满足,NOUN,B2
contested,contested,有争议的,ADJ,B2
contextual,contextual,语境的,ADJ,B2
continuity,continuity,连续性,NOUN,B2
to contract,to contract,收缩,VERB,B2
contradiction,contradiction,矛盾,NOUN,B2
to contrast,to contrast,对比,VERB,B2
contrition,contrition,悔罪,NOUN,B2
control,control,控制,NOUN,B2
control room,control room,控制室,NOUN,B2
controversial,controversial,有争议的,ADJ,B2
conversely,conversely,相反地,ADV,B2
convulsion,convulsion,抽搐,NOUN,B2
cooked meatball,cooked meatball,丸子熟,NOUN,B2
cooking,cooking,烹饪,NOUN,B2
cooking pot,cooking pot,炖锅,NOUN,B2
cooking wine,cooking wine,料酒,NOUN,B2
coolness,coolness,凉爽,NOUN,B2
to coordinate,to coordinate,协调,VERB,B2
coordinator,coordinator,协调员,NOUN,B2
to copy,to copy,复制,VERB,B2
copyist,copyist,抄写员,NOUN,B2
coral,coral,珊瑚,NOUN,B2
coral reef,coral reef,珊瑚礁,NOUN,B2
core course,core course,核心课,NOUN,B2
coronation,coronation,加冕,NOUN,B2
to correct,to correct,纠正,VERB,B2
correction,correction,纠正,NOUN,B2
correspondent,correspondent,记者,NOUN,B2
corrosion,corrosion,腐蚀,NOUN,B2
to corrupt,to corrupt,腐败,VERB,B2
cosmic,cosmic,宇宙的,ADJ,B2
to cost,to cost,花费,VERB,B2
to cough,to cough,咳嗽,VERB,B2
could it be,could it be,难不成,ADJ,B2
to counter,to counter,反击,VERB,B2
counter-argument,counter-argument,反辩,NOUN,B2
counter-belief,counter-belief,反信,NOUN,B2
counter-boundary,counter-boundary,反界,NOUN,B2
counter-image,counter-image,反象,NOUN,B2
counter-layer,counter-layer,反层,NOUN,B2
counter-matter,counter-matter,反物,NOUN,B2
counter-segment,counter-segment,反段,NOUN,B2
counter-structure,counter-structure,反结,NOUN,B2
counter-type,counter-type,反型,NOUN,B2
counterattack,counterattack,反击,NOUN,B2
