Dutch_Lemma,English_Lemma,Chinese_Lemma,POS
eindigen,to end,结束,VERB
emotie,emotion,情感,NOUN
ene,one,一个的,ADJ
energie,energy,能量,NOUN
eng,narrow,狭窄的,ADJ
enkel,single,单一的,ADJ
enorm,enormous,巨大的,ADJ
eraan,to it,对它,ADV
eraf,off,离开,ADV
erbij,with it,在旁边,ADV
ergens,somewhere,某处,ADV
erop,on it,在上面,ADV
eruit,out,出来,ADV
ervaring,experience,经验,NOUN
ervoor,for it,为此,ADV
examen,exam,考试,NOUN
fabriek,factory,工厂,NOUN
favoriet,favourite,最喜爱的,ADJ
favoriet,favorite,最爱,NOUN
feest,party,派对,NOUN
feit,fact,事实,NOUN
fijn,fine,好,ADJ
film,film,电影,NOUN
filmen,to film,拍摄,VERB
filmpje,video,视频,NOUN
fluiten,to whistle,吹口哨,VERB
fout,mistake,错误,NOUN
frisdrank,soft drink,汽水,NOUN
functie,function,功能,NOUN
gang,hallway,走廊,NOUN
gat,hole,洞,NOUN
gauw,soon,很快,ADV
gebeuren,to happen,发生,VERB
geboren,born,出生,ADJ
gebouw,building,建筑物,NOUN
gedachte,thought,想法,NOUN
gedrag,behavior,行为,NOUN
gedurende,during,在...期间,ADP
geheel,whole,整体,NOUN
geheim,secret,秘密的,ADJ
geheim,secret,秘密,NOUN
gek,crazy,疯狂的,ADJ
gelegen,located,位于,ADJ
geloof,belief,信仰,NOUN
geloven,to believe,相信,VERB
geluk,happiness,幸福,NOUN
genieten,to enjoy,享受,VERB
geslacht,gender,性别,NOUN
gesprek,conversation,对话,NOUN
gevolg,consequence,后果,NOUN
geweldig,great,极好的,ADJ
gezicht,face,脸,NOUN
gezin,family,家庭,NOUN
gezondheid,health,健康,NOUN
geïnteresseerd,interested,感兴趣的,ADJ
gisteren,yesterday,昨天,ADV
gitaar,guitar,吉他,NOUN
glijden,to slide,滑,VERB
goedkeuren,to approve,批准,VERB
grapje,joke,玩笑,NOUN
gras,grass,草,NOUN
grens,border,边界,NOUN
grijpen,to grab,抓,VERB
grootmoeder,grandmother,祖母,NOUN
grootvader,grandfather,祖父,NOUN
haat,hate,仇恨,NOUN
hal,hall,大厅,NOUN
halte,stop,车站,NOUN
handschoen,glove,手套,NOUN
heen,away,离开,ADV
heer,gentleman,先生,NOUN
heerlijk,delicious,美味的,ADJ
hek,fence,栅栏,NOUN
helaas,unfortunately,不幸地,ADV
helft,half,一半,NOUN
herhalen,to repeat,重复,VERB
herinneren,to remember,记得,VERB
hervatten,to resume,恢复,VERB
hierdoor,because of this,因此,ADV
hiermee,with this,以此,ADV
hieronder,below,在下面,ADV
hoeveel,how many,多少,NUM
hoewel,although,虽然,SCONJ
hoezo,how come,怎么会,INTJ
hoi,hi,嗨,INTJ
hoofdstuk,chapter,章节,NOUN
hoog,high,高的,ADJ
hoogte,height,高度,NOUN
hout,wood,木头,NOUN
huid,skin,皮肤,NOUN
huur,rent,租金,NOUN
huwelijk,marriage,婚姻,NOUN
inderdaad,indeed,确实,ADV
ingang,entrance,入口,NOUN
inhalen,to overtake,超过,VERB
inmiddels,by now,此时,ADV
interessant,interesting,有趣的,ADJ
invloed,influence,影响,NOUN
jammer,pity,遗憾,NOUN
jawel,yes indeed,是的,ADV
jeugd,youth,青年,NOUN
jezelf,yourself,你自己,PRON
jong,young,年轻的,ADJ
jongen,boy,男孩,NOUN
jongere,young person,年轻人,NOUN
jurk,dress,连衣裙,NOUN
kalender,calendar,日历,NOUN
kantoor,office,办公室,NOUN
kapper,hairdresser,理发师,NOUN
kauwen,to chew,嚼,VERB
keel,throat,喉咙,NOUN
kennen,to know,认识,VERB
kennis,knowledge,知识,NOUN
kerk,church,教堂,NOUN
keuken,kitchen,厨房,NOUN
keuze,choice,选择,NOUN
kiezen,to choose,选择,VERB
kijkje,look,看一眼,NOUN
klappen,to clap,鼓掌,VERB
klas,class,班级,NOUN
kleden,to dress,穿衣,VERB
kleur,colour,颜色,NOUN
klimmen,to climb,攀爬,VERB
kloppen,to knock,敲,VERB
knap,handsome,英俊的,ADJ
knippen,to cut,剪,VERB
knop,button,按钮,NOUN
koekje,cookie,饼干,NOUN
kok,cook,厨师,NOUN
komend,coming,即将到来的,ADJ
koning,king,国王,NOUN
koop,purchase,购买,NOUN
kop,head,头,NOUN
kopiëren,to copy,复制,VERB
kort,short,短的,ADJ
kosten,costs,费用,NOUN
kosten,to cost,花费,VERB
kracht,force,力量,NOUN
kunst,art,艺术,NOUN
kwijt,lost,丢失的,ADJ
lach,laugh,笑,NOUN
last,burden,负担,NOUN
leerling,pupil,学生,NOUN
leger,army,军队,NOUN
leiden,to lead,引导,VERB
lenen,to borrow,借,VERB
les,lesson,课,NOUN
lied,song,歌曲,NOUN
liedje,song,歌曲,NOUN
liever,rather,宁愿,ADV
lieverd,darling,亲爱的,NOUN
lijken,to seem,似乎,VERB
lijn,line,线,NOUN
lijst,list,名单,NOUN
links,left,左边的,ADJ
liter,litre,升,NOUN
lol,fun,乐趣,NOUN
loop,walk,步行,NOUN
los,loose,松的,ADJ
maaltijd,meal,一餐,NOUN
macht,power,权力,NOUN
makkelijk,easy,容易的,ADJ
mama,mom,妈妈,NOUN
markt,market,市场,NOUN
meedoen,to participate,参加,VERB
meegaan,to come along,同行,VERB
meerdere,several,几个,PRON
meestal,usually,通常,ADV
meester,master,大师,NOUN
mening,opinion,观点,NOUN
mens,human,人,NOUN
merken,to notice,注意到,VERB
meten,to measure,测量,VERB
mezelf,myself,我自己,PRON
middel,means,手段,NOUN
mist,fog,雾,NOUN
mobiel,mobile,移动的,ADJ
mode,fashion,时尚,NOUN
moeite,trouble,麻烦,NOUN
mogelijkheid,possibility,可能性,NOUN
mond,mouth,嘴,NOUN
moord,murder,谋杀,NOUN
morgen,tomorrow,明天,NOUN
naartoe,towards,向,ADP
namelijk,namely,即,ADV
nek,neck,脖子,NOUN
nep,fake,假的,ADJ
nergens,nowhere,无处,ADV
netjes,neatly,整洁地,ADV
netwerk,network,网络,NOUN
nicht,niece,侄女,NOUN
nieuwjaar,New Year,新年,NOUN
niveau,level,水平,NOUN
noemen,to name,命名,VERB
normaal,normal,正常,ADJ
oefenen,to practice,练习,VERB
oefening,exercise,练习,NOUN
omgeving,environment,环境,NOUN
ondanks,despite,尽管,ADP
onderdeel,part,部分,NOUN
ontsnappen,to escape,逃脱,VERB
ontstaan,to arise,产生,VERB
ontvangen,to receive,收到,VERB
ontwerpen,to design,设计,VERB
ontwikkeling,development,发展,NOUN
oog,eye,眼睛,NOUN
oorzaak,cause,起因,NOUN
oosten,east,东方,NOUN
opdracht,assignment,任务,NOUN
opeens,suddenly,突然,ADV
opleiding,training,培训,NOUN
oplossing,solution,解决方案,NOUN
opruimen,to tidy,整理,VERB
optreden,performance,表演,NOUN
overal,everywhere,到处,ADV
overheid,government,政府,NOUN
overleven,to survive,生存,VERB
overmorgen,day after tomorrow,后天,NOUN
oversteken,to cross,横穿,VERB
overwegen,to consider,权衡,VERB
overzicht,overview,概述,NOUN
pad,path,小路,NOUN
pagina,page,页,NOUN
parkeren,to park,停车,VERB
pasen,Easter,复活节,NOUN
pauze,break,暂停,NOUN
pauzeren,to pause,暂停,VERB
peer,pear,梨,NOUN
periode,period,时期,NOUN
persoonlijk,personal,个人的,ADJ
pijn,pain,疼痛,NOUN
plaatje,picture,图片,NOUN
plan,plan,计划,NOUN
plannen,to plan,计划,VERB
plat,flat,平的,ADJ
plein,square,广场,NOUN
plezier,pleasure,乐趣,NOUN
poetsen,to polish,擦,VERB
politiek,political,政治的,ADJ
politiek,politics,政治,NOUN
pop,pop music,流行音乐,NOUN
positie,position,位置,NOUN
post,mail,邮件,NOUN
prachtig,beautiful,美丽,ADJ
prima,fine,很好,ADJ
printen,to print,打印,VERB
procent,percent,百分比,NOUN
proces,process,过程,NOUN
proeven,to taste,品尝,VERB
publiek,audience,观众,NOUN
punt,point,点,NOUN
raad,council,委员会,NOUN
raden,to guess,猜,VERB
reactie,response,回应,NOUN
recept,recipe,食谱,NOUN
rechten,rights,权利,NOUN
rechter,judge,法官,NOUN
reclame,advertisement,广告,NOUN
regel,rule,规则,NOUN
regelen,to arrange,安排,VERB
regelmatig,regular,定期的,ADJ
regering,government,政府,NOUN
reis,trip,旅行,NOUN
rekenen,to calculate,计算,VERB
relatie,relationship,关系,NOUN
repareren,to repair,修理,VERB
resultaat,result,结果,NOUN
richting,direction,方向,NOUN
rij,row,排,NOUN
rijbewijs,driver's license,驾照,NOUN
rijden,to drive,驾驶,VERB
rijk,rich,富有的,ADJ
rit,ride,骑行,NOUN
rok,skirt,裙子,NOUN
ronde,round,回合,NOUN
rook,smoke,烟,NOUN
rug,back,背,NOUN
ruiken,to smell,闻,VERB
ruim,spacious,宽敞的,ADJ
ruimte,room,空间,NOUN
rust,rest,休息,NOUN
rustig,calm,平静的,ADJ
saai,boring,无聊的,ADJ
samenwerken,to collaborate,合作,VERB
samenwerking,cooperation,合作,NOUN
sap,juice,果汁,NOUN
schaatsen,to skate,滑冰,VERB
schade,damage,损害,NOUN
schattig,cute,可爱的,ADJ
scherm,screen,屏幕,NOUN
schilderij,painting,绘画,NOUN
school,school,学校,NOUN
schoonmaken,to clean,打扫,VERB
schrijver,writer,作家,NOUN
schuld,debt,债务,NOUN
scoren,to score,得分,VERB
seconde,second,秒,NOUN
seizoen,season,季节,NOUN
seks,sex,性,NOUN
serie,series,系列,NOUN
serieus,serious,严肃的,ADJ
situatie,situation,情况,NOUN
skiën,to ski,滑雪,VERB
sla,lettuce,生菜,NOUN
slaan,to hit,打,VERB
slachtoffer,victim,受害者,NOUN
slag,stroke,击,NOUN
slopen,to demolish,拆除,VERB
smaak,taste,味道,NOUN
snelweg,motorway,高速公路,NOUN
snijden,to cut,切,VERB
spannend,exciting,令人兴奋的,ADJ
sparen,to save,储蓄,VERB
speciaal,special,特别的,ADJ
spel,game,游戏,NOUN
spiegel,mirror,镜子,NOUN
sport,sport,运动,NOUN
sporten,to do sports,运动,VERB
staat,state,国家,NOUN
stap,step,步,NOUN
starten,to start,启动,VERB
stem,voice,声音,NOUN
stemmen,to vote,投票,VERB
sterk,strong,强壮的,ADJ
steun,support,支持,NOUN
stichting,foundation,基金会,NOUN
stil,quiet,安静的,ADJ
stilte,silence,沉默,NOUN
stofzuigen,to vacuum,吸尘,VERB
stom,stupid,愚蠢的,ADJ
straf,punishment,惩罚,NOUN
straks,soon,稍后,ADV
strijd,struggle,斗争,NOUN
strijken,to iron,熨,VERB
struikelen,to stumble,绊倒,VERB
student,student,学生,NOUN
succes,success,成功,NOUN
systeem,system,系统,NOUN
taal,language,语言,NOUN
tandarts,dentist,牙医,NOUN
tanken,to refuel,加油,VERB
tegelijk,at the same time,同时,ADV
tegenwoordig,nowadays,如今,ADV
tekst,text,文本,NOUN
terras,terrace,露台,NOUN
terugkeren,to return,返回,VERB
testen,to test,测试,VERB
titel,title,标题,NOUN
toegang,access,进入,NOUN
toerist,tourist,游客,NOUN
toestaan,to allow,允许,VERB
toevoegen,to add,添加,VERB
tomaat,tomato,番茄,NOUN
tonen,to show,展示,VERB
toren,tower,塔,NOUN
totaal,total,总计,NOUN
trainen,to train,训练,VERB
trekken,to pull,拉,VERB
trots,proud,骄傲,ADJ
trui,sweater,毛衣,NOUN
tuurlijk,of course,当然,ADJ
tuurlijk,of course,当然,ADV
typen,to type,打字,VERB
uitkomst,outcome,结果,NOUN
uitnodigen,to invite,邀请,VERB
uitnodiging,invitation,邀请,NOUN
uitvinden,to invent,发明,VERB
uitvoeren,to execute,执行,VERB
universiteit,university,大学,NOUN
vakantie,holiday,假期,NOUN
vanavond,this evening,今晚,ADV
vangen,to catch,抓,VERB
vanmiddag,this afternoon,今天下午,ADV
vanmorgen,this morning,今天上午,ADV
vannacht,tonight,今晚,ADV
vanochtend,this morning,今天早上,ADV
varen,to sail,航行,VERB
vasthouden,to hold,握住,VERB
veilig,safe,安全的,ADJ
veiligheid,safety,安全,NOUN
veld,field,田野,NOUN
ver,far,远的,ADJ
verantwoordelijk,responsible,负责的,ADJ
verband,bandage,绷带,NOUN
verbergen,to hide,隐藏,VERB
verbeteren,to improve,改善,VERB
verbieden,to forbid,禁止,VERB
verdelen,to divide,分配,VERB
verdriet,sorrow,悲伤,NOUN
verdwijnen,to disappear,消失,VERB
vergelijken,to compare,比较,VERB
vergroten,to enlarge,扩大,VERB
verhuizen,to move house,搬家,VERB
verjaardag,birthday,生日,NOUN
verkleinen,to reduce,缩小,VERB
verlaten,to leave,离开,VERB
verleden,past,过去,NOUN
vernietigen,to destroy,摧毁,VERB
verrassing,surprise,惊喜,NOUN
vers,fresh,新鲜的,ADJ
verschijnen,to appear,出现,VERB
verschil,difference,区别,NOUN
verschrikkelijk,terrible,可怕的,ADJ
versie,version,版本,NOUN
versieren,to decorate,装饰,VERB
verslag,report,报告,NOUN
versnellen,to accelerate,加速,VERB
verstoppen,to hide,藏,VERB
vertrouwen,to trust,信任,VERB
vervangen,to replace,替换,VERB
vervelend,annoying,烦人的,ADJ
vervoeren,to transport,运输,VERB
verzamelen,to collect,收集,VERB
verzenden,to send,发送,VERB
vet,fat,脂肪,NOUN
vieren,to celebrate,庆祝,VERB
vlak,flat,平坦的,ADJ
vlakbij,nearby,在附近,ADV
vloer,floor,地板,NOUN
vluchten,to flee,逃亡,VERB
voelen,to feel,感觉,VERB
voeren,to feed,喂养,VERB
voetbal,football,足球,NOUN
volgens,according to,根据,ADP
volk,people,人民,NOUN
volledig,complete,完整的,ADJ
voltooien,to complete,完成,VERB
voorbeeld,example,例子,NOUN
voorbereiden,to prepare,准备,VERB
voorbij,past,过去,ADP
voorkomen,to prevent,防止,VERB
voorstellen,to introduce,介绍,VERB
voorzitter,chairperson,主席,NOUN
vorig,previous,以前的,ADJ
vormen,to form,形成,VERB
vouwen,to fold,折叠,VERB
vreugde,joy,喜悦,NOUN
vriend,friend,朋友,NOUN
vriendin,girlfriend,女朋友,NOUN
vriendje,boyfriend,男朋友,NOUN
vrijheid,freedom,自由,NOUN
vroeger,formerly,以前,ADV
vrolijk,cheerful,快乐的,ADJ
vullen,to fill,填满,VERB
waard,worth,值得,ADJ
waarde,value,价值,NOUN
waarheid,truth,真相,NOUN
waarmee,with which,用以,PRON
waarop,on which,在其上,PRON
waarschuwing,warning,警告,NOUN
waarvan,of which,其,PRON
wachtwoord,password,密码,NOUN
wakker,awake,醒着的,ADJ
wandelen,to hike,散步,VERB
wandeling,walk,散步,NOUN
weekend,weekend,周末,NOUN
wegens,because of,由于,ADP
weigeren,to refuse,拒绝,VERB
welk,which,哪个,PRON
welkom,welcome,欢迎,ADJ
wens,wish,愿望,NOUN
wet,law,法律,NOUN
wijk,district,街区,NOUN
winkel,shop,商店,NOUN
wit,white,白色的,ADJ
wonen,to live,居住,VERB
worst,sausage,香肠,NOUN
zaal,hall,大厅,NOUN
zand,sand,沙子,NOUN
zanger,singer,歌手,NOUN
zeilen,to sail,航行,VERB
zeven,seven,七,NUM
zichzelf,oneself,自己,PRON
ziek,sick,生病的,ADJ
ziekenhuis,hospital,医院,NOUN
zilver,silver,银,NOUN
zin,sentence,句子,NOUN
zomaar,just like that,随便地,ADV
zover,so far,到目前为止,ADV
zwaar,heavy,重的,ADJ
zwak,weak,弱,ADJ
zwanger,pregnant,怀孕的,ADJ
zwart,black,黑色的,ADJ
zwembad,swimming pool,游泳池,NOUN
