Dutch_Lemma,English_Lemma,Chinese_Lemma,POS,CEFR
ergernis,annoyance,烦恼,NOUN,B2
geërgerd,annoyed,恼火的,ADJ,B2
jaarverslag,annual report,年报,NOUN,B2
jaarlijks,annually,每年,ADV,B2
anomalie,anomaly,异常,NOUN,B2
antwoorden,to answer reply,回答,VERB,B2
antwoordapparaat,answering machine,邮箱,NOUN,B2
antenne,antenna,天线,NOUN,B2
bloemlezing,anthology,选集,NOUN,B2
antropologie,anthropology,人类学,NOUN,B2
antropomorfisme,anthropomorphism,拟人化,NOUN,B2
anti-abstractie,anti-abstraction,反抽,NOUN,B2
anti-actie,anti-action,反作,NOUN,B2
anti-algemeenheid,anti-generality,反般,NOUN,B2
anti-integratie,anti-integration,反合,NOUN,B2
anti-maatregel,anti-measure,反度,NOUN,B2
anti-omnipresentie,anti-omnipresence,反遍,NOUN,B2
anti-oorlog,anti-war,反战,NOUN,B2
antibiotica,antibiotics,抗生素,NOUN,B2
antilichaam,antibody,抗体,NOUN,B2
anticiperen,to anticipate,预期,VERB,B2
antigeen,antigen,抗原,NOUN,B2
antiek,antique,古董,NOUN,B2
antisepticum,antiseptic,防腐剂,NOUN,B2
antithese,antithesis,对立面,NOUN,B2
antoniem,antonym,反义词,NOUN,B2
angst,anxiety,焦虑,NOUN,B2
angstig,anxious,焦虑的,ADJ,B2
enig,any,任何,DET,B2
iemand,anyone,任何人,PRON,B2
ontschuldigen,to apologize,道歉,VERB,B2
ontschuldiging,apology,道歉,NOUN,B2
apostasie,apostasy,叛教,NOUN,B2
apparaat,apparatus,仪器,NOUN,B2
appèl,appeal,呼吁,NOUN,B2
verzoeken,to appease,安抚,VERB,B2
applauderen,to applaud,鼓掌,VERB,B2
toepasselijkheid,applicability,适用性,NOUN,B2
sollicitant,applicant,申请人,NOUN,B2
gips aanbrengen,to apply a cast,打石膏,VERB,B2
make-up aanbrengen,to apply makeup,化妆,VERB,B2
waarderen,to appraise,评估,VERB,B2
dankfeest,appreciation banquet,答谢宴,NOUN,B2
arrest,apprehension,忧虑,NOUN,B2
leerling,apprentice,学徒,NOUN,B2
leerperiode,apprenticeship,学徒期,NOUN,B2
benadering,approximation,近似值,NOUN,B2
aprikoos,apricot,杏,NOUN,B2
schort,apron,围裙,NOUN,B2
arbitreren,to arbitrate,仲裁,VERB,B2
arbitrage,arbitration,仲裁,NOUN,B2
boog,arc,弧,NOUN,B2
archeologie,archaeology,考古学,NOUN,B2
archaïsme,archaism,古语,NOUN,B2
archipel,archipelago,群岛,NOUN,B2
architectonisch,architectural,建筑的,ADJ,B2
moeilijk,arduous,艰巨的,ADJ,B2
aristocratie,aristocracy,贵族阶层,NOUN,B2
aristocraat,aristocrat,贵族,NOUN,B2
leuningstoel,armchair,扶手椅,NOUN,B2
opwekken,to arouse,引起,VERB,B2
achterstand,arrears,欠款,NOUN,B2
arrogantie,arrogance,傲慢,NOUN,B2
arsenaal,arsenal,军火库,NOUN,B2
kunstgalerij,art gallery,美术馆,NOUN,B2
slagader,artery,动脉,NOUN,B2
articuleren,to articulate,清晰表达,VERB,B2
list,artifice,诡计,NOUN,B2
artistisch portret,artistic portrait,艺术照,NOUN,B2
als,as,像,ADP,B2
alsof,as if,仿佛,ADV,B2
zolang,as long as,طالما,CCONJ,B2
opstijgen,to ascend,上升,VERB,B2
ascetisme,asceticism,苦行主义,NOUN,B2
beschaamd,ashamed,羞愧的,ADJ,B2
aspiratie,aspiration,抱负,NOUN,B2
streven,to aspire,渴望,VERB,B2
esel,ass,驴,NOUN,B2
assassijn,assassin,刺客,NOUN,B2
assassineren,to assassinate,暗杀,VERB,B2
assassinatie,assassination,暗杀,NOUN,B2
aanslag,assault,袭击,NOUN,B2
beweren,to assert,断言,VERB,B2
bezit,asset,资产,NOUN,B2
ijverig,assiduous,勤勉的,ADJ,B2
assisteren,to assist,协助,VERB,B2
aantreden,to assume office,就任,VERB,B2
aanname,assumption,假设,NOUN,B2
verzekeren,to assure,保证,VERB,B2
asteroïde,asteroid,小行星,NOUN,B2
astma,asthma,哮喘,NOUN,B2
verbazen,to astonish,使惊讶,VERB,B2
verbazingwekkend,astonishing,令人惊讶的,ADJ,B2
verbazing,astonishment,惊讶,NOUN,B2
astrologie,astrology,占星术,NOUN,B2
astronomisch,astronomical,天文学的,ADJ,B2
astronomie,astronomy,天文学,NOUN,B2
schrander,astute,精明的,ADJ,B2
asynchroon,asynchronous,异步的,ADJ,B2
helemaal,at all,根本,ADV,B2
ooit,at any time,随时,ADV,B2
ontspannen,at ease,安心,ADJ,B2
atheïsme,atheism,无神论,NOUN,B2
atoom,atom,原子,NOUN,B2
atomair,atomic,原子的,ADJ,B2
boeten,to atone,赎罪,VERB,B2
bijlage,attachment,附件,NOUN,B2
bereiken,to attain,达到,VERB,B2
bijwonen,to attend,出席,VERB,B2
aanwezigheid,attendance,出席,NOUN,B2
bediende,attendant,服务员,NOUN,B2
oplettend,attentive,专心的,ADJ,B2
kleding,attire,服装,NOUN,B2
advocaat,attorney,律师,NOUN,B2
eigenschap,attribute,属性,NOUN,B2
atypisch,atypical,非典型的,ADJ,B2
driestheid,audacity,大胆,NOUN,B2
auditeren,audit,审计,NOUN,B2
auditeren,to audit,审计,VERB,B2
auster,austere,严厉的,ADJ,B2
austeriteit,austerity,紧缩,NOUN,B2
authenticatie,authentication,认证,NOUN,B2
authenticiteit,authenticity,真实性,NOUN,B2
autorisatie,authorization,授权,NOUN,B2
geautoriseerd,authorized,有资格的,ADJ,B2
autobiografie,autobiography,自传,NOUN,B2
autograaf,autograph,亲笔签名,NOUN,B2
automatiseren,to automate,使自动化,VERB,B2
geautomatiseerd,automated,自动化的,ADJ,B2
automatisch,automatically,自动地,ADV,B2
autopsie,autopsy,尸检,NOUN,B2
lawine,avalanche,雪崩,NOUN,B2
wreken,to avenge,复仇,VERB,B2
aversie,aversion,厌恶,NOUN,B2
vermijding,avoidance,避免,NOUN,B2
afwachten,to await,等待,VERB,B2
ontwaking,awakening,觉醒,NOUN,B2
prijs,award,奖项,NOUN,B2
bewust,aware,意识到的,ADJ,B2
ontzag,awe,敬畏,NOUN,B2
onhandig,awkward,尴尬的,ADJ,B2
bijl,axe,斧头,NOUN,B2
axioma,axiom,公理,NOUN,B2
as,axis,轴,NOUN,B2
bazi,ba zi,八字,NOUN,B2
bachelorgraad,bachelor's degree,学士学位,NOUN,B2
achterdeur,back door,后门,NOUN,B2
achterbank,back seat,后座,NOUN,B2
ruggengraat,backbone,脊梁,NOUN,B2
terugstroom,backflow,倒流,NOUN,B2
rugstoot,backstab,背刺,NOUN,B2
back-up,backup,备份,NOUN,B2
achteruitrijlicht,backup light,倒车灯,NOUN,B2
bacteriën,bacteria,细菌,NOUN,B2
slecht idee,bad idea,坏水,NOUN,B2
slecht nieuws,bad news,坏消息,NOUN,B2
slecht ding,bad thing,坏事,NOUN,B2
borgsom,bail,保释,NOUN,B2
aas,bait,诱饵,NOUN,B2
gebalanceerd,balanced,平衡的,ADJ,B2
ballet,ballet,芭蕾舞,NOUN,B2
balsefeer,ballpoint pen,圆珠笔,NOUN,B2
verbieden,to ban,禁止,VERB,B2
banaliteit,banality,陈词滥调,NOUN,B2
band,band,乐队,NOUN,B2
bandiet,bandit,强盗,NOUN,B2
knal,bang,巨响,NOUN,B2
verbanning,banishment,流放,NOUN,B2
bankier,banker,银行家,NOUN,B2
bank-,banking,银行的,ADJ,B2
bankbiljet,banknote,钞票,NOUN,B2
banket,banquet,宴会,NOUN,B2
gejok,banter,戏谑,NOUN,B2
dopen,to baptize,施洗,VERB,B2
bar,bar,酒吧,NOUN,B2
barbarisme,barbarism,野蛮,NOUN,B2
barbarij,barbarity,残暴,NOUN,B2
blaffen,to bark,吠叫,VERB,B2
gerst,barley,大麦,NOUN,B2
Barrière,barrier,障碍,NOUN,B2
Basis,base,基础,NOUN,B2
Honkbal,baseball,棒球,NOUN,B2
Kelder,basement,地下室,NOUN,B2
Laagheid,baseness,卑鄙,NOUN,B2
basis,basic,基本的,ADJ,B2
Basilicum,basil,罗勒,NOUN,B2
Basiliek,basilica,大教堂,NOUN,B2
Bekken,basin,盆,NOUN,B2
Bas,bass,贝斯,NOUN,B2
Bastaard,bastard,混蛋,NOUN,B2
Knuppel,bat,蝙蝠,NOUN,B2
Partij,batch,一批,NOUN,B2
baden,to bathe,洗澡,VERB,B2
Badkuip,bathtub,浴缸,NOUN,B2
Bataljon,battalion,营,NOUN,B2
Strijd,battle,战斗,NOUN,B2
Slagveld,battlefield,战场,NOUN,B2
Baai,bay,海湾,NOUN,B2
kunnen,be able to,能,AUX,B2
kunnen,to be able to,能够,VERB,B2
afwezig zijn,to be absent,缺席,VERB,B2
verslaafd zijn,to be addicted,上瘾,VERB,B2
geboren worden,to be born,出生,VERB,B2
moedig zijn,to be brave,勇善,VERB,B2
beschadigd raken,to be damaged,受损,VERB,B2
verslagen worden,to be defeated,会败,VERB,B2
klaar zijn,to be done,被做,VERB,B2
gretig zijn,to be eager,心切,VERB,B2
verlangen naar,to be eager for,巴不得,VERB,B2
gekozen worden,to be elected,当选,VERB,B2
volstaan,to be enough,足够,VERB,B2
betoverd zijn,to be entranced,出神,VERB,B2
toebehoren,to belong to,属于,VERB,B2
Toebehoor,belonging,归属感,NOUN,B2
Toebehoor,belongings,所属物,NOUN,B2
Onder,below,在...下面,ADP,B2
Bank,bench,长凳,NOUN,B2
Meedogenaar,benefactor,恩人,NOUN,B2
Begunstigde,beneficiary,受益人,NOUN,B2
meedogenend,benevolent,仁慈的,ADJ,B2
Naast,beside next to,旁边,NOUN,B2
belegeren,to besiege,包围,VERB,B2
schenken,to bestow,授予,VERB,B2
Schenking,bestowal,授予,NOUN,B2
Weddenschap,bet,打赌,NOUN,B2
Beter,better,越好,NOUN,B2
Verwarring,bewilderment,困惑,NOUN,B2
buiten,beyond,在...之外,ADP,B2
Vooringenomenheid,bias,偏见,NOUN,B2
vooringenomen,biased,有偏见的,ADJ,B2
Inschikkingsbedrog,bid collusion,串标,NOUN,B2
Inschikkingsbeoordeling,bid evaluation,评标,NOUN,B2
Inschikkingsopening,bid opening,开标,NOUN,B2
grootste,biggest,最大,ADJ,B2
Galsap,bile,胆汁,NOUN,B2
Biljart,billiards,台球,NOUN,B2
binair,binary,二进制的,ADJ,B2
Biodiversiteit,biodiversity,生物多样性,NOUN,B2
biologisch,biological,生物的,ADJ,B2
Biomassa,biomass,生物质,NOUN,B2
Biopt,biopsy,活检,NOUN,B2
Biotechnologie,biotechnology,生物技术,NOUN,B2
Bijt,biting,尖刻的,ADJ,B2
bitterheid,bitterness,苦涩,NOUN,B2
zwarte markt,black market,黑市,NOUN,B2
zwarte toga,black robe,黑衣,NOUN,B2
schoolbord,blackboard,黑板,NOUN,B2
chanteren,blackmail,敲诈,NOUN,B2
chanteren,to blackmail,勒索,VERB,B2
smid,blacksmith,铁匠,NOUN,B2
lemmet,blade,刀片,NOUN,B2
verwijten,blame,责备,NOUN,B2
verwijten,to blame,责备,VERB,B2
flauw,bland,平淡的,ADJ,B2
vuurzee,blaze,火焰,NOUN,B2
bleekmiddel,bleach,漂白剂,NOUN,B2
bloeden,to bleed,出血,VERB,B2
bloeding,bleeding,出血,NOUN,B2
smet,blemish,瑕疵,NOUN,B2
zegenen,to bless,祝福,VERB,B2
gelukzaligheid,bliss,极乐,NOUN,B2
sneeuwstorm,blizzard,暴风雪,NOUN,B2
blok,bloc,阵营,NOUN,B2
blokkeren,to blockade,封锁,VERB,B2
bloedschuld,blood debt,血债,NOUN,B2
bloedzee,blood sea,血海,NOUN,B2
bloederig,bloody,血淋淋的,ADJ,B2
vlek,blot,污点,NOUN,B2
blouse,blouse,女衬衫,NOUN,B2
blauwe bes,blueberry,蓝莓,NOUN,B2
botweg,bluntly,直率地,ADV,B2
vervagen,to blur,模糊,VERB,B2
kostschool,boarding school,寄宿学校,NOUN,B2
opscheppen,to boast,吹嘘,VERB,B2
lichamelijk,bodily,身体上的,ADJ,B2
lijfwacht,bodyguard,保镖,NOUN,B2
ketel,boiler,锅炉,NOUN,B2
koken,boiling,沸腾,NOUN,B2
moedig,bold,大胆的,ADJ,B2
durf,boldness,大胆,NOUN,B2
bombardement,bombing,轰炸,NOUN,B2
beenderig,bony,瘦骨嶙峋的,ADJ,B2
kraam,booth,摊位,NOUN,B2
grenzend,border,边境的,ADJ,B2
boren,to bore,使厌烦,VERB,B2
verveeld,bored,无聊的,ADJ,B2
verveling,boredom,无聊,NOUN,B2
ontleener,borrower,借款人,NOUN,B2
lening,borrowing,借贷,NOUN,B2
beide,both,两者都,DET,B2
beide handen,both hands,双手,NOUN,B2
storen,bother,麻烦,NOUN,B2
storen,to bother,打扰,VERB,B2
rotsblok,boulder,巨石,NOUN,B2
gebonden,bound,一定的,ADJ,B2
grens,boundary,边界,NOUN,B2
boksen,boxing,拳击,NOUN,B2
boycotten,to boycott,抵制,VERB,B2
armband,bracelet,手镯,NOUN,B2
pralen,to brag,吹嘘,VERB,B2
rem,brake,刹车,NOUN,B2
gloednieuw,brand new,崭新的,ADJ,B2
moed,bravery,勇敢,NOUN,B2
onbeschaamdheid,brazenness,厚颜无耻,NOUN,B2
schending,breach,违反,NOUN,B2
contract schenden,to breach contract,违约,VERB,B2
kapotgaan,to break down,分解,VERB,B2
brief,brief,简短的,ADJ,B2
emmer,bucket,桶,NOUN,B2
boekweit,buckwheat,荞麦,NOUN,B2
insect,bug,虫子,NOUN,B2
pestkop,bully,欺凌者,NOUN,B2
bureau,bureau,局,NOUN,B2
bureaucratie,bureaucracy,官僚主义,NOUN,B2
inbreker,burglar,窃贼,NOUN,B2
begrafenis,burial,埋葬,NOUN,B2
brandwond,burn,烧伤,NOUN,B2
verbrand,burnt,烧焦的,ADJ,B2
boeren,to burp,打嗝,VERB,B2
barsten,to burst,爆发,VERB,B2
struik,bush,灌木,NOUN,B2
zakelijk,business,商业的,ADJ,B2
zakenbijeenkomst,business meeting,洽谈会,NOUN,B2
drukte,busyness,事忙,NOUN,B2
maar,but,然而,ADV,B2
maar ik,but i,可我,ADV,B2
maar jij,but you,但您,NOUN,B2
slager,butcher,屠夫,NOUN,B2
bij,by,通过,ADP,B2
met alle middelen,by fair means or foul,不择手段,ADV,B2
door middel van,by means of,凭借,NOUN,B2
vervlogen,bygone,过去的,ADJ,B2
bypassoperatie,bypass surgery,搭桥手术,NOUN,B2
kool,cabbage,卷心菜,NOUN,B2
hut,cabin,小屋,NOUN,B2
rekenmachine,calculator,计算器,NOUN,B2
kalf,calf,小腿,NOUN,B2
kalibratie,calibration,校准,NOUN,B2
kalligrafie,calligraphy,书法,NOUN,B2
gevoelloos,callous,冷酷,ADJ,B2
rust,calm,平静,NOUN,B2
kameel,camel,骆驼,NOUN,B2
camera,camera,照相机,NOUN,B2
campagnen,to campaign,积极参与活动,VERB,B2
camping,camping,露营,NOUN,B2
alleen kunnen,can only,只能,AUX,B2
niet geloven,to can't believe,不敢相信,VERB,B2
onvermijdelijk,can't help,不由得,ADV,B2
annulering,cancellation,取消,NOUN,B2
kandidatuur,candidacy,候选资格,NOUN,B2
snoep,candy,糖果,NOUN,B2
blikvoedsel,canned food,罐头食品,NOUN,B2
kanon,cannon,大炮,NOUN,B2
niet kunnen,cannot,不能,AUX,B2
niet kunnen verdragen,to cannot bear,不堪,VERB,B2
niet kunnen helpen,to cannot help,忍不住,VERB,B2
capaciteit,capability,能力,NOUN,B2
bekwaam,capable,有能力的,ADJ,B2
kap,cape,海角,NOUN,B2
gevangname,capture,捕获,NOUN,B2
auto-ongeluk,car accident,车祸,NOUN,B2
autoverzekering,car insurance,车险,NOUN,B2
koolstof,carbon,碳,NOUN,B2
koolstoftaks,carbon tax,碳税,NOUN,B2
cardiaal,cardiac,心脏的,ADJ,B2
zorgverlener,caregiver,护理人员,NOUN,B2
onvoorzichtig,careless,粗心的,ADJ,B2
aaien,to caress,爱抚,VERB,B2
beheerder,caretaker,房屋管理员,NOUN,B2
lading,cargo,货物,NOUN,B2
caricatuur,caricature,讽刺画,NOUN,B2
timmerman,carpenter,木匠,NOUN,B2
timmerwerk,carpentry,木工,NOUN,B2
kleed,carpet,地毯,NOUN,B2
kar,carriage,马车,NOUN,B2
scheikunde,chemistry,化学,NOUN,B2
koesteren,to cherish,珍爱,VERB,B2
kers,cherry,樱桃,NOUN,B2
schaak,chess,国际象棋,NOUN,B2
borstpijn,chest pain,胸痛,NOUN,B2
kastanje,chestnut,板栗,NOUN,B2
kauwgom,chewing gum,口香糖,NOUN,B2
kuiken,chick,小鸡,NOUN,B2
kinderachtig,childish,幼稚的,ADJ,B2
chilipeper,chili pepper,辣椒,NOUN,B2
schoorsteen,chimney,烟囱,NOUN,B2
kin,chin,下巴,NOUN,B2
chinees,chinese language,华文,NOUN,B2
tsjilpen,to chirp,啁啾,VERB,B2
beitel,chisel,凿子,NOUN,B2
ridderlijkheid,chivalry,骑士精神,NOUN,B2
haks,chop,砍,NOUN,B2
chromosoom,chromosome,染色体,NOUN,B2
kaneel,cinnamon,肉桂,NOUN,B2
omcirkelen,to circumscribe,限制,VERB,B2
circus,circus,马戏团,NOUN,B2
citatie,citation,引用,NOUN,B2
citeren,to cite,引用,VERB,B2
burgerschap,citizenship,公民身份,NOUN,B2
stadhuis,city hall,市政厅,NOUN,B2
burger,civilian,平民,NOUN,B2
beschaafd,civilized,文明的,ADJ,B2
gewoel,clamor,喧嚣,NOUN,B2
klem,clamp,夹钳,NOUN,B2
klan,clan,家族,NOUN,B2
verduidelijken,to clarify,澄清,VERB,B2
klassieker,classic,经典作品,NOUN,B2
bewolkt,cloudy,阴沉的,ADJ,B2
club,club,俱乐部,NOUN,B2
koppeling,clutch,离合器,NOUN,B2
steenkool,coal,煤,NOUN,B2
overreding,coaxing,哄得,NOUN,B2
cocaïne,cocaine,可卡因,NOUN,B2
coëfficiënt,coefficient,系数,NOUN,B2
samenleven,to coexist,共存,VERB,B2
kist,coffin,棺材,NOUN,B2
samenhang,cohesion,凝聚力,NOUN,B2
samenvallen,to coincide,同时发生,VERB,B2
toeval,coincidence,巧合,NOUN,B2
vergiet,colander,漏勺,NOUN,B2
koud bloed,cold blood,冷血,NOUN,B2
koudegolf,cold wave,寒潮,NOUN,B2
koeltjes,coldly,冷淡地,ADV,B2
medewerker,collaborator,合作者,NOUN,B2
instorten,collapse,倒塌,NOUN,B2
instorten,to collapse,倒塌,VERB,B2
kraag,collar,衣领,NOUN,B2
botsen,to collide,碰撞,VERB,B2
botsing,collision,碰撞,NOUN,B2
samenspannen,to collude,勾结,VERB,B2
dubbele punt,colon,冒号,NOUN,B2
kolonialisme,colonialism,殖民主义,NOUN,B2
kleur,color,颜色,NOUN,B2
kolom,column,列,NOUN,B2
kammen,to comb,梳头,VERB,B2
gevecht,combat,战斗,NOUN,B2
komen van,to come from,来自,VERB,B2
hier komen,to come here,来到这里,VERB,B2
binnenkomen,to come in,进来,VERB,B2
uitkomen,to come out,出来,VERB,B2
overkomen,to come over,顺道来访,VERB,B2
komeet,comet,彗星,NOUN,B2
troosten,comfort,安慰,NOUN,B2
troosten,to comfort,安慰,VERB,B2
komisch,comic,喜剧的,ADJ,B2
komst,coming,مجيء,NOUN,B2
kom en ga,coming and going,往来,NOUN,B2
commandocentrale,command room,指挥室,NOUN,B2
herdenken,to commemorate,纪念,VERB,B2
handel,commerce,商业,NOUN,B2
plegen,to commit a crime,犯罪,VERB,B2
gecommitteerd,committed,投入的,ADJ,B2
gemeenschappelijkheid,commonality,共同点,NOUN,B2
gemeen,commoner,平民,NOUN,B2
commotie,commotion,骚动,NOUN,B2
communiqué,communique,公报,NOUN,B2
communisme,communism,共产主义,NOUN,B2
communitarisme,communitarianism,社群主义,NOUN,B2
gezelschap,companionship,陪伴,NOUN,B2
compartiment,compartment,隔间,NOUN,B2
kompas,compass,指南针,NOUN,B2
medelijden,compassion,同情,NOUN,B2
compatibiliteit,compatibility,兼容性,NOUN,B2
landgenoot,compatriot,同胞,NOUN,B2
dwingen,to compel,强迫,VERB,B2
compensatieverlof,compensatory leave,调休,NOUN,B2
concurrerendheid,competitiveness,竞争力,NOUN,B2
compileren,to compile,编译,VERB,B2
complementair,complementary,互补的,ADJ,B2
concert,concert,音乐会,NOUN,B2
leiden,conduct,行为,NOUN,B2
leiden,to conduct,أجرى,VERB,B2
kegel,cone,圆锥体,NOUN,B2
confederatie,confederation,邦联,NOUN,B2
biecht,confession,供认,NOUN,B2
toevertrouwen,to confide,吐露,VERB,B2
vertrouwen,confidence,信心,NOUN,B2
zelfverzekerd,confident,自信的,ADJ,B2
confisqueren,to confiscate,没收,VERB,B2
confiscatie,confiscation,没收,NOUN,B2
conflict,conflict,冲突,NOUN,B2
conformisme,conformism,因循守旧,NOUN,B2
verward,confused,困惑的,ADJ,B2
feliciteren,to congratulate,祝贺,VERB,B2
gemeente,congregation,集会,NOUN,B2
naaldbos,coniferous forest,针叶林,NOUN,B2
vermoeden,conjecture,推测,NOUN,B2
vervoeging,conjugation,变位,NOUN,B2
toveren,to conjure,变魔术,VERB,B2
kenner,connoisseur,行家,NOUN,B2
veroveraar,conqueror,征服者,NOUN,B2
nauwgezet,conscientious,认真的,ADJ,B2
wijden,to consecrate,奉献,VERB,B2
opeenvolgende kaarten,consecutive cards,连牌,NOUN,B2
toestemming,consent,同意,NOUN,B2
bijgevolg,consequently,因此,ADV,B2
attent,considerate,体贴,ADJ,B2
zending,consignment,托运,NOUN,B2
bestaan,to consist,组成,VERB,B2
consistentie,consistency,一致性,NOUN,B2
troosten,to console,安慰,VERB,B2
consolideren,to consolidate,巩固,VERB,B2
metgezel,consort,福晋,NOUN,B2
opvallend,conspicuous,显著的,ADJ,B2
complotteren,to conspire,密谋,VERB,B2
wachtmeester,constable,警官,NOUN,B2
constante,constant,常数,NOUN,B2
constant,constantly,不断地,ADV,B2
sterrenbeeld,constellation,星座,NOUN,B2
obstipatie,constipation,便秘,NOUN,B2
kiezersdistrict,constituency,选区,NOUN,B2
vormen,to constitute,构成,VERB,B2
constitutioneel,constitutional,宪法的,ADJ,B2
beperken,to constrain,限制,VERB,B2
beperking,constraint,约束,NOUN,B2
bouwwerf,construction site,工地,NOUN,B2
consulair,consular,领事的,ADJ,B2
consulaat,consulate,领事馆,NOUN,B2
raadplegen,to consult,咨询,VERB,B2
raadplegen,to consult reference,参考,VERB,B2
adviseur,consultant,顾问,NOUN,B2
consumeren,to consume,消费,VERB,B2
contact,contact,联系,NOUN,B2
besmettelijk,contagious,传染性的,ADJ,B2
verontreinigen,to contaminate,污染,VERB,B2
overwegen,to contemplate,沉思,VERB,B2
contemplatief,contemplative,沉思的,ADJ,B2
verachting,contempt,轻视,NOUN,B2
tevredenheid,contentment,满足,NOUN,B2
wedstrijd,contest,比赛,NOUN,B2
contingentie,contingency,偶然性,NOUN,B2
voortzetting,continuation,延续,NOUN,B2
continuïteit,continuity,连续性,NOUN,B2
tegenspreken,to contradict,反驳,VERB,B2
tegenstelling,contrary,反而,NOUN,B2
tegenstrijdige bedoeling,contrary intention,反意,NOUN,B2
schenden,to contravene,违反,VERB,B2
