Spanish_Lemma,English_Lemma,Chinese_Lemma,POS
desasosegar,to make uneasy,使不安,VERB
desasosiego,unease,不安,NOUN
desastrado,untidy,邋遢的,ADJ
desatado,unleashed,被释放的,ADJ
desatar,to untie,解开,VERB
desatender,to neglect,忽视,VERB
desatento,inattentive,不专心的,ADJ
desatinar,to err,犯错,VERB
desatino,blunder,大错,NOUN
desavenencia,disagreement,不和,NOUN
desavenir,to disagree,不和,VERB
desazonar,to make uneasy,使烦恼,VERB
desbancar,to oust,推翻,VERB
desbandada,stampede,溃逃,NOUN
desbarajustar,to disarrange,弄乱,VERB
desbarajuste,disorder,混乱,NOUN
desbaratar,to ruin,破坏,VERB
desbarrar,to talk nonsense,胡言乱语,VERB
desbastar,to rough-hew,粗加工,VERB
desbocado,bolted,失控的,ADJ
desbordamiento,overflow,溢出,NOUN
desbordar,to overflow,溢出,VERB
desbravar,to tame,驯服,VERB
descabalgar,to dismount,下马,VERB
descabellado,outlandish,荒谬的,ADJ
descacharrante,hilarious,令人捧腹的,ADJ
descalabrar,to wound,使受伤,VERB
descalabro,setback,挫折,NOUN
descalificación,disqualification,取消资格,NOUN
descalificar,to disqualify,取消资格,VERB
descalzo,barefoot,赤脚的,ADJ
descamación,desquamation,脱皮,NOUN
descaminado,off-track,误入歧途的,ADJ
descampado,open ground,空地,NOUN
descarado,brazen,厚颜无耻的,ADJ
descargo,exoneration,免责,NOUN
descarnado,emaciated,瘦骨嶙峋的,ADJ
descaro,brazenness,厚颜无耻,NOUN
descarriado,led astray,误入歧途的,ADJ
descarriar,to lead astray,使入歧途,VERB
descarrilamiento,derailment,脱轨,NOUN
descarrilar,to derail,脱轨,VERB
descartar,to discard,丢弃,VERB
descastado,unaffectionate,冷漠的,ADJ
descendencia,descent,后代,NOUN
descender,to descend,下降,VERB
descendiente,descendant,后代,NOUN
descenso,descent,下降,NOUN
descentrado,off-center,偏心的,ADJ
descerrajar,to break open,撬开,VERB
descifrar,to decipher,破译,VERB
desclasificar,to declassify,解密,VERB
descoco,brazenness,厚颜无耻,NOUN
descolgar,to take down,取下,VERB
descollar,to stand out,脱颖而出,VERB
descolorido,faded,褪色的,ADJ
descomedido,immoderate,无礼的,ADJ
descomedirse,to behave rudely,举止无礼,VERB
descompasado,disproportionate,不成比例的,ADJ
descomponer,to decompose,分解,VERB
descompostura,decomposition,紊乱,NOUN
descomprimir,to decompress,减压,VERB
descompuesto,decomposed,分解的,ADJ
descomunal,enormous,巨大的,ADJ
desconcentrar,to distract,使分心,VERB
desconcertar,to disconcert,使困惑,VERB
desconcierto,confusion,困惑,NOUN
desconectar,to disconnect,断开,VERB
desconfiado,distrustful,不信任的,ADJ
desconfianza,distrust,不信任,NOUN
desconfiar,to distrust,不信任,VERB
desconocer,to be unaware,不知道,VERB
desconocimiento,lack of knowledge,无知,NOUN
desconsiderado,inconsiderate,考虑不周的,ADJ
desconsolación,disconsolation,悲痛,NOUN
desconsolado,disconsolate,悲痛欲绝的,ADJ
desconsolar,to disconsole,使悲痛,VERB
desconsuelo,distress,悲痛,NOUN
descontentadizo,hard to please,难以取悦的,ADJ
descontento,discontent,不满,NOUN
descontextualizar,to decontextualize,脱离语境,VERB
descorazonado,disheartened,灰心的,ADJ
descorazonar,to dishearten,使灰心,VERB
descorrer,to draw back,拉开,VERB
descortesía,impoliteness,无礼,NOUN
descortés,impolite,无礼的,ADJ
descoyuntar,to dislocate,使脱臼,VERB
descreído,unbelieving,不信的,ADJ
descriptivo,descriptive,描述性的,ADJ
descrédito,discredit,丧失信誉,NOUN
descuidado,careless,粗心的,ADJ
descuidar,to neglect,忽视,VERB
descuido,carelessness,疏忽,NOUN
desdecir,to retract,收回（诺言）,VERB
desdeñable,negligible,微不足道的,ADJ
desdeñar,to disdain,轻视,VERB
desdeñoso,disdainful,轻蔑的,ADJ
desdibujado,blurred,模糊的,ADJ
desdibujar,to blur,使模糊,VERB
desdicha,misfortune,不幸,NOUN
desdichado,unfortunate,不幸的,ADJ
desdoblamiento,unfolding,展开,NOUN
desdoblar,to unfold,展开,VERB
desdorar,to tarnish,使失去光泽,VERB
desdén,disdain,轻蔑,NOUN
deseable,desirable,可取的,ADJ
desecación,desiccation,干燥,NOUN
desechar,to discard,丢弃,VERB
desecho,waste,废物,NOUN
desembarazar,to clear,清理,VERB
desembarcar,to disembark,登陆,VERB
desembarco,landing,登陆,NOUN
desembocadura,mouth,河口,NOUN
desembocar,to flow into,流入,VERB
desembolso,disbursement,支出,NOUN
desembragar,to disengage,使脱离,VERB
desemejante,dissimilar,不同的,ADJ
desempaquetar,to unpack,打开包装,VERB
desempate,tiebreaker,决胜局,NOUN
desempeñar,to perform,履行,VERB
desempleo,unemployment,失业,NOUN
desencadenar,to unleash,引发,VERB
desencajar,to dislocate,使脱臼,VERB
desencaje,dislocation,脱位,NOUN
desencanto,disenchantment,幻灭,NOUN
desencauzar,to divert,改道,VERB
desenchufar,to unplug,拔掉插头,VERB
desenfadado,carefree,无忧无虑的,ADJ
desenfado,ease,轻松,NOUN
desenfreno,recklessness,放纵,NOUN
desenfundar,to draw,拔出,VERB
desengañar,to disabuse,使醒悟,VERB
desengaño,disillusionment,幻灭,NOUN
desenjaular,to uncage,放出笼子,VERB
desenlace,outcome,结局,NOUN
desenmarañar,to disentangle,解开,VERB
desenmascarar,to unmask,揭穿,VERB
desenredar,to untangle,解开,VERB
desenrollar,to unroll,展开,VERB
desentenderse,to feign ignorance,装傻,VERB
desenterrar,to unearth,挖掘,VERB
desentonar,to clash,不协调,VERB
desentrañar,to unravel,揭示,VERB
desenvainar,to unsheathe,出鞘,VERB
desenvoltura,ease,自如,NOUN
desenvuelto,confident,自信的,ADJ
desenzarzar,to extricate,解脱,VERB
desequilibrar,to unbalance,使失衡,VERB
deserción,desertion,逃亡,NOUN
desertar,to desert,擅离职守,VERB
desertor,deserter,逃兵,NOUN
desesperanza,hopelessness,绝望,NOUN
desesperar,to despair,绝望,VERB
desestabilizar,to destabilize,使不稳定,VERB
desestimar,to dismiss,驳回,VERB
desfachatez,impudence,厚颜无耻,NOUN
desfalco,embezzlement,贪污,NOUN
desfallecer,to faint,昏厥,VERB
desfasado,outdated,过时的,ADJ
desfase,gap,差距,NOUN
desfavorable,unfavorable,不利的,ADJ
desfigurar,to disfigure,毁容,VERB
desfiladero,gorge,峡谷,NOUN
desfilar,to parade,游行,VERB
desgaire,carelessness,疏忽,NOUN
desgajar,to detach,折断,VERB
desgarbado,ungainly,笨拙的,ADJ
desgarrador,heartbreaking,令人心碎的,ADJ
desgarrar,to tear,撕裂,VERB
desgarro,tear,撕裂伤,NOUN
desgastar,to wear out,磨损,VERB
desgaste,wear,磨损,NOUN
desgañitarse,to shout oneself hoarse,喊破嗓子,VERB
desglosar,to break down,分解,VERB
desgranar,to shell,脱粒,VERB
desgreñado,disheveled,蓬乱的,ADJ
deshabitado,uninhabited,无人居住的,ADJ
deshacer,to undo,解开,VERB
deshelarse,to thaw,解冻,VERB
desheredar,to disinherit,剥夺继承权,VERB
deshilachado,frayed,磨损的,ADJ
deshilvanado,disjointed,不连贯的,ADJ
deshollinador,chimney sweep,扫烟囱的人,NOUN
deshonra,dishonor,耻辱,NOUN
deshonrar,to dishonor,使蒙羞,VERB
deshonroso,dishonorable,可耻的,ADJ
deshora,untimely,不合时宜的,NOUN
desidia,negligence,懈怠,NOUN
desidioso,slothful,懒惰的,ADJ
designación,designation,指定,NOUN
designar,to designate,指定,VERB
desigual,unequal,不平等的,ADJ
desigualdad,inequality,不平等,NOUN
desilusión,disillusionment,幻灭,NOUN
desinencia,inflection,词尾,NOUN
desinfectar,to disinfect,消毒,VERB
desinflar,to deflate,放气,VERB
desinformación,disinformation,虚假信息,NOUN
desinhibido,disinhibited,不拘束的,ADJ
desintegrar,to disintegrate,分解,VERB
desinteresado,disinterested,公正的,ADJ
desinterés,disinterest,不关心,NOUN
desistir,to desist,停止,VERB
desleal,disloyal,不忠的,ADJ
deslealtad,disloyalty,不忠,NOUN
deslegitimar,to delegitimize,使失去合法性,VERB
deslenguado,foul-mouthed,口无遮拦的,ADJ
desleír,to dissolve,调开,VERB
desliar,to untie,解开,VERB
desligar,to untie,解开,VERB
deslindar,to delimit,划定界限,VERB
desliz,slip,失误,NOUN
deslizar,to slide,滑动,VERB
deslomar,to break the back,压垮,VERB
deslucir,to tarnish,使失色,VERB
deslumbrante,dazzling,耀眼的,ADJ
deslumbrar,to dazzle,使眼花,VERB
desmadejar,to weaken,削弱,VERB
desmandar,to disobey,不服从,VERB
desmantelar,to dismantle,拆除,VERB
desmayar,to faint,昏倒,VERB
desmayarse,to faint,昏倒,VERB
desmayo,faint,昏厥,NOUN
desmañado,clumsy,笨拙的,ADJ
desmedido,excessive,过度的,ADJ
desmejorado,deteriorated,恶化的,ADJ
desmejorar,to worsen,恶化,VERB
desmemoriado,forgetful,健忘的,ADJ
desmentir,to deny,否认,VERB
desmerecer,to be unworthy,不配,VERB
desmesura,immoderation,过度,NOUN
desmesurado,immoderate,过度的,ADJ
desmoche,pruning,修剪,NOUN
desmontable,detachable,可拆卸的,ADJ
desmoralización,demoralization,士气低落,NOUN
desmoralizar,to demoralize,使士气低落,VERB
desmoronar,to crumble,使崩塌,VERB
desmoronarse,to crumble,崩塌,VERB
desmán,outrage,暴行,NOUN
desnaturalizar,to denature,使变性,VERB
desnivel,unevenness,高低差,NOUN
desnudar,to undress,脱衣,VERB
desnudez,nudity,裸体,NOUN
desnutrición,malnutrition,营养不良,NOUN
desobedecer,to disobey,不服从,VERB
desobediencia,disobedience,不服从,NOUN
desobediente,disobedient,不服从的,ADJ
desocupado,unoccupied,空闲的,ADJ
desolación,desolation,荒凉,NOUN
desolado,desolate,荒凉的,ADJ
desolar,to desolate,使荒凉,VERB
desollar,to skin,剥皮,VERB
desorbitado,exorbitant,过高的,ADJ
desorbitar,to exaggerate,夸大,VERB
desordenado,disorderly,杂乱的,ADJ
desorganización,disorganization,无组织,NOUN
desorientación,disorientation,迷失方向,NOUN
desorientado,disoriented,迷失方向的,ADJ
desorientar,to disorient,使迷失方向,VERB
desovar,to spawn,产卵,VERB
despabilado,wide-awake,警觉的,ADJ
despachar,to dispatch,派遣,VERB
despacioso,leisurely,从容的,ADJ
despampanante,stunning,惊人的,ADJ
desparpajo,nerve,大胆,NOUN
desparramar,to scatter,散开,VERB
despavorido,terrified,惊恐的,ADJ
despechado,spiteful,怀恨的,ADJ
despecho,spite,怨恨,NOUN
despectivo,derogatory,轻蔑的,ADJ
despedazar,to tear to pieces,撕碎,VERB
despego,detachment,冷漠,NOUN
despegue,takeoff,起飞,NOUN
despeinar,to dishevel,弄乱头发,VERB
despejar,to clear,清除,VERB
despellejar,to skin,剥皮,VERB
despelotar,to undress,脱光衣服,VERB
despeluchar,to pull out hair,拔毛,VERB
desperdiciar,to waste,浪费,VERB
desperdigar,to scatter,散布,VERB
desperezarse,to stretch,伸懒腰,VERB
desperfecto,flaw,瑕疵,NOUN
despersonalizar,to depersonalize,去个性化,VERB
despertador,alarm clock,闹钟,NOUN
despeñadero,precipice,悬崖,NOUN
despiadado,ruthless,无情的,ADJ
despido,dismissal,解雇,NOUN
despilfarrar,to squander,挥霍,VERB
despilfarro,extravagance,挥霍,NOUN
despistar,to mislead,误导,VERB
despiste,absent-mindedness,心不在焉,NOUN
desplante,impertinence,傲慢无礼,NOUN
desplazamiento,displacement,位移,NOUN
desplazar,to move,移动,VERB
desplegar,to deploy,部署,VERB
despliegue,deployment,部署,NOUN
desplomar,to collapse,倒塌,VERB
desplome,collapse,倒塌,NOUN
desplumar,to fleece,敲竹杠,VERB
despoblar,to depopulate,使人口减少,VERB
despojar,to despoil,剥夺,VERB
despojo,plunder,掠夺,NOUN
desposar,to wed,娶；嫁,VERB
desposeer,to dispossess,剥夺,VERB
desposorio,betrothal,订婚,NOUN
despotismo,despotism,专制,NOUN
despotricar,to rant,怒骂,VERB
despreciable,despicable,可鄙的,ADJ
despreciar,to despise,鄙视,VERB
desprecio,contempt,蔑视,NOUN
desprender,to detach,分离,VERB
desprendido,generous,慷慨的,ADJ
desprendimiento,detachment,脱落,NOUN
despreocupado,carefree,无忧无虑的,ADJ
desprestigiar,to discredit,使失去声望,VERB
desprestigio,disrepute,声名狼藉,NOUN
desprevenido,unprepared,无准备的,ADJ
desproporcionar,to disproportion,使不成比例,VERB
desproporción,disproportion,不成比例,NOUN
despropósito,nonsense,胡话,NOUN
desproveer,to deprive,剥夺,VERB
desprovisto,devoid,缺乏的,ADJ
despunte,outset,开端,NOUN
despótico,despotic,专制的,ADJ
desquiciar,to unhinge,使发狂,VERB
desquite,revenge,报复,NOUN
destacable,notable,显著的,ADJ
destacado,prominent,杰出的,ADJ
destacar,to stand out,突出,VERB
destajo,piecework,计件工作,NOUN
destapar,to uncover,揭开,VERB
destartalado,run-down,破旧的,ADJ
destellar,to sparkle,闪烁,VERB
destello,sparkle,闪光,NOUN
destemplado,intemperate,过激的,ADJ
desterrar,to exile,流放,VERB
destierro,exile,流放,NOUN
destilar,distill,蒸馏,VERB
destinatario,recipient,收件人,NOUN
destitución,dismissal,免职,NOUN
destituir,dismiss,免职,VERB
destornillado,crazy,疯狂的,ADJ
destreza,dexterity,灵巧,NOUN
destrocar,break,破碎,VERB
destronar,dethrone,废黜,VERB
destrozar,destroy,摧毁,VERB
destrozo,destruction,破坏,NOUN
destructor,destroyer,破坏者,NOUN
desunir,disunite,分裂,VERB
desuso,disuse,废弃,NOUN
desvalido,helpless,无助的,ADJ
desvalijar,rob,抢劫,VERB
desvanecer,vanish,消失,VERB
desvariar,rave,说胡话,VERB
desvarío,delirium,精神错乱,NOUN
desvaído,faded,褪色的,ADJ
desvelo,sleeplessness,失眠,NOUN
desvencijado,rickety,破旧的,ADJ
desventaja,disadvantage,劣势,NOUN
desventajoso,disadvantageous,不利的,ADJ
desventura,misfortune,不幸,NOUN
desventurado,unfortunate,不幸的,ADJ
desvergonzado,shameless,无耻的,ADJ
desvergüenza,shamelessness,无耻,NOUN
desvestir,undress,脱衣,VERB
desviación,deviation,偏离,NOUN
desviar,divert,使转向,VERB
desvincular,disconnect,解除联系,VERB
desvirtuar,distort,歪曲,VERB
desvivirse,strive,竭尽全力,VERB
desván,attic,阁楼,NOUN
desvío,detour,绕行,NOUN
desánimo,discouragement,沮丧,NOUN
detalladamente,in detail,详细地,ADV
detallar,to detail,详述,VERB
detección,detection,检测,NOUN
detectar,to detect,检测,VERB
detentar,to hold,篡夺,VERB
detergente,detergent,洗涤剂,NOUN
deterioro,deterioration,恶化,NOUN
determinante,decisive,决定性的,ADJ
detestar,to detest,憎恨,VERB
detonación,detonation,爆炸,NOUN
detonante,trigger,引发事件的,ADJ
detonar,to detonate,引爆,VERB
detraer,to detract,减损,VERB
detrimento,detriment,损害,NOUN
deudo,relative,亲属,NOUN
deudor,debtor,债务人,NOUN
devaluación,devaluation,贬值,NOUN
devaluar,to devalue,使贬值,VERB
devanar,to wind,缠绕,VERB
devaneo,fling,风流韵事,NOUN
devastación,devastation,破坏,NOUN
devastar,to devastate,摧毁,VERB
devengar,to accrue,产生,VERB
devenir,to become,变成,VERB
devoción,devotion,奉献,NOUN
devolución,return,归还,NOUN
devorador,devourer,吞噬者,NOUN
devorar,to devour,吞食,VERB
devoto,devout,虔诚的,ADJ
diabólico,diabolical,恶魔般的,ADJ
diafragma,diaphragm,横膈膜,NOUN
diagnosticar,to diagnose,诊断,VERB
diapositiva,slide,幻灯片,NOUN
diariamente,daily,每天,ADV
diatriba,diatribe,抨击,NOUN
dicotomía,dichotomy,二分法,NOUN
dictador,dictator,独裁者,NOUN
dictadura,dictatorship,独裁统治,NOUN
dictamen,opinion,意见,NOUN
dictaminar,to rule,裁决,VERB
dictar,to dictate,口述,VERB
didáctico,didactic,教学的,ADJ
diestro,dexterous,灵巧的,ADJ
dietético,dietary,饮食的,ADJ
difamación,defamation,诽谤,NOUN
difamar,to defame,诽谤,VERB
diferenciable,differentiable,可微分的,ADJ
diferenciación,differentiation,区分,NOUN
diferenciar,to differentiate,区分,VERB
diferenciativo,differentiating,有区别的,ADJ
diferendo,dispute,争端,NOUN
diferir,to defer,推迟,VERB
dificultoso,difficult,困难的,ADJ
difundir,to spread,传播,VERB
difusión,diffusion,传播,NOUN
difuso,diffuse,模糊的,ADJ
difícilmente,hardly,几乎不,ADV
digerible,digestible,易消化的,ADJ
digestivo,digestive,消化的,ADJ
digestión,digestion,消化,NOUN
digitalizar,to digitize,数字化,VERB
dignación,condescension,屈尊,NOUN
dignarse,to deign,屈尊,VERB
dignatario,dignitary,高官,NOUN
digresión,digression,离题,NOUN
dilación,delay,拖延,NOUN
dilapidación,squandering,挥霍,NOUN
dilapidar,to squander,挥霍,VERB
dilatación,dilation,扩张,NOUN
dilatado,dilated,扩张的,ADJ
dilatar,to dilate,扩张,VERB
dilatoria,dilatory,拖延的,ADJ
dilatorio,dilatory,拖延的,ADJ
dilecto,beloved,深爱的,ADJ
dilema,dilemma,两难,NOUN
diligencia,diligence,勤勉,NOUN
diligente,diligent,勤勉的,ADJ
dilucidación,clarification,阐明,NOUN
dilucidar,to elucidate,阐明,VERB
diluir,to dilute,稀释,VERB
diluvio,deluge,大洪水,NOUN
dimanar,to emanate,源于,VERB
diminutivo,diminutive,指小词,NOUN
diminuto,tiny,极小的,ADJ
dimisión,resignation,辞职,NOUN
dimitir,to resign,辞职,VERB
dinamita,dynamite,炸药,NOUN
dinastía,dynasty,王朝,NOUN
dinosaurio,dinosaur,恐龙,NOUN
dinámico,dynamic,动态的,ADJ
diocesano,diocesan,教区的,ADJ
diplomacia,diplomacy,外交,NOUN
diplomático,diplomatic,外交的,ADJ
dipsómano,dipsomaniac,嗜酒狂,NOUN
diputado,deputy,议员,NOUN
dique,dam,堤坝,NOUN
dirigente,leader,领导人,NOUN
dirimir,to settle,解决,VERB
discapacitado,disabled,残疾的,ADJ
discernimiento,discernment,洞察力,NOUN
discernir,to discern,辨别,VERB
disciplinar,to discipline,管教,VERB
discipulado,discipleship,门徒身份,NOUN
disconforme,disagreeing,不同意的,ADJ
discordancia,discordance,不一致,NOUN
discordante,discordant,不和谐的,ADJ
discordar,to disagree,意见不合,VERB
discorde,discordant,不和谐的,ADJ
discordia,discord,不和,NOUN
discrecional,discretionary,自由裁量的,ADJ
discrepancia,discrepancy,差异,NOUN
discrepar,to disagree,有分歧,VERB
discreto,discreet,谨慎的,ADJ
discriminación,discrimination,歧视,NOUN
discriminar,to discriminate,歧视,VERB
disculpar,to excuse,原谅,VERB
discurrir,to flow,流淌,VERB
discursivo,discursive,论述的,ADJ
disecar,to preserve,标本制作,VERB
diseminar,to disseminate,传播,VERB
disensión,dissent,分歧,NOUN
disenso,dissent,异议,NOUN
disentimiento,dissent,异议,NOUN
disentir,to dissent,持异议,VERB
disertación,dissertation,论文,NOUN
disertar,to discourse,论述,VERB
disfrazar,to disguise,伪装,VERB
disfrute,enjoyment,享受,NOUN
disgregar,to separate,分离,VERB
disgustado,displeased,不高兴的,ADJ
disgustar,to upset,使不快,VERB
disgusto,displeasure,不悦,NOUN
disidencia,dissent,异见,NOUN
disidente,dissident,异见者,NOUN
disimilar,to disguise,掩饰,VERB
disimulación,dissimulation,掩饰,NOUN
disimulado,dissembling,伪装的,ADJ
disimular,to hide,掩饰,VERB
disimulo,dissimulation,掩饰,NOUN
disipación,dissipation,挥霍,NOUN
disipar,to dissipate,消散,VERB
dislate,nonsense,胡言乱语,NOUN
dislocación,dislocation,脱臼,NOUN
dislocar,to dislocate,使脱臼,VERB
disminución,decrease,减少,NOUN
disolución,dissolution,溶解,NOUN
disoluto,dissolute,放荡的,ADJ
disolvente,solvent,溶剂,NOUN
disolver,to dissolve,溶解,VERB
disonancia,dissonance,不和谐,NOUN
disonante,dissonant,不和谐的,ADJ
disonar,to be dissonant,不和谐,VERB
dispar,disparate,截然不同的,ADJ
disparate,nonsense,荒谬,NOUN
disparidad,disparity,差异,NOUN
dispendio,extravagance,挥霍,NOUN
dispensa,exemption,豁免,NOUN
dispensar,to dispense,分发,VERB
dispensario,clinic,诊所,NOUN
dispersar,to disperse,分散,VERB
dispersión,dispersion,分散,NOUN
disperso,scattered,分散的,ADJ
displicente,disdainful,冷漠的,ADJ
disponer,to dispose,安排,VERB
disponibilidad,availability,可用性,NOUN
disputa,dispute,争论,NOUN
disputable,debatable,有争议的,ADJ
disquisición,disquisition,论述,NOUN
