Chinese_Lemma,English_Translation,Spanish_Translation,POS
断,to break,romper,X
方向,direction,dirección,X
方法,method,método,X
方面,respect,aspecto,X
无,-less,sin,X
无聊,bored,aburrido,X
无论,no matter what or how,sin importar qué o cómo,X
既然,since,ya que,X
日记,diary,diario,X
普遍,universal,generalizado,X
暂时,temporary,temporal,X
暖和,warm,templado,X
暗,to close (a door),cerrar (una puerta),X
最后,final,último,X
最好,best,mejor,X
有趣,interesting,interesante,X
本来,original,originalmente,X
朵,flower,flor,X
杂志,magazine,revista,X
材料,material,material,X
条件,condition,condición,X
来不及,there's not enough time (to do sth),no hay tiempo suficiente (para hacer algo),X
来得及,there's still time,todavía hay tiempo,X
极其,extremely,extremadamente,X
果然,really,efectivamente,X
标准,(an official) standard,estándar (oficial),X
样子,appearance,apariencia,X
桥,bridge,puente,X
梦,dream,sueño,X
森林,forest,bosque,X
棵,classifier for trees,clasificador para árboles,X
植物,botanical,planta,X
正好,just (in time),justo (a tiempo),X
正常,regular,normal,X
正式,formal,formal / oficial,X
正确,correct,correcto,X
死,to die,morir,X
母亲,mother,madre,X
毕业,graduation,graduarse,X
毛巾,towel,toalla,X
民族,nationality,etnia,X
气候,climate,clima,X
永远,forever,para siempre,X
汗,perspiration,sudor,X
污染,pollution,contaminación,X
汤,soup,sopa,X
沙发,sofa,sofá,X
法律,law,ley,X
洗衣机,washer,lavadora,X
活动,to exercise,actividad,X
活泼,lively,animado,X
流利,fluent,fluido,X
流泪,to shed tears,derramar lágrimas,X
流行,to spread,estar de moda,X
浪漫,romantic,romántico,X
浪费,to waste,desperdiciar,X
海洋,ocean,océano,X
消息,news,noticia,X
深,close,profundo,X
温度,temperature,temperatura,X
湿润,moist,húmedo,X
满,full,lleno,X
演出,to act (in a play),actuar (en una obra),X
演员,actor or actress,actor o actriz,X
激动,to excite,emocionarse,X
火,fire,fuego,X
烦恼,to be worried,preocuparse,X
热闹,bustling with noise and excitement,animado y bullicioso,X
然而,however,sin embargo,X
熟悉,to be familiar with,estar familiarizado con,X
爱情,romantic love,amor,X
父亲,father,padre,X
牙膏,toothpaste,pasta de dientes,X
特点,characteristic (feature),característica,X
狮子,lion,león,X
猜,to guess,adivinar,X
猪,hog,cerdo,X
猴子,monkey,mono,X
现代,modern times,época moderna,X
理发,a barber,peluquero,X
理想,a dream,un ideal,X
理解,to comprehend,comprender,X
瓶子,bottle,botella,X
甚至,even,incluso,X
生命,life,vida,X
生活,life,vida,X
由,to follow,por,X
由于,due to,debido a,X
申请,to apply for sth,solicitar algo,X
留,to leave (a message etc),"dejar (un mensaje, etc.)",X
留学,to study abroad,estudiar en el extranjero,X
皮肤,skin,piel,X
盐,salt,sal,X
盒子,case,caja,X
目的,purpose,propósito,X
直接,direct,directo,X
相反,opposite,contrario,X
省,to save,ahorrar,X
看法,way of looking at a thing,punto de vista,X
真正,genuine,genuino,X
知识,intellectual,conocimiento,X
研究生,graduate student,estudiante de posgrado,X
破,broken,roto,X
硕士,master's degree,máster,X
硬,hard,duro,X
确实,indeed,efectivamente,X
礼貌,courtesy,cortesía,X
社会,society,sociedad,X
祝贺,to congratulate,felicitar,X
禁止,to prohibit,prohibir,X
科学,science,ciencia,X
租,to hire,alquilar,X
积极,active,activo,X
积累,to accumulate,acumular,X
稍微,a little bit,un poco,X
究竟,after all (when all is said and done),al fin y al cabo (cuando todo está dicho),X
穷,exhausted,agotado,X
空气,air,aire,X
窄,narrow,estrecho,X
窗户,window,ventana,X
竞争,to compete,competir,X
竟然,unexpectedly,inesperadamente,X
笑话,joke,chiste,X
笔记本,notebook,cuaderno,X
符合,in keeping with,conforme a,X
笨,stupid,tonto,X
等,class,clase,X
答案,answer,respuesta,X
签证,visa,visado,X
算,to regard as,considerar,X
管理,to supervise,gestionar,X
篇,sheet,clasificador para textos,X
粗心,careless,descuidado,X
精彩,brilliant,brillante,X
精神,spirit,espíritu,X
紧张,nervous,nervioso,X
约会,appointment,cita,X
组成,to form,formar,X
组织,to organize,organizar,X
经历,experience,experiencia,X
经济,economy,economía,X
经验,to experience,experimentar,X
结果,outcome,resultado,X
继续,to continue,continuar,X
缺少,lack,carencia,X
缺点,weak point,defecto,X
网球,tennis,tenis,X
网站,website,sitio web,X
美丽,beautiful,hermoso,X
羡慕,to envy,envidiar,X
群,group,grupo,X
羽毛球,shuttlecock,bádminton,X
翻译,to translate,traducir,X
老虎,tiger,tigre,X
考虑,to think over,considerar,X
而,and,y,X
耐心,to be patient,tener paciencia,X
聊天,to chat,charlar,X
职业,occupation,profesión,X
联系,connection,conexión,X
肚子,belly,barriga,X
肯定,to be sure,estar seguro,X
能力,capability,capacidad,X
脏,dirty,sucio,X
脱,to shed,quitarse,X
脾气,character,carácter,X
自然,nature,naturaleza,X
至少,at least,al menos,X
航班,scheduled flight,vuelo programado,X
艺术,art,arte,X
节约,to economize,ahorrar,X
苦,bitter,amargo,X
范围,range,alcance,X
获得,to obtain,obtener,X
著名,famous,famoso,X
血,blood,sangre,X
行,to walk,caminar,X
表扬,to praise,elogiar,X
表格,form,formulario,X
表达,to voice (an opinion),expresar (una opinión),X
袜子,socks,calcetines,X
西红柿,tomato,tomate,X
观众,spectators,espectadores,X
规定,provision,disposición,X
解释,explanation,explicación,X
警察,police,policía,X
计划,plan,plan / proyecto,X
讨厌,to dislike,disgustar,X
讨论,to discuss,debatir,X
记者,reporter,periodista,X
许多,many,muchos,X
访问,to visit,visitar,X
证明,proof,prueba,X
词典,dictionary (of Chinese compound words),diccionario (de palabras compuestas chinas),X
试,to test,probar,X
诚实,honest,honesto,X
详细,detailed,detallado,X
语法,grammar,gramática,X
语言,language,lenguaje,X
误会,to misunderstand,malentender,X
说明,to explain,explicar,X
请假,to request leave of absence,pedir permiso,X
请客,to give a dinner party,invitar a cenar,X
调查,investigation,investigación,X
谈,to speak,hablar,X
负责,to be in charge of,encargarse de,X
责任,responsibility,responsabilidad,X
质量,quality,calidad,X
购物,shopping,ir de compras,X
赚,to earn,ganar,X
赢,to beat,ganar,X
起来,(after a verb,(después de un verbo,X
起飞,to take off (in an airplane),despegar (en un avión),X
超过,to surpass,superar,X
趟,classifier for times,clasificador para viajes,X
距离,distance,distancia,X
躺,to recline,tumbarse,X
软,soft,blando,X
轻,light,ligero,X
轻松,gentle,relajado,X
输,to lose,perder,X
辛苦,hard,trabajado,X
辣,hot (spicy),picante,X
过,(experienced action marker),(marcador de acción experimentada),X
过程,course of events,curso de los acontecimientos,X
进行,to advance,llevar a cabo,X
连,to link,conectar,X
适合,to fit,convenir,X
适应,to adapt,adaptarse,X
逐渐,gradually,gradualmente,X
通知,to notify,notificar,X
通过,by means of,por medio de,X
逛,to stroll,pasear,X
速度,speed,velocidad,X
遍,everywhere,por todas partes,X
道歉,to apologize,disculparse,X
邀请,to invite,invitar,X
部分,part,parte,X
酸,sour,agrio,X
醒,to wake up,despertarse,X
重新,again,de nuevo,X
重点,important point,punto importante,X
重视,to attach importance to sth,dar importancia a algo,X
钥匙,key,llave,X
镜子,mirror,espejo,X
长城,the Great Wall,la Gran Muralla,X
长江,Yangtze River,el río Yangtsé,X
阅读,to read,leer,X
阳光,sunshine,luz del sol,X
降低,to reduce,bajar,X
限制,to restrict,restringir,X
陪,to accompany,acompañar,X
随便,as one wishes,como se quiera,X
随着,along with,a medida que,X
难受,to feel unwell,sentirse mal,X
难道,don't tell me ...,acaso ...,X
集合,to gather,reunirse,X
页,page,página,X
顺便,conveniently,de paso,X
顺利,smoothly,sin problemas,X
顺序,sequence,orden,X
顾客,client,cliente,X
顿,to stop,detenerse,X
预习,to prepare a lesson,preparar la lección,X
风景,scenery,paisaje,X
食品,foodstuff,alimento,X
饮料,drink,bebida,X
饺子,dumpling,empanadilla china,X
饼干,biscuit,galleta,X
首先,first (of all),primero (de todo),X
首都,capital (city),capital (ciudad),X
香,fragrant,fragante,X
马虎,careless,descuidado,X
骄傲,pride,orgullo,X
骗,to cheat,engañar,X
高级,high level,nivel alto,X
麻烦,inconvenient,molestia,X
鼓励,to encourage,animar,X
鼓掌,to applaud,aplaudir,X
