Chinese_Lemma,English_Translation,Spanish_Translation,POS
作为,one's conduct,la conducta de uno,X
作品,work (of art),obra (de arte),X
作文,to write an essay,escribir una redacción,X
佩服,to admire,admirar,X
使劲儿,Rearing,esforzarse,X
依然,still,todavía,X
侵略,invasion,invasión,X
便,ordinary,ordinario,X
促使,to induce,inducir,X
促进,to promote (an idea or cause),promover (una idea o causa),X
保存,to conserve,conservar,X
保持,to keep,mantener,X
保留,to retain,retener,X
保险,insurance,seguro,X
信号,signal,señal,X
信封,envelope,sobre,X
信息,information,información,X
修改,to amend,modificar,X
俱乐部,club (i.e. a group or organization) (loanword),club (un grupo u organización) (préstamo),X
倒,to place upside down,colocar al revés,X
倒霉,to have bad luck,tener mala suerte,X
借口,to use as an excuse,usar como excusa,X
假如,if,si,X
假装,to feign,fingir,X
健身房,gym,gimnasio,X
偶然,incidentally,casualmente,X
傍晚,in the evening,al atardecer,X
催,to urge,urgir,X
傻,foolish,tonto,X
元旦,New Year's Day,Año Nuevo,X
兄弟,brothers,hermanos,X
充分,ample,abundante,X
充满,full of,lleno de,X
充电器,battery charger,cargador de batería,X
光临,(honorific) Welcome!,(honorífico) ¡Bienvenido!,X
光明,light,luz,X
光滑,glossy,liso,X
光盘,compact disc,disco compacto,X
光荣,honor and glory,honor y gloria,X
克,gram (unit),gramo,X
克服,(try to) overcome (hardships etc),(intentar) superar (dificultades etc),X
兔子,hare,liebre,X
全面,all-around,integral,X
公主,princess,princesa,X
公元,CE (Common Era),d. C. (Era Común),X
公寓,apartment building,edificio de apartamentos,X
公布,to announce,anunciar,X
公平,fair,justo,X
公开,public,público,X
关怀,care,cuidado,X
关闭,to close,cerrar,X
其余,the rest,el resto,X
具体,concrete,concreto,X
具备,to possess,poseer,X
内科,internal medicine,medicina interna,X
册,book,libro,X
再三,over and over again,una y otra vez,X
冒险,to take risks,arriesgarse,X
军事,military affairs,asuntos militares,X
农业,agriculture,agricultura,X
农民,peasant,campesino,X
冠军,champion,campeón,X
冲,thoroughfare,arteria,X
决心,determination,determinación,X
决赛,finals (of a competition),final (de una competición),X
冻,to freeze,congelar,X
凡是,each and every,todo,X
凭,to lean against,apoyarse contra,X
出口,an exit,una salida,X
出席,to attend,asistir,X
出版,to publish,publicar,X
出色,remarkable,notable,X
分别,to part or leave each other,separarse,X
分布,distributed,distribuido,X
分析,to analyze,analizar,X
分配,to distribute,distribuir,X
切,to cut,cortar,X
划船,to row a boat,remar,X
则,conjunction used to express contrast with a previous sentence or clause,conjunción usada para expresar contraste con una frase u oración anterior,X
创造,to create,crear,X
初级,junior,inicial,X
删除,to delete,borrar,X
利息,interest (on a loan),intereses (de un préstamo),X
利润,profits,beneficios,X
利用,exploit,aprovechar,X
利益,benefit,beneficio,X
到达,to reach,llegar,X
制作,to make,fabricar,X
制定,to draw up,elaborar,X
制度,system (e.g. political,sistema (p. ej. político,X
刺激,to provoke,provocar,X
刻苦,hardworking,aplicado,X
前途,prospects,porvenir,X
剪刀,scissors,tijeras,X
力量,power,fuerza,X
劝,to advise,aconsejar,X
办理,to handle,tramitar,X
功夫,skill,habilidad,X
功能,function,función,X
动画片,animated film,película animada,X
劳动,work,trabajo,X
劳驾,excuse me,permiso,X
勇气,courage,valor,X
勤劳,hardworking,trabajador,X
勤奋,hardworking,diligente,X
勺子,scoop,cuchara,X
包含,to contain,contener,X
包子,steamed stuffed bun,bollo al vapor relleno,X
包裹,wrap up,envolver,X
匆忙,hasty,apresurado,X
化学,chemistry,química,X
匹,classifier for horses,clasificador para caballos,X
升,liter (unit),litro,X
华裔,ethnic Chinese,chino de ultramar,X
协调,to coordinate,coordinar,X
单位,a unit,una unidad,X
单元,unit,unidad,X
单独,alone,solo,X
单纯,simple / pure,simple / puro,X
单调,monotonous,monótono,X
博物馆,museum,museo,X
占线,busy (telephone line),ocupado (línea telefónica),X
卡车,truck,camión,X
卧室,bedroom,dormitorio,X
卫生间,bathroom,baño,X
危害,to jeopardize,perjudicar,X
卷,to roll (up),enrollar,X
厕所,toilet,baño,X
厘米,centimeter,centímetro,X
原则,principle,principio,X
原料,raw material,materia prima,X
去世,to pass away,fallecer,X
县,county,condado,X
参与,to participate (in sth),participar (en algo),X
参考,consultation,consulta,X
叉子,fork,tenedor,X
及格,to pass a test,aprobar un examen,X
双方,both parties / bilateral,ambas partes,X
反复,repeatedly,repetidamente,X
反应,to react,reaccionar,X
反正,anyway,de todos modos,X
反而,instead,en cambio,X
发愁,to worry,preocuparse,X
发抖,to tremble,temblar,X
发挥,to display,desplegar,X
发明,to invent,inventar,X
发票,invoice,factura,X
发表,to issue,publicar,X
发言,to make a speech,dar un discurso,X
发达,developed (country etc),desarrollado (país etc),X
取消,to cancel,cancelar,X
受伤,to sustain injuries,resultar herido,X
叙述,to relate (a story or information),relatar (una historia o información),X
口味,a person's preferences,las preferencias de una persona,X
古代,ancient times,la antigüedad,X
古典,classical,clásico,X
古老,ancient,antiguo,X
召开,to convene (a conference or meeting),convocar (una conferencia o reunión),X
可怕,awful,espantoso,X
可见,it can clearly be seen (that this is the case),se ve claramente (que es el caso),X
可靠,reliable,fiable,X
台阶,steps,escalones,X
吃亏,to suffer losses,sufrir pérdidas,X
各自,each,cada uno,X
合作,to cooperate,cooperar,X
合同,(business) contract,contrato (comercial),X
合影,joint photo,foto conjunta,X
合法,lawful,legal,X
合理,rational,razonable,X
同时,at the same time,al mismo tiempo,X
名片,(business) card,tarjeta (de visita),X
名牌,famous brand,marca famosa,X
名胜,a place famous for its scenery or historical relics,un lugar famoso por su paisaje o reliquias históricas,X
后果,consequences,consecuencias,X
吐,to vomit,vomitar,X
吓,to frighten,asustar,X
否定,to negate,negar,X
否认,to declare to be untrue,negar (ser falso),X
吨,ton,tonelada,X
启发,to enlighten,iluminar,X
吵架,to quarrel,pelear,X
吸收,to absorb,absorber,X
吹,to blow,soplar,X
吻,kiss,beso,X
呆,foolish,tonto,X
告别,to leave,despedirse,X
周到,thoughtful,atento,X
呼吸,to breathe,respirar,X
命令,order,orden,X
命运,fate,destino,X
和平,peace,paz,X
咨询,to consult,consultar,X
咬,to bite,morder,X
品种,breed,variedad,X
哈,laughter,risa,X
哪怕,even,incluso,X
哲学,philosophy,filosofía,X
唉,interjection or grunt of agreement,interjección o gruñido de acuerdo,X
唯一,only,único,X
商业,business,negocios,X
商品,good,mercancía,X
善于,to be good at,ser bueno en,X
善良,good and honest,bueno y honesto,X
喊,to yell,gritar,X
嗓子,throat,garganta,X
嘉宾,esteemed guest,invitado de honor,X
嘱咐,to tell,encargar,X
嚷,blurt out,soltar,X
因素,element,factor,X
因而,therefore,por lo tanto,X
团,dumpling,bollo,X
围巾,scarf,bufanda,X
围绕,to revolve around,girar alrededor de,X
固体,solid,sólido,X
固定,fixed,fijo,X
国庆节,PRC National Day (October 1st),Día Nacional de la RPC (1 de octubre),X
国籍,nationality,nacionalidad,X
圈,circle,círculo,X
土地,land,tierra,X
土豆,potato,patata,X
地位,position,posición,X
地区,local,región,X
地毯,carpet,alfombra,X
地理,geography,geografía,X
地道,authentic,auténtico,X
地震,earthquake,terremoto,X
均匀,even,uniforme,X
坚决,firm,firme,X
坚强,staunch,fuerte,X
坦率,frank (discussion),franco (discusión),X
培养,to cultivate,cultivar,X
基本,basic,básico,X
堆,to pile up,amontonar,X
塔,pagoda,pagoda,X
士兵,soldier,soldado,X
声调,tone,tono,X
壶,pot,tetera,X
处理,to handle,manejar,X
复制,to duplicate,duplicar,X
外交,diplomacy,diplomacia,X
多亏,thanks to,gracias a,X
多余,superfluous,superfluo,X
夜,night,noche,X
大型,large,grande,X
大方,generous,generoso,X
大象,elephant,elefante,X
天真,naive,ingenuo,X
天空,sky,cielo,X
太太,married woman,señora (casada),X
太极拳,shadowboxing or Taiji,tai chi,X
失业,unemployment,desempleo,X
失去,to lose,perder,X
失眠,to suffer from insomnia,sufrir de insomnio,X
夸,to boast,presumir,X
夹子,clip,pinza,X
奇迹,miracle,milagro,X
奋斗,to strive,luchar,X
套,cover,funda,X
女士,lady,señora,X
好奇,inquisitive,curioso,X
如今,nowadays,hoy en día,X
如何,how,cómo,X
妇女,woman,mujer,X
妨碍,to hinder,estorbar,X
始终,from beginning to end,de principio a fin,X
姑姑,paternal aunt,tía paterna,X
姑娘,girl,muchacha,X
委屈,to feel wronged,sentirse agraviado,X
委托,to entrust,encomendar,X
姥姥,(informal) mother's mother,(informal) abuela materna,X
姿势,posture,postura,X
威胁,to threaten,amenazar,X
娱乐,to entertain,entretener,X
娶,to take a wife,tomar esposa,X
婚姻,matrimony,matrimonio,X
婚礼,wedding ceremony,boda,X
嫁,(of a woman) to marry,(de una mujer) casarse,X
嫩,tender,tierno,X
字幕,caption,subtítulo,X
存,to exist,guardar,X
存在,to exist,existir,X
孝顺,filial piety,piedad filial,X
学期,term,semestre,X
学术,learning,académico,X
学问,learning,saber,X
宁可,preferably,preferiblemente,X
宇宙,universe,universo,X
安慰,to comfort,consolar,X
安装,to install,instalar,X
完善,perfect,perfecto,X
完整,complete,completo,X
完美,perfect,perfecto,X
宗教,religion,religión,X
官,official,funcionario,X
宝贝,treasured object,objeto preciado,X
宝贵,valuable,valioso,X
实习,to practice,hacer prácticas,X
实现,to achieve,realizar,X
实用,practical,práctico,X
实行,to implement,implementar,X
实话,truth,verdad,X
实践,to practice,practicar,X
实验,experiment,experimento,X
宠物,house pet,mascota,X
客厅,drawing room (room for arriving guests),salón (sala para recibir visitas),X
客观,objective,objetivo,X
宣传,to disseminate,difundir,X
宣布,to declare,declarar,X
宴会,banquet,banquete,X
家乡,hometown,pueblo natal,X
家务,household duties,tareas del hogar,X
家庭,family,familia,X
宿舍,dormitory,dormitorio,X
寂寞,lonely,solitario,X
密切,close,estrecho,X
对于,regarding,respecto a,X
对待,to treat,tratar,X
对手,opponent,oponente,X
对方,counterpart,la otra parte,X
对比,to contrast,contrastar,X
对象,target,objetivo,X
寺庙,temple,templo,X
寻找,to seek,buscar,X
导演,to direct,dirigir,X
导致,to lead to,conducir a,X
寿命,life span,esperanza de vida,X
射击,to shoot,disparar,X
尊敬,respect,respeto,X
小伙子,young man,joven,X
小偷,thief,ladrón,X
小吃,snack,aperitivo,X
小气,stingy,tacaño,X
小麦,wheat,trigo,X
尖锐,sharp,afilado,X
尺子,rule,regla,X
尽力,to strive one's hardest,esforzarse al máximo,X
尽量,as much as possible,en lo posible,X
尾巴,tail,cola,X
居然,unexpectedly,inesperadamente,X
届,to arrive at (place or time),llegar a (lugar o tiempo),X
屋子,house,cuarto,X
展开,to unfold,desplegar,X
展览,to put on display,exponer,X
属于,to be classified as,pertenecer a,X
岛,island,isla,X
岸,bank,orilla,X
工业,industry,industria,X
工人,worker,obrero,X
工厂,factory,fábrica,X
工程师,engineer,ingeniero,X
巧妙,ingenious,ingenioso,X
巨大,huge,enorme,X
差别,difference,diferencia,X
布,cloth,tela,X
常识,common sense,sentido común,X
幅,width,anchura,X
干活儿,to work,trabajar,X
干脆,straightforward,directo,X
平,flat,plano,X
平均,average,promedio,X
平常,ordinary,común,X
平方,square (as in square foot,cuadrado (como en pie cuadrado,X
平等,equal,igual,X
平衡,balance,equilibrio,X
平静,tranquil,tranquilo,X
年代,a decade of a century (e.g. the Sixties),una década de un siglo (p. ej. los años sesenta),X
年纪,age,edad,X
幸亏,fortunately,por suerte,X
幸运,fortunate,afortunado,X
幻想,delusion,ilusión,X
幼儿园,kindergarten,guardería,X
广场,public square,plaza pública,X
广大,(of an area) vast or extensive,(de una zona) vasto o extenso,X
广泛,extensive,extenso,X
庆祝,to celebrate,celebrar,X
应付,to deal with,lidiar con,X
应用,to use,aplicar,X
应聘,to accept a job offer,aceptar una oferta de trabajo,X
废话,nonsense,tonterías,X
度过,to pass,pasar,X
延长,to prolong,prolongar,X
建立,to establish,establecer,X
建筑,to construct,construir,X
建议,to propose,proponer,X
建设,to build,construir,X
开发,to exploit (a resource),explotar (un recurso),X
开幕式,opening ceremony,ceremonia de apertura,X
开心,to feel happy,sentirse feliz,X
开放,to bloom,florecer,X
弯,bend,curva,X
弱,weak,débil,X
强烈,intense,intenso,X
强调,to emphasize (a statement),subrayar (una afirmación),X
当代,the present age,la época actual,X
录取,to recruit,admitir,X
录音,to record (sound),grabar (sonido),X
形势,circumstances,situación,X
形容,to describe,describir,X
形式,form,forma,X
形成,to form,formar,X
形状,form,forma,X
形象,image,imagen,X
彩虹,rainbow,arcoíris,X
影子,shadow,sombra,X
彻底,thorough,exhaustivo,X
彼此,each other,el uno al otro,X
往返,to go back and forth,ir y venir,X
征求,to solicit,solicitar,X
待遇,treatment,trato,X
微笑,smile,sonrisa,X
心理,mental / psychological,mental / psicológico,X
心脏,heart,corazón,X
必然,inevitable / necessary,inevitable / necesario,X
必要,necessary,necesario,X
必需,to need,necesitar,X
忍不住,cannot help,no poder evitar,X
志愿者,volunteer,voluntario,X
念,to read,leer,X
忽视,to neglect,ignorar,X
怀念,to cherish the memory of,añorar,X
思想,thought,pensamiento,X
思考,to reflect on,reflexionar sobre,X
急忙,hastily,apresuradamente,X
性质,nature,naturaleza,X
怪不得,no wonder!,¡con razón!,X
总之,in a word,en resumen,X
总共,altogether,en total,X
总理,premier,primer ministro,X
总算,at long last,por fin,X
总统,president (of a country),presidente (de un país),X
总裁,chairman,presidente,X
恋爱,(romantic) love,amor (romántico),X
恐怖,terrifying / terrible,terrorífico,X
恢复,to reinstate,restablecer,X
恨,to hate,odiar,X
恶劣,vile,vil,X
悄悄,quietly,en silencio,X
悠久,established,longevo,X
悲观,pessimistic,pesimista,X
情景,scene,escena,X
情绪,mood,ánimo,X
惭愧,ashamed,avergonzado,X
想念,to miss,extrañar,X
想象,to imagine,imaginar,X
意义,sense,sentido,X
意外,unexpected,inesperado,X
感受,to sense,percibir,X
感想,impressions,impresiones,X
感激,to be grateful,estar agradecido,X
愤怒,angry,furioso,X
愿望,desire,deseo,X
慌张,confused,nervioso,X
戏剧,drama / theater,drama / teatro,X
成分,composition,composición,X
成就,accomplishment,logro,X
成果,result,resultado,X
成立,to establish,establecer,X
成语,Chinese set expression,expresión fija china,X
成长,to mature,madurar,X
戒指,(finger) ring,anillo (de dedo),X
戒烟,to give up smoking,dejar de fumar,X
战争,war,guerra,X
房东,landlord,propietario,X
所,actually,en realidad,X
所谓,so-called,llamado,X
扇子,fan,abanico,X
手套,glove,guante,X
手工,handwork,manualidad,X
手指,finger,dedo,X
手术,(surgical) operation,operación (quirúrgica),X
手续,procedure,trámite,X
打交道,to come into contact with,tratar con,X
打听,to ask about,preguntar sobre,X
打喷嚏,to sneeze,estornudar,X
打工,to work a temporary or casual job,trabajar en un empleo temporal o casual,X
打招呼,to greet sb by word or action,saludar a alguien de palabra o con un gesto,X
执照,a license,una licencia,X
执行,to implement,ejecutar,X
扶,to support with the hand,sostener con la mano,X
批,to ascertain,determinar,X
批准,to approve,aprobar,X
承受,to bear,soportar,X
承担,to undertake,asumir,X
承认,to admit,admitir,X
抄,to make a copy,copiar,X
把握,to grasp (also fig.),asir (también fig.),X
抓紧,to grasp firmly,aferrar,X
投资,investment,inversión,X
抗议,to protest,protestar,X
抢,to fight over,pelear por,X
报告,to inform,informar,X
披,to drape over one's shoulders,echar sobre los hombros,X
抽屉,drawer,cajón,X
抽象,abstract,abstracto,X
担任,to hold a governmental office or post,desempeñar un cargo público,X
拆,to tear open,abrir,X
拍,to pat,dar palmaditas,X
拐弯,to go round a curve,doblar una curva,X
招待,to receive (guests),recibir (invitados),X
拥抱,to embrace,abrazar,X
拥挤,crowded,abarrotado,X
拦,to cut off,bloquear,X
持续,to continue,continuar,X
挂号,to register (a letter etc),registrar (una carta etc),X
指导,to guide,guiar,X
指挥,to conduct,dirigir,X
挑战,to challenge,desafiar,X
挡,to resist,resistir,X
挣钱,to make money,ganar dinero,X
挥,to wave,agitar,X
振动,vibration,vibración,X
捐,to contribute,contribuir,X
损失,loss,pérdida,X
捡,to pick up,recoger,X
据说,it is said that,se dice que,X
掌握,to grasp (often fig.),dominar (a menudo fig.),X
排球,volleyball,voleibol,X
排队,to line up,hacer cola,X
接待,to receive (a visitor),recibir (a un visitante),X
接着,to catch and hold on,continuar,X
接触,to touch,tocar,X
接近,to approach,acercarse,X
控制,to control,controlar,X
推广,to extend,promover,X
推荐,to recommend,recomendar,X
推辞,to decline (an appointment,declinar (un nombramiento,X
措施,measure,medida,X
描写,to describe,describir,X
提,to carry (hanging down from the hand),llevar (colgando de la mano),X
提倡,to promote,promover,X
提纲,the key point,el punto clave,X
提问,to question,preguntar,X
插,to insert,insertar,X
搞,to do,hacer,X
摄影,to take a photograph,tomar una fotografía,X
摆,to arrange,arreglar,X
摇,to shake,sacudir,X
摔,to throw down,tirar al suelo,X
摘,to take,coger,X
摩托车,motorbike,motocicleta,X
摸,to feel with the hand,tantear con la mano,X
撕,to tear,rasgar,X
操场,playground,patio,X
操心,to worry about,preocuparse por,X
支,to support,apoyar,X
支票,check (bank),cheque (bancario),X
收据,receipt,recibo,X
收获,to harvest,cosechar,X
改善,to make better,mejorar,X
改正,to correct,corregir,X
改进,to improve,mejorar,X
改革,reform,reforma,X
放松,to loosen,relajar,X
政府,government,gobierno,X
政治,politics,política,X
政策,policy,política,X
效率,efficiency,eficiencia,X
敌人,enemy,enemigo,X
救,to save,salvar,X
救护车,ambulance,ambulancia,X
教材,teaching material,material didáctico,X
教练,instructor,entrenador,X
教训,lesson,lección,X
敬爱,respect and love,respetar y amar,X
数据,data,datos,X
数码,number,digital,X
整个,whole,entero,X
整体,whole entity,conjunto,X
文件,document,documento,X
文具,stationery,artículos de papelería,X
文学,literature,literatura,X
文明,civilized,civilizado,X
斜,inclined,inclinado,X
方,square,cuadrado,X
方式,way (of life),manera (de vida),X
方案,plan / scheme,plan / proyecto,X
无奈,helpless,impotente,X
无数,countless,innumerable,X
日历,calendar,calendario,X
日常,daily,cotidiano,X
日期,date,fecha,X
日用品,articles for daily use,artículos de uso diario,X
日程,schedule,agenda,X
时代,age,época,X
时刻,moment,momento,X
时尚,fashion,moda,X
时期,period,período,X
时髦,in vogue,de moda,X
明信片,postcard,postal,X
明星,star,estrella,X
明显,clear,claro,X
明确,clear-cut,claro,X
是否,whether (or not),si (o no),X
显得,to seem,parecer,X
显然,clear,claramente,X
显示,to show,mostrar,X
晒,to dry in the sun,secar al sol,X
晕,confused,mareado,X
景色,scenery,paisaje,X
智慧,wisdom,sabiduría,X
更加,more (than sth else),más (que otra cosa),X
曾经,once,en el pasado,X
最初,first,inicial,X
有利,advantageous,ventajoso,X
服从,to obey (an order),obedecer (una orden),X
服装,dress,ropa,X
朝,imperial or royal court,corte imperial o real,X
朝代,dynasty,dinastía,X
期待,to look forward to,esperar con ilusión,X
期间,period of time,período de tiempo,X
木头,slow-witted,torpe,X
未必,not necessarily,no necesariamente,X
未来,future,futuro,X
本科,undergraduate course,carrera universitaria,X
本质,essence,esencia,X
本领,skill,habilidad,X
朴素,plain and simple,sencillo,X
机器,machine,máquina,X
杀,to kill,matar,X
权利,power,derecho,X
权力,power,poder,X
来自,to come from (a place),venir de (un lugar),X
构成,to constitute,constituir,X
枕头,pillow,almohada,X
果实,fruit,fruto,X
枪,gun,pistola,X
某,some,algún,X
柜台,sales counter,mostrador,X
标志,sign,señal,X
标点,punctuation,puntuación,X
样式,type,estilo,X
核心,core,núcleo,X
根,root,raíz,X
根本,fundamental / root,fundamental / radical,X
格外,especially,especialmente,X
桃,peach,melocotón,X
桔子,tangerine,mandarina,X
梨,pear,pera,X
梳子,comb,peine,X
棉花,cotton,algodón,X
棒,a stick,un palo,X
概念,concept,concepto,X
概括,to summarize,resumir,X
模仿,to imitate,imitar,X
模糊,vague,vago,X
横,horizontal,horizontal,X
橡皮,rubber,goma de borrar,X
欠,deficient,carecer,X
次要,secondary,secundario,X
欣赏,to appreciate,apreciar,X
歇,to rest,descansar,X
正,just (right),justo,X
此外,besides,además,X
步骤,procedure,procedimiento,X
武器,weapon,arma,X
武术,military skill or technique (in former times),arte marcial (en tiempos pasados),X
歪,askew,torcido,X
残疾,disabled,discapacitado,X
比例,proportion,proporción,X
比如,for example,por ejemplo,X
毕竟,after all,después de todo,X
毛,hair,pelo,X
毛病,fault,defecto,X
民主,democracy,democracia,X
气氛,atmosphere,atmósfera,X
汇率,exchange rate,tipo de cambio,X
池子,pond,estanque,X
汽油,gasoline,gasolina,X
沉默,taciturn,taciturno,X
沙滩,beach,playa,X
沙漠,desert,desierto,X
沟通,to join,comunicar,X
油炸,to deep fry,freír,X
治疗,to treat,tratar,X
法院,court of law,tribunal,X
注册,to register,registrarse,X
洒,to sprinkle,rocíar,X
洞,cave,cueva,X
活跃,active,activo,X
派,clique,facción,X
流传,to spread,difundirse,X
浅,shallow,poco profundo,X
浇,to pour liquid,verter líquido,X
测验,test,examen,X
浏览,to skim over,ojear,X
浓,concentrated,concentrado,X
海关,customs (i.e. border crossing inspection),aduana (inspección fronteriza),X
海鲜,seafood,marisco,X
消化,to digest,digerir,X
消失,to disappear,desaparecer,X
消灭,to put an end to,poner fin a,X
消费,to consume,consumir,X
涨,to rise (of prices,subir (de los precios,X
液体,liquid,líquido,X
淡,insipid,soso,X
深刻,profound,profundo,X
清淡,light (of food,ligero (de comida,X
温暖,warm,cálido,X
温柔,gentle and soft,suave y tierno,X
游览,to go sight-seeing,hacer turismo,X
滑冰,to skate,patinar,X
滚,to boil,hervir,X
满足,to satisfy,satisfacer,X
滴,a drop,una gota,X
漏,to leak,gotear,X
激烈,intense,intenso,X
火柴,match (for lighting fire),cerilla (para encender fuego),X
灰,ash,ceniza,X
灰尘,dust,polvo,X
灰心,to lose heart,desanimarse,X
灵活,flexible,flexible,X
灾害,disastrous damage,daños catastróficos,X
炒,to sauté,saltear,X
点头,to nod,asentir con la cabeza,X
点心,light refreshments,aperitivos,X
烂,soft,blando,X
烤鸭,roast duck,pato asado,X
烫,to scald,escaldar,X
热心,enthusiasm,entusiasmo,X
热烈,warm (welcome etc),cálido (bienvenida etc),X
热爱,to love ardently,amar fervientemente,X
煎,to pan fry,freír en sartén,X
煤炭,coal,carbón,X
照常,(business etc) as usual,(negocios etc) como de costumbre,X
煮,to cook,cocer,X
熟练,practiced,diestro,X
燃烧,to ignite,encender,X
爱心,compassion,compasión,X
爱惜,to cherish,apreciar y cuidar,X
爱护,to cherish,valorar y cuidar,X
片,thin piece,lámina delgada,X
片面,unilateral,unilateral,X
牛仔裤,jeans,vaqueros,X
物理,physics,física,X
物质,matter,materia,X
牵,to pull (an animal on a tether),tirar de (un animal atado),X
特征,characteristic,característica,X
特意,specially,especialmente,X
特殊,special,especial,X
状况,condition,estado,X
状态,state of affairs,estado de cosas,X
犹豫,to hesitate,vacilar,X
狡猾,crafty,astuto,X
独特,unique,único,X
独立,independent,independiente,X
狼,wolf,lobo,X
玉米,corn,maíz,X
王子,prince,príncipe,X
玩具,plaything,juguete,X
现实,reality,realidad,X
现象,appearance,fenómeno,X
现金,cash,efectivo,X
玻璃,glass,vidrio,X
珍惜,to treasure,valorar,X
班主任,teacher in charge of a class,profesor titular de una clase,X
球迷,soccer fan,aficionado al fútbol,X
理由,reason,razón,X
理论,theory,teoría,X
生产,childbirth,parto,X
生动,vivid,vívido,X
用途,use,uso,X
甩,to throw,lanzar,X
田野,field,campo,X
甲,first of the ten heavenly stems 十天干[shí tiān gān],primero de los diez troncos celestes,X
电台,transmitter-receiver,transmisor-receptor,X
电池,battery,batería,X
疑问,question,duda,X
疯狂,madness,locura,X
疲劳,fatigue,fatiga,X
疼爱,to love dearly,amar profundamente,X
病毒,virus,virus,X
痒,to itch,picar,X
痛快,overjoyed,muy contento,X
痛苦,pain,dolor,X
登机牌,boarding pass,tarjeta de embarque,X
登记,to register (one's name),registrarse (el nombre),X
的确,really,realmente,X
皇后,empress,emperatriz,X
皇帝,emperor,emperador,X
皮鞋,leather shoes,zapatos de cuero,X
盆,basin,cuenca,X
盖,lid,tapa,X
目前,at the present time,en la actualidad,X
目录,catalog,catálogo,X
目标,target,objetivo,X
直,straight,recto,X
相似,to resemble,parecerse,X
相关,to be interrelated,estar relacionado,X
相处,to be in contact with,convivir,X
相对,relatively,relativamente,X
相当,equivalent to,equivalente a,X
盼望,to hope for,esperar,X
省略,to leave out,omitir,X
眉毛,eyebrow,ceja,X
