lang,level,lemma,english_lemma,chinese_lemma,upos,action,reason
ar,*,دوك,,,,drop,classifier closed dialect/loan token set
ar,*,ديال,,,,drop,classifier closed dialect/loan token set
ar,*,ديالك,,,,drop,classifier closed dialect/loan token set
ar,*,ديالها,,,,drop,classifier closed dialect/loan token set
ar,*,ديالو,,,,drop,classifier closed dialect/loan token set
ar,*,ديالي,,,,drop,classifier closed dialect/loan token set
ar,*,راكم,,,,drop,classifier closed dialect/loan token set
ar,*,راني,,,,drop,classifier closed dialect/loan token set
ar,*,راه,,,,drop,classifier closed dialect/loan token set
ar,*,راهم,,,,drop,classifier closed dialect/loan token set
ar,*,راهي,,,,drop,classifier closed dialect/loan token set
ar,*,ربعطاش,,,,drop,classifier closed dialect/loan token set
ar,*,روح#VERB,,,VERB,drop,colloquial imperative روح
ar,*,روحي,,,,drop,classifier closed dialect/loan token set
ar,*,زعما,,,,drop,classifier closed dialect/loan token set
ar,*,زوج,,,,drop,classifier closed dialect/loan token set
ar,*,زوين,,,,drop,classifier closed dialect/loan token set
ar,*,زوينة,,,,drop,classifier closed dialect/loan token set
ar,*,سالون,,,,drop,classifier closed dialect/loan token set
ar,*,ساندويش,,,,drop,classifier closed dialect/loan token set
ar,*,سبعطاش,,,,drop,classifier closed dialect/loan token set
ar,*,سبيطار,,,,drop,classifier closed dialect/loan token set
ar,*,سطاش,,,,drop,classifier closed dialect/loan token set
ar,*,سير,,,,drop,classifier closed dialect/loan token set
ar,*,شحال,,,,drop,classifier closed dialect/loan token set
ar,*,شكون,,,,drop,classifier closed dialect/loan token set
ar,*,شنو,,,,drop,classifier closed dialect/loan token set
ar,*,شوف,,,,drop,classifier closed dialect/loan token set
ar,*,شوفوا,,,,drop,classifier closed dialect/loan token set
ar,*,شوفي,,,,drop,classifier closed dialect/loan token set
ar,*,شومبر,,,,drop,classifier closed dialect/loan token set
ar,*,شوية,,,,drop,classifier closed dialect/loan token set
ar,*,شيشة,,,,drop,classifier closed dialect/loan token set
ar,*,صافي,,,,drop,classifier closed dialect/loan token set
ar,*,صندويش,,,,drop,classifier closed dialect/loan token set
ar,*,طاح,,,,drop,classifier closed dialect/loan token set
ar,*,طناش,,,,drop,classifier closed dialect/loan token set
ar,*,طوموبيل,,,,drop,classifier closed dialect/loan token set
ar,*,عافاك,,,,drop,classifier closed dialect/loan token set
ar,*,عفاك,,,,drop,classifier closed dialect/loan token set
ar,*,علاش,,,,drop,classifier closed dialect/loan token set
ar,*,غادة,,,,drop,classifier closed dialect/loan token set
ar,*,غادي,,,,drop,classifier closed dialect/loan token set
ar,*,غادين,,,,drop,classifier closed dialect/loan token set
ar,*,فاليز,,,,drop,classifier closed dialect/loan token set
ar,*,فاميلا,,,,drop,classifier closed dialect/loan token set
ar,*,فريجيدر,,,,drop,classifier closed dialect/loan token set
ar,*,فوقاش,,,,drop,classifier closed dialect/loan token set
ar,*,فوقاني,,,,drop,classifier closed dialect/loan token set
ar,*,فوقتاش,,,,drop,classifier closed dialect/loan token set
ar,*,فيرمة,,,,drop,classifier closed dialect/loan token set
ar,*,فين,,,,drop,classifier closed dialect/loan token set
ar,*,قدام,,,,drop,classifier closed dialect/loan token set
ar,*,قدّام,,,,drop,classifier closed dialect/loan token set
ar,*,كارطة,,,,drop,classifier closed dialect/loan token set
ar,*,كاين,,,,drop,classifier closed dialect/loan token set
ar,*,كاينة,,,,drop,classifier closed dialect/loan token set
ar,*,كاينين,,,,drop,classifier closed dialect/loan token set
ar,*,كبتان,,,,drop,classifier closed dialect/loan token set
ar,*,كبطان,,,,drop,classifier closed dialect/loan token set
ar,*,كرا,,,,drop,classifier closed dialect/loan token set
ar,*,كراء,,,,drop,classifier closed dialect/loan token set
ar,*,كراج,,,,drop,classifier closed dialect/loan token set
ar,*,كرعين,,,,drop,classifier closed dialect/loan token set
ar,*,كرى,,,,drop,classifier closed dialect/loan token set
ar,*,كساب,,,,drop,classifier closed dialect/loan token set
ar,*,كمل,,,,drop,classifier closed dialect/loan token set
ar,*,كملوا,,,,drop,classifier closed dialect/loan token set
ar,*,كملي,,,,drop,classifier closed dialect/loan token set
ar,*,كنبة,,,,drop,classifier closed dialect/loan token set
ar,*,كوزينة,,,,drop,classifier closed dialect/loan token set
ar,*,كون,,,,drop,classifier closed dialect/loan token set
ar,*,كون#SCONJ,,,SCONJ,drop,Darija conditional كون
ar,*,كيفاش,,,,drop,classifier closed dialect/loan token set
ar,*,لاباس,,,,drop,classifier closed dialect/loan token set
ar,*,لازم,,,,drop,classifier closed dialect/loan token set
ar,*,لازم#AUX,,,AUX,drop,لازم AUX Maghrebi
ar,*,مارشي,,,,drop,classifier closed dialect/loan token set
ar,*,ماشي,,,,drop,classifier closed dialect/loan token set
ar,*,مبروك,,,,drop,classifier closed dialect/loan token set
ar,*,مزيان,,,,drop,classifier closed dialect/loan token set
ar,*,مزيانة,,,,drop,classifier closed dialect/loan token set
ar,*,مناكش,,,,drop,classifier closed dialect/loan token set
ar,*,منقاش,,,,drop,classifier closed dialect/loan token set
ar,*,منين,,,,drop,classifier closed dialect/loan token set
ar,*,ميدات,,,,drop,classifier closed dialect/loan token set
ar,*,ميدة,,,,drop,classifier closed dialect/loan token set
ar,*,ناعس,,,,drop,classifier closed dialect/loan token set
ar,*,نبغي,,,,drop,classifier closed dialect/loan token set
ar,*,ندير,,,,drop,classifier closed dialect/loan token set
ar,*,نعسان,,,,drop,classifier closed dialect/loan token set
ar,*,نعسانة,,,,drop,classifier closed dialect/loan token set
ar,*,نمشيو,,,,drop,classifier closed dialect/loan token set
ar,*,نيت,,,,drop,classifier closed dialect/loan token set
ar,*,هات,,,,drop,classifier closed dialect/loan token set
ar,*,هاتي,,,,drop,classifier closed dialect/loan token set
ar,*,هاد,,,,drop,classifier closed dialect/loan token set
ar,*,هادا,,,,drop,classifier closed dialect/loan token set
ar,*,هادشي,,,,drop,classifier closed dialect/loan token set
ar,*,هادو,,,,drop,classifier closed dialect/loan token set
ar,*,هادي,,,,drop,classifier closed dialect/loan token set
ar,*,هاك,,,,drop,classifier closed dialect/loan token set
ar,*,هاكا,,,,drop,classifier closed dialect/loan token set
ar,*,واخا,,,,drop,classifier closed dialect/loan token set
ar,*,واش,,,,drop,classifier closed dialect/loan token set
ar,*,واعر,,,,drop,classifier closed dialect/loan token set
ar,*,واعرة,,,,drop,classifier closed dialect/loan token set
ar,*,واقيلا,,,,drop,classifier closed dialect/loan token set
ar,*,وحشت,,,,drop,classifier closed dialect/loan token set
ar,*,وحشتني,,,,drop,classifier closed dialect/loan token set
ar,*,ورا,,,,drop,classifier closed dialect/loan token set
ar,*,ياك,,,,drop,classifier closed dialect/loan token set
ar,*,يالله,,,,drop,classifier closed dialect/loan token set
ar,*,يعني#PART,,,PART,drop,يعني discourse PART colloquial
ar,*,يلا,,,,drop,classifier closed dialect/loan token set
ar,*,يلاه,,,,drop,classifier closed dialect/loan token set
