action,lang,level,lemma,english_lemma,chinese_lemma,upos,kept_level,kept_english,kept_chinese,conflict
removed,en,C1,qualify,qualify,取得资格,VERB,B2,qualify,使合格,yes
removed,nl,B1,leven,to live,生活,VERB,A1,to live,生活,same_gloss
removed,nl,B2,leven,live,生活,VERB,A1,to live,生活,yes
removed,nl,C1,leven,to live,生活 / 活,VERB,A1,to live,生活,yes
removed,nl,A2,mogen,may,可以,AUX,A1,may,可以,same_gloss
removed,nl,B2,mogen,to be allowed,可以,AUX,A1,may,可以,yes
removed,nl,C1,mogen,to be allowed,可以,AUX,A1,may,可以,yes
removed,nl,A2,vragen,ask,问,VERB,A1,to ask,问,yes
removed,nl,C1,vragen,ask,问,VERB,A1,to ask,问,yes
removed,nl,B2,enig,any,任何,ADJ,A1,only,唯一的,yes
removed,nl,B2,eerder,earlier,更早的,ADV,A1,earlier,较早,yes
removed,nl,B2,delen,to share,分享,VERB,A1,to share,分享,same_gloss
removed,nl,C1,delen,share,分享,VERB,A1,to share,分享,yes
removed,nl,B1,verenigen,unite,联合,VERB,A1,to unite,联合,yes
removed,nl,B1,doden,to kill,杀死,VERB,A2,to kill,杀死,same_gloss
removed,nl,C1,doden,kill,杀死,VERB,A2,to kill,杀死,yes
removed,nl,B1,vormen,form,形成,VERB,A2,form,形成,same_gloss
removed,nl,B2,vormen,form,形成,VERB,A2,form,形成,same_gloss
removed,nl,C1,vormen,to form,形成,VERB,A2,form,形成,yes
removed,nl,B2,jongere,younger person,年轻人,NOUN,A2,young person,年轻人,yes
removed,nl,B2,verlaten,to leave,离开,VERB,A2,leave,离开,yes
removed,nl,C1,kosten,to cost,花费,VERB,A2,cost,花费,yes
removed,nl,C1,verdienen,to deserve,应得,VERB,B1,earn,赚,yes
removed,nl,B2,wensen,to wish,希望,VERB,B1,wish,祝愿,yes
removed,nl,B2,as,axis,轴,NOUN,B1,ash,灰烬,yes
removed,nl,B2,weg,road,道路,NOUN,B1,road,路,yes
removed,nl,C1,veroordelen,to convict,判罪,VERB,B2,to convict,定罪,yes
removed,nl,C1,onderzoeken,investigate,调查,VERB,B2,to investigate,调查,yes
removed,nl,C1,merken,notice,注意到,VERB,B2,to notice,注意到,yes
removed,en,B1,answer,answer,回答,NOUN,A1,answer,回答,same_gloss
removed,en,B1,ask,ask,问,VERB,A1,ask,问,same_gloss
removed,en,B1,baby,baby,婴儿,NOUN,A1,baby,婴儿,same_gloss
removed,en,B1,bag,bag,包,NOUN,A1,bag,包,same_gloss
removed,en,A2,big,big,大的,ADJ,A1,big,大的,same_gloss
removed,en,B2,boss,boss,老板,NOUN,A1,boss,老板,same_gloss
removed,en,B1,chance,chance,机会,NOUN,A1,chance,机会,same_gloss
removed,en,B2,control,control,控制,VERB,A1,control,控制,same_gloss
removed,en,B2,disappear,disappear,消失,VERB,A1,disappear,消失,same_gloss
removed,en,B2,drive,drive,驾驶,VERB,A1,drive,驾驶,same_gloss
removed,en,A2,early,early,早的,ADJ,A1,early,早的,same_gloss
removed,en,A2,easy,easy,容易的,ADJ,A1,easy,容易的,same_gloss
removed,en,B2,eat,eat,吃,VERB,A1,eat,吃,same_gloss
removed,en,A2,expect,expect,期待,VERB,A1,expect,期待,same_gloss
removed,en,B2,fight,fight,战斗,NOUN,A1,fight,战斗,same_gloss
removed,en,A2,hard,hard,困难的,ADJ,A1,hard,困难的,same_gloss
removed,en,A2,head,head,头,NOUN,A1,head,头,same_gloss
removed,en,B1,help,help,帮助,VERB,A1,help,帮助,same_gloss
removed,en,B1,house,house,房子,NOUN,A1,house,房子,same_gloss
removed,en,A2,keep,keep,保持,VERB,A1,keep,保持,same_gloss
removed,en,B2,land,land,土地,NOUN,A1,land,土地,same_gloss
removed,en,B2,loss,loss,损失,NOUN,A1,loss,损失,same_gloss
removed,en,A2,matter,matter,事情,NOUN,A1,matter,事情,same_gloss
removed,en,B1,message,message,信息,NOUN,A1,message,信息,same_gloss
removed,en,B1,million,million,百万,NUM,A1,million,百万,same_gloss
removed,en,A2,plan,plan,计划,NOUN,A1,plan,计划,same_gloss
removed,en,A2,point,point,点,NOUN,A1,point,点,same_gloss
removed,en,A2,problem,problem,问题,NOUN,A1,problem,问题,same_gloss
removed,en,B1,protect,protect,保护,VERB,A1,protect,保护,same_gloss
removed,en,B1,return,return,返回,VERB,A1,return,返回,same_gloss
removed,en,B1,room,room,房间,NOUN,A1,room,房间,same_gloss
removed,en,A2,see,see,看见,VERB,A1,see,看见,same_gloss
removed,en,B1,ship,ship,船,NOUN,A1,ship,船,same_gloss
removed,en,B2,shoot,shoot,射击,VERB,A1,shoot,射击,same_gloss
removed,en,B1,sister,sister,姐妹,NOUN,A1,sister,姐妹,same_gloss
removed,en,B2,sit,sit,坐,VERB,A1,sit,坐,same_gloss
removed,en,B2,situation,situation,情况,NOUN,A1,situation,情况,same_gloss
removed,en,B1,small,small,小的,ADJ,A1,small,小的,same_gloss
removed,en,B1,son,son,儿子,NOUN,A1,son,儿子,same_gloss
removed,en,B1,song,song,歌曲,NOUN,A1,song,歌曲,same_gloss
removed,en,B1,speak,speak,说话,VERB,A1,speak,说话,same_gloss
removed,en,B2,spend,spend,花费,VERB,A1,spend,花费,same_gloss
removed,en,B1,stand,stand,站立,VERB,A1,stand,站立,same_gloss
removed,en,B1,step,step,步骤,NOUN,A1,step,步骤,same_gloss
removed,en,B1,street,street,街道,NOUN,A1,street,街道,same_gloss
removed,en,A2,thought,thought,想法,NOUN,A1,thought,想法,same_gloss
removed,en,B2,throw,throw,扔,VERB,A1,throw,扔,same_gloss
removed,en,B1,wait,wait,等待,VERB,A1,wait,等待,same_gloss
removed,en,B1,win,win,赢,VERB,A1,win,赢,same_gloss
removed,en,B2,wish,wish,希望,VERB,A1,wish,希望,same_gloss
removed,en,B2,world,world,世界,NOUN,A1,world,世界,same_gloss
removed,en,B2,write,write,写,VERB,A1,write,写,same_gloss
removed,en,B1,young,young,年轻的,ADJ,A1,young,年轻的,same_gloss
removed,en,B1,answer,answer,回答,VERB,A1,answer,回答,same_gloss
removed,en,B2,book,book,预订,VERB,A1,book,预订,same_gloss
removed,en,B2,dream,dream,做梦,VERB,A1,dream,做梦,same_gloss
removed,en,B1,accept,accept,接受,VERB,A2,accept,接受,same_gloss
removed,en,C1,apartment,apartment,公寓,NOUN,A2,apartment,公寓,same_gloss
removed,en,B2,bank,bank,银行,NOUN,A2,bank,银行,same_gloss
removed,en,B1,bill,bill,账单,NOUN,A2,bill,账单,same_gloss
removed,en,B2,bite,bite,咬,VERB,A2,bite,咬,same_gloss
removed,en,B2,bomb,bomb,炸弹,NOUN,A2,bomb,炸弹,same_gloss
removed,en,B1,bullet,bullet,子弹,NOUN,A2,bullet,子弹,same_gloss
removed,en,B1,burn,burn,燃烧,VERB,A2,burn,燃烧,same_gloss
removed,en,B1,camera,camera,相机,NOUN,A2,camera,相机,same_gloss
removed,en,B2,carry,carry,携带,VERB,A2,carry,携带,same_gloss
removed,en,B1,cat,cat,猫,NOUN,A2,cat,猫,same_gloss
removed,en,B1,cell,cell,细胞,NOUN,A2,cell,细胞,same_gloss
removed,en,B2,chair,chair,椅子,NOUN,A2,chair,椅子,same_gloss
removed,en,B2,chicken,chicken,鸡,NOUN,A2,chicken,鸡,same_gloss
removed,en,B1,client,client,客户,NOUN,A2,client,客户,same_gloss
removed,en,B2,contract,contract,合同,NOUN,A2,contract,合同,same_gloss
removed,en,B2,copy,copy,副本,NOUN,A2,copy,副本,same_gloss
removed,en,B1,cost,cost,费用,NOUN,A2,cost,费用,same_gloss
removed,en,B2,dare,dare,敢于,VERB,A2,dare,敢于,same_gloss
removed,en,B2,decide,decide,决定,VERB,A2,decide,决定,same_gloss
removed,en,B2,difference,difference,差异,NOUN,A2,difference,差异,same_gloss
removed,en,B2,exist,exist,存在,VERB,A2,exist,存在,same_gloss
removed,en,B2,experience,experience,经验,NOUN,A2,experience,经验,same_gloss
removed,en,B1,file,file,文件,NOUN,A2,file,文件,same_gloss
removed,en,B1,film,film,电影,NOUN,A2,film,电影,same_gloss
removed,en,B2,fit,fit,适合,VERB,A2,fit,适合,same_gloss
removed,en,C1,groan,groan,呻吟,VERB,A2,groan,呻吟,same_gloss
removed,en,B1,horse,horse,马,NOUN,A2,horse,马,same_gloss
removed,en,B2,island,island,岛屿,NOUN,A2,island,岛屿,same_gloss
removed,en,B1,knock,knock,敲,VERB,A2,knock,敲,same_gloss
removed,en,B2,knock,knock,敲,VERB,A2,knock,敲,same_gloss
removed,en,B2,laugh,laugh,笑,VERB,A2,laugh,笑,same_gloss
removed,en,B1,mountain,mountain,山,NOUN,A2,mountain,山,same_gloss
removed,en,B2,noise,noise,噪音,NOUN,A2,noise,噪音,same_gloss
removed,en,B2,offer,offer,提供,VERB,A2,offer,提供,same_gloss
removed,en,B2,operation,operation,手术,NOUN,A2,operation,手术,same_gloss
removed,en,B1,photo,photo,照片,NOUN,A2,photo,照片,same_gloss
removed,en,B2,planet,planet,行星,NOUN,A2,planet,行星,same_gloss
removed,en,B2,price,price,价格,NOUN,A2,price,价格,same_gloss
removed,en,B2,prove,prove,证明,VERB,A2,prove,证明,same_gloss
removed,en,B2,respect,respect,尊重,VERB,A2,respect,尊重,same_gloss
removed,en,B2,restaurant,restaurant,餐厅,NOUN,A2,restaurant,餐厅,same_gloss
removed,en,B2,search,search,搜索,VERB,A2,search,搜索,same_gloss
removed,en,B2,sing,sing,唱歌,VERB,A2,sing,唱歌,same_gloss
removed,en,B2,smart,smart,聪明的,ADJ,A2,smart,聪明的,same_gloss
removed,en,B1,soldier,soldier,士兵,NOUN,A2,soldier,士兵,same_gloss
removed,en,B1,soul,soul,灵魂,NOUN,A2,soul,灵魂,same_gloss
removed,en,B2,support,support,支持,VERB,A2,support,支持,same_gloss
removed,en,B2,surprise,surprise,惊喜,NOUN,A2,surprise,惊喜,same_gloss
removed,en,B1,taste,taste,味道,NOUN,A2,taste,味道,same_gloss
removed,en,B2,tooth,tooth,牙齿,NOUN,A2,tooth,牙齿,same_gloss
removed,en,B2,travel,travel,旅行,VERB,A2,travel,旅行,same_gloss
removed,en,B1,treat,treat,对待,VERB,A2,treat,对待,same_gloss
removed,en,B2,video,video,视频,NOUN,A2,video,视频,same_gloss
removed,en,B1,wall,wall,墙,NOUN,A2,wall,墙,same_gloss
removed,en,B2,ability,ability,能力,NOUN,B1,ability,能力,same_gloss
removed,en,B2,activity,activity,活动,NOUN,B1,activity,活动,same_gloss
removed,en,C1,argue,argue,争论,VERB,B1,argue,争论,same_gloss
removed,en,B2,argument,argument,争论,NOUN,B1,argument,争论,same_gloss
removed,en,B2,bark,bark,吠叫,VERB,B1,bark,吠叫,same_gloss
removed,en,C1,behave,behave,表现,VERB,B1,behave,表现,same_gloss
removed,en,B2,billion,billion,十亿,NUM,B1,billion,十亿,same_gloss
removed,en,B2,bless,bless,祝福,VERB,B1,bless,祝福,same_gloss
removed,en,B2,boot,boot,靴子,NOUN,B1,boot,靴子,same_gloss
removed,en,B2,chain,chain,链条,NOUN,B1,chain,链条,same_gloss
removed,en,C1,circumstance,circumstance,情况,NOUN,B1,circumstance,情况,same_gloss
removed,en,B2,claim,claim,声称,VERB,B1,claim,声称,same_gloss
removed,en,B2,concern,concern,担忧,NOUN,B1,concern,担忧,same_gloss
removed,en,C1,consequence,consequence,后果,NOUN,B1,consequence,后果,same_gloss
removed,en,B2,crack,crack,裂缝,NOUN,B1,crack,裂缝,same_gloss
removed,en,B2,cure,cure,治愈,VERB,B1,cure,治愈,same_gloss
removed,en,B2,debt,debt,债务,NOUN,B1,debt,债务,same_gloss
removed,en,B2,describe,describe,描述,VERB,B1,describe,描述,same_gloss
removed,en,C1,detail,detail,细节,NOUN,B1,detail,细节,same_gloss
removed,en,B2,develop,develop,发展,VERB,B1,develop,发展,same_gloss
removed,en,B2,direct,direct,直接的,ADJ,B1,direct,直接的,same_gloss
removed,en,B2,doll,doll,玩偶,NOUN,B1,doll,玩偶,same_gloss
removed,en,B2,drawing,drawing,图画,NOUN,B1,drawing,图画,same_gloss
removed,en,B2,exam,exam,考试,NOUN,B1,exam,考试,same_gloss
removed,en,B2,expert,expert,专家,NOUN,B1,expert,专家,same_gloss
removed,en,B2,frighten,frighten,使害怕,VERB,B1,frighten,使害怕,same_gloss
removed,en,B2,gather,gather,聚集,VERB,B1,gather,聚集,same_gloss
removed,en,B2,grade,grade,等级,NOUN,B1,grade,等级,same_gloss
removed,en,B2,holiday,holiday,假期,NOUN,B1,holiday,假期,same_gloss
removed,en,B2,ignore,ignore,忽视,VERB,B1,ignore,忽视,same_gloss
removed,en,B2,impress,impress,使印象深刻,VERB,B1,impress,使印象深刻,same_gloss
removed,en,C1,instruction,instruction,指示,NOUN,B1,instruction,指示,same_gloss
removed,en,B2,investigate,investigate,调查,VERB,B1,investigate,调查,same_gloss
removed,en,B2,nerve,nerve,神经,NOUN,B1,nerve,神经,same_gloss
removed,en,B2,pill,pill,药丸,NOUN,B1,pill,药丸,same_gloss
removed,en,B2,print,print,打印,VERB,B1,print,打印,same_gloss
removed,en,B2,product,product,产品,NOUN,B1,product,产品,same_gloss
removed,en,B2,rat,rat,老鼠,NOUN,B1,rat,老鼠,same_gloss
removed,en,B2,replace,replace,替换,VERB,B1,replace,替换,same_gloss
removed,en,B2,sin,sin,罪,NOUN,B1,sin,罪,same_gloss
removed,en,B2,slave,slave,奴隶,NOUN,B1,slave,奴隶,same_gloss
removed,en,B2,snake,snake,蛇,NOUN,B1,snake,蛇,same_gloss
removed,en,B2,sob,sob,啜泣,VERB,B1,sob,啜泣,same_gloss
removed,en,C1,sob,sob,啜泣,VERB,B1,sob,啜泣,same_gloss
removed,en,B2,source,source,来源,NOUN,B1,source,来源,same_gloss
removed,en,B2,stone,stone,石头,NOUN,B1,stone,石头,same_gloss
removed,en,B2,stranger,stranger,陌生人,NOUN,B1,stranger,陌生人,same_gloss
removed,en,C1,surround,surround,包围,VERB,B1,surround,包围,same_gloss
removed,en,B2,talent,talent,天赋,NOUN,B1,talent,天赋,same_gloss
removed,en,B2,tax,tax,税,NOUN,B1,tax,税,same_gloss
removed,en,B2,thief,thief,小偷,NOUN,B1,thief,小偷,same_gloss
removed,en,B2,threaten,threaten,威胁,VERB,B1,threaten,威胁,same_gloss
removed,en,B2,tip,tip,提示,NOUN,B1,tip,提示,same_gloss
removed,en,B2,vampire,vampire,吸血鬼,NOUN,B1,vampire,吸血鬼,same_gloss
removed,en,B2,vehicle,vehicle,车辆,NOUN,B1,vehicle,车辆,same_gloss
removed,en,B2,whistle,whistle,口哨,NOUN,B1,whistle,口哨,same_gloss
removed,en,B2,witch,witch,女巫,NOUN,B1,witch,女巫,same_gloss
removed,en,B2,wolf,wolf,狼,NOUN,B1,wolf,狼,same_gloss
removed,en,C1,amuse,amuse,逗乐,VERB,B2,amuse,逗乐,same_gloss
removed,en,C1,authorize,authorize,授权,VERB,B2,authorize,授权,same_gloss
removed,en,C1,burden,burden,负担,NOUN,B2,burden,负担,same_gloss
removed,en,C1,deceive,deceive,欺骗,VERB,B2,deceive,欺骗,same_gloss
removed,en,C1,dismiss,dismiss,解雇,VERB,B2,dismiss,解雇,same_gloss
removed,en,C1,flirt,flirt,调情,VERB,B2,flirt,调情,same_gloss
removed,en,C1,giggle,giggle,咯咯笑,VERB,B2,giggle,咯咯笑,same_gloss
removed,en,C1,infect,infect,感染,VERB,B2,infect,感染,same_gloss
removed,en,C1,ingredient,ingredient,成分,NOUN,B2,ingredient,成分,same_gloss
removed,en,C1,insect,insect,昆虫,NOUN,B2,insect,昆虫,same_gloss
removed,en,C1,invent,invent,发明,VERB,B2,invent,发明,same_gloss
removed,en,C1,isolate,isolate,隔离,VERB,B2,isolate,隔离,same_gloss
removed,en,C1,mock,mock,嘲笑,VERB,B2,mock,嘲笑,same_gloss
removed,en,C1,oblige,oblige,强迫,VERB,B2,oblige,强迫,same_gloss
removed,en,C1,obsess,obsess,使着迷,VERB,B2,obsess,使着迷,same_gloss
removed,en,C1,occupy,occupy,占据,VERB,B2,occupy,占据,same_gloss
removed,en,C1,polish,polish,擦亮,VERB,B2,polish,擦亮,same_gloss
removed,en,C1,roar,roar,咆哮,VERB,B2,roar,咆哮,same_gloss
removed,en,C1,scatter,scatter,分散,VERB,B2,scatter,分散,same_gloss
removed,en,C1,shatter,shatter,粉碎,VERB,B2,shatter,粉碎,same_gloss
removed,en,C1,sibling,sibling,兄弟姐妹,NOUN,B2,sibling,兄弟姐妹,same_gloss
removed,en,C1,symptom,symptom,症状,NOUN,B2,symptom,症状,same_gloss
removed,en,C1,tactic,tactic,策略,NOUN,B2,tactic,策略,same_gloss
removed,fr,B1,gorge,throat,喉咙,NOUN,A1,throat,喉咙,same_gloss
removed,fr,A2,hôpital,hospital,医院,NOUN,A1,hospital,医院,same_gloss
removed,fr,B1,métal,metal,金属,NOUN,A1,metal,金属,same_gloss
removed,nl,C1,of,or,或者,CCONJ,A1,or,或者,same_gloss
removed,nl,C1,verschillend,different,不同的,ADJ,A1,different,不同的,same_gloss
removed,nl,B2,volgend,next,下一个,ADJ,A1,next,下一个,same_gloss
removed,nl,B1,vaak,often,经常,ADV,A1,often,经常,same_gloss
removed,nl,B1,nieuws,news,新闻,NOUN,A1,news,新闻,same_gloss
removed,nl,B2,laat,late,迟的,ADJ,A1,late,迟的,same_gloss
removed,nl,C1,weinig,few,少的,ADJ,A1,few,少的,same_gloss
removed,nl,B2,druk,busy,忙碌的,ADJ,A1,busy,忙碌的,same_gloss
removed,nl,B1,miljoen,million,百万,NUM,A1,million,百万,same_gloss
removed,nl,B2,plaatsen,place,放置,VERB,A1,place,放置,same_gloss
removed,nl,B2,nederlands,Dutch,荷兰语,NOUN,A2,Dutch,荷兰语,same_gloss
removed,nl,B2,stemmen,to vote,投票,VERB,A2,to vote,投票,same_gloss
removed,nl,C1,stemmen,to vote,投票,VERB,A2,to vote,投票,same_gloss
removed,nl,B2,rijk,rich,富有的,ADJ,A2,rich,富有的,same_gloss
removed,nl,B2,bedoelen,mean,意指,VERB,B1,mean,意指,same_gloss
removed,nl,C1,inclusief,including,包括,ADP,B1,including,包括,same_gloss
removed,nl,B2,uitgebreid,extensive,广泛的,ADJ,B1,extensive,广泛的,same_gloss
removed,nl,B2,Japans,Japanese,日本的,ADJ,B1,Japanese,日本的,same_gloss
removed,nl,C1,zogenaamd,so-called,所谓的,ADJ,B1,so-called,所谓的,same_gloss
removed,nl,B2,bepalen,to determine,决定,VERB,B1,to determine,决定,same_gloss
removed,nl,B2,arm,poor,贫穷的,ADJ,B1,poor,贫穷的,same_gloss
removed,nl,B2,ontwerpen,design,设计,VERB,B1,design,设计,same_gloss
removed,nl,C1,vermist,missing,失踪的,ADJ,B2,missing,失踪的,same_gloss
removed,nl,C1,vluchten,to flee,逃跑,VERB,B2,to flee,逃跑,same_gloss
removed,nl,C1,vroeg,early,早的,ADJ,B2,early,早的,same_gloss
removed,nl,C1,plannen,plan,计划,VERB,B2,plan,计划,same_gloss
removed,nl,C1,licht,light,轻的,ADJ,B2,light,轻的,same_gloss
removed,nl,C1,anoniem,anonymous,匿名的,ADJ,B2,anonymous,匿名的,same_gloss
removed,nl,C1,verrassend,surprising,令人惊讶的,ADJ,B2,surprising,令人惊讶的,same_gloss
removed,nl,C1,aankondigen,announce,宣布,VERB,B2,announce,宣布,same_gloss
