lang,level,csv_line,lemma,english_lemma,chinese_lemma,upos,source_file
en,A1,69,both,both,两者都,DET,english/A1.csv
en,A1,70,box,box,盒子,NOUN,english/A1.csv
en,A1,71,boy,boy,男孩,NOUN,english/A1.csv
en,A1,72,break,break,打破,VERB,english/A1.csv
en,A1,73,bright,bright,明亮的,ADJ,english/A1.csv
en,A1,74,bring,bring,带来,VERB,english/A1.csv
en,A1,75,brother,brother,兄弟,NOUN,english/A1.csv
en,A1,76,building,building,建筑物,NOUN,english/A1.csv
en,A1,77,business,business,商业,NOUN,english/A1.csv
en,A1,78,busy,busy,忙碌的,ADJ,english/A1.csv
en,A1,79,but,but,但是,CCONJ,english/A1.csv
en,A1,80,buy,buy,买,VERB,english/A1.csv
en,A1,81,by,by,通过,ADP,english/A1.csv
en,A1,82,bye,bye,再见,INTJ,english/A1.csv
en,A1,83,call,call,打电话,VERB,english/A1.csv
en,A1,84,can,can,能够,AUX,english/A1.csv
en,A1,85,cannot,cannot,不能,AUX,english/A1.csv
en,A1,86,car,car,汽车,NOUN,english/A1.csv
en,A1,87,care,care,照顾,VERB,english/A1.csv
en,A1,88,careful,careful,小心的,ADJ,english/A1.csv
en,A1,89,case,case,案件,NOUN,english/A1.csv
en,A1,90,catch,catch,抓住,VERB,english/A1.csv
en,A1,91,cause,cause,原因,NOUN,english/A1.csv
en,A1,92,chance,chance,机会,NOUN,english/A1.csv
en,A1,93,change,change,改变,VERB,english/A1.csv
en,A1,94,check,check,检查,VERB,english/A1.csv
en,A1,95,child,child,儿童,NOUN,english/A1.csv
en,A1,96,choice,choice,选择,NOUN,english/A1.csv
en,A1,97,city,city,城市,NOUN,english/A1.csv
en,A1,98,class,class,班级,NOUN,english/A1.csv
en,A1,99,clean,clean,干净的,ADJ,english/A1.csv
en,A1,100,clear,clear,清晰的,ADJ,english/A1.csv
en,A1,101,close,close,关闭,VERB,english/A1.csv
en,A1,102,clothes,clothes,衣服,NOUN,english/A1.csv
en,A1,103,coffee,coffee,咖啡,NOUN,english/A1.csv
en,A1,104,cold,cold,寒冷的,ADJ,english/A1.csv
en,A1,105,come,come,来,VERB,english/A1.csv
en,A1,106,company,company,公司,NOUN,english/A1.csv
en,A1,107,completely,completely,完全地,ADV,english/A1.csv
en,A1,108,control,control,控制,VERB,english/A1.csv
en,A1,109,cool,cool,凉爽的,ADJ,english/A1.csv
en,A1,110,could,could,能够,AUX,english/A1.csv
en,A1,111,country,country,国家,NOUN,english/A1.csv
en,A1,112,couple,couple,一对,NOUN,english/A1.csv
en,A1,113,course,course,课程,NOUN,english/A1.csv
en,A1,114,crazy,crazy,疯狂的,ADJ,english/A1.csv
en,A1,115,cut,cut,切,VERB,english/A1.csv
en,A1,116,dad,dad,爸爸,NOUN,english/A1.csv
en,A1,117,dance,dance,跳舞,VERB,english/A1.csv
en,A1,118,dark,dark,黑暗的,ADJ,english/A1.csv
en,A1,119,date,date,日期,NOUN,english/A1.csv
en,A1,120,daughter,daughter,女儿,NOUN,english/A1.csv
en,A1,121,day,day,天,NOUN,english/A1.csv
en,A1,122,deal,deal,交易,NOUN,english/A1.csv
en,A1,123,dear,dear,亲爱的,ADJ,english/A1.csv
en,A1,124,definitely,definitely,肯定地,ADV,english/A1.csv
en,A1,125,die,die,死亡,VERB,english/A1.csv
en,A1,126,different,different,不同的,ADJ,english/A1.csv
en,A1,127,dinner,dinner,晚餐,NOUN,english/A1.csv
en,A1,128,disappear,disappear,消失,VERB,english/A1.csv
en,A1,129,do,do,做,VERB,english/A1.csv
en,A1,130,doctor,doctor,医生,NOUN,english/A1.csv
en,A1,131,dog,dog,狗,NOUN,english/A1.csv
en,A1,132,door,door,门,NOUN,english/A1.csv
en,A1,133,down,down,向下,ADV,english/A1.csv
en,A1,134,dream,dream,梦想,NOUN,english/A1.csv
en,A1,135,drink,drink,喝,VERB,english/A1.csv
en,A1,136,drive,drive,驾驶,VERB,english/A1.csv
en,A1,137,drop,drop,掉落,VERB,english/A1.csv
en,A1,138,during,during,在...期间,ADP,english/A1.csv
en,A1,139,each,each,每个,DET,english/A1.csv
en,A1,140,early,early,早的,ADJ,english/A1.csv
en,A1,141,easy,easy,容易的,ADJ,english/A1.csv
en,A1,142,eat,eat,吃,VERB,english/A1.csv
en,A1,143,either,either,或者,CCONJ,english/A1.csv
en,A1,144,else,else,其他,ADV,english/A1.csv
en,A1,145,end,end,结束,NOUN,english/A1.csv
en,A1,146,enough,enough,足够的,ADJ,english/A1.csv
en,A1,147,entire,entire,整个的,ADJ,english/A1.csv
en,A1,148,even,even,甚至,ADV,english/A1.csv
en,A1,149,evening,evening,晚上,NOUN,english/A1.csv
en,A1,150,ever,ever,曾经,ADV,english/A1.csv
en,A1,151,every,every,每个,DET,english/A1.csv
en,A1,152,everybody,everybody,每个人,PRON,english/A1.csv
en,A1,153,everyone,everyone,每个人,PRON,english/A1.csv
en,A1,154,everything,everything,一切,PRON,english/A1.csv
en,A1,155,exactly,exactly,确切地,ADV,english/A1.csv
en,A1,156,excuse,excuse,借口,NOUN,english/A1.csv
en,A1,157,expect,expect,期待,VERB,english/A1.csv
en,A1,158,explain,explain,解释,VERB,english/A1.csv
en,A1,159,eye,eye,眼睛,NOUN,english/A1.csv
en,A1,160,face,face,脸,NOUN,english/A1.csv
en,A1,161,fact,fact,事实,NOUN,english/A1.csv
en,A1,162,fall,fall,落下,VERB,english/A1.csv
en,A1,163,family,family,家庭,NOUN,english/A1.csv
en,A1,164,far,far,远,ADV,english/A1.csv
en,A1,165,fast,fast,快的,ADJ,english/A1.csv
en,A1,166,father,father,父亲,NOUN,english/A1.csv
en,A1,167,fault,fault,错误,NOUN,english/A1.csv
en,A1,168,feel,feel,感觉,VERB,english/A1.csv
en,A1,169,feeling,feeling,感觉,NOUN,english/A1.csv
en,A1,170,female,female,女性的,ADJ,english/A1.csv
en,A1,171,few,few,很少的,ADJ,english/A1.csv
en,A1,172,fight,fight,战斗,NOUN,english/A1.csv
en,A1,173,figure,figure,数字,NOUN,english/A1.csv
en,A1,174,finally,finally,最后,ADV,english/A1.csv
en,A1,175,find,find,找到,VERB,english/A1.csv
en,A1,176,fine,fine,好的,ADJ,english/A1.csv
en,A1,177,finish,finish,完成,VERB,english/A1.csv
en,A1,178,fire,fire,火,NOUN,english/A1.csv
en,A1,179,first,first,第一,ADJ,english/A1.csv
en,A1,180,five,five,五,NUM,english/A1.csv
en,A1,181,floor,floor,地板,NOUN,english/A1.csv
en,A1,182,follow,follow,跟随,VERB,english/A1.csv
en,A1,183,food,food,食物,NOUN,english/A1.csv
en,A1,184,for,for,为了,ADP,english/A1.csv
en,A1,185,forever,forever,永远,ADV,english/A1.csv
en,A1,186,forget,forget,忘记,VERB,english/A1.csv
en,A1,187,forward,forward,向前,ADV,english/A1.csv
en,A1,188,four,four,四,NUM,english/A1.csv
en,A1,189,frank,frank,坦率的,ADJ,english/A1.csv
en,A1,190,free,free,免费的,ADJ,english/A1.csv
en,A1,191,friend,friend,朋友,NOUN,english/A1.csv
en,A1,192,from,from,来自,ADP,english/A1.csv
en,A1,193,front,front,前面,NOUN,english/A1.csv
en,A1,194,full,full,满的,ADJ,english/A1.csv
en,A1,195,fun,fun,乐趣,NOUN,english/A1.csv
en,A1,196,funny,funny,有趣的,ADJ,english/A1.csv
en,A1,197,future,future,未来,NOUN,english/A1.csv
en,A1,198,game,game,游戏,NOUN,english/A1.csv
en,A1,199,get,get,得到,VERB,english/A1.csv
en,A1,200,girl,girl,女孩,NOUN,english/A1.csv
en,A1,201,give,give,给,VERB,english/A1.csv
en,A1,202,glad,glad,高兴的,ADJ,english/A1.csv
en,A1,203,go,go,去,VERB,english/A1.csv
en,A1,204,good,good,好的,ADJ,english/A1.csv
en,A1,205,grandma,grandma,奶奶,NOUN,english/A1.csv
en,A1,206,great,great,伟大的,ADJ,english/A1.csv
en,A1,207,ground,ground,地面,NOUN,english/A1.csv
en,A1,208,guess,guess,猜,VERB,english/A1.csv
en,A1,209,guy,guy,家伙,NOUN,english/A1.csv
en,A1,210,hair,hair,头发,NOUN,english/A1.csv
en,A1,211,half,half,一半,NOUN,english/A1.csv
en,A1,212,hand,hand,手,NOUN,english/A1.csv
en,A1,213,handle,handle,处理,VERB,english/A1.csv
en,A1,214,handsome,handsome,帅气的,ADJ,english/A1.csv
en,A1,215,hang,hang,悬挂,VERB,english/A1.csv
en,A1,216,happen,happen,发生,VERB,english/A1.csv
en,A1,217,happy,happy,快乐的,ADJ,english/A1.csv
en,A1,218,hard,hard,困难的,ADJ,english/A1.csv
en,A1,219,hardly,hardly,几乎不,ADV,english/A1.csv
en,A1,220,hate,hate,讨厌,VERB,english/A1.csv
en,A1,221,have,have,有,VERB,english/A1.csv
en,A1,222,he,he,他,PRON,english/A1.csv
en,A1,223,head,head,头,NOUN,english/A1.csv
en,A1,224,hear,hear,听见,VERB,english/A1.csv
en,A1,225,heart,heart,心,NOUN,english/A1.csv
en,A1,226,hello,hello,你好,INTJ,english/A1.csv
en,A1,227,help,help,帮助,VERB,english/A1.csv
en,A1,228,her,her,她的,PRON,english/A1.csv
en,A1,229,here,here,这里,ADV,english/A1.csv
en,A1,230,hey,hey,嘿,INTJ,english/A1.csv
en,A1,231,hi,hi,嗨,INTJ,english/A1.csv
en,A1,232,high,high,高的,ADJ,english/A1.csv
en,A1,233,him,him,他,PRON,english/A1.csv
en,A1,234,his,his,他的,PRON,english/A1.csv
en,A1,235,history,history,历史,NOUN,english/A1.csv
en,A1,236,hit,hit,打,VERB,english/A1.csv
en,A1,237,hold,hold,拿着,VERB,english/A1.csv
en,A1,238,home,home,家,NOUN,english/A1.csv
en,A1,239,honey,honey,蜂蜜,NOUN,english/A1.csv
en,A1,240,hope,hope,希望,VERB,english/A1.csv
en,A1,241,hot,hot,热的,ADJ,english/A1.csv
en,A1,242,hour,hour,小时,NOUN,english/A1.csv
en,A1,243,house,house,房子,NOUN,english/A1.csv
en,A1,244,how,how,如何,ADV,english/A1.csv
en,A1,245,human,human,人类,NOUN,english/A1.csv
en,A1,246,hurry,hurry,赶快,VERB,english/A1.csv
en,A1,247,hurt,hurt,受伤,VERB,english/A1.csv
en,A1,248,husband,husband,丈夫,NOUN,english/A1.csv
en,A1,249,I,I,我,PRON,english/A1.csv
en,A1,250,idea,idea,主意,NOUN,english/A1.csv
en,A1,251,if,if,如果,SCONJ,english/A1.csv
en,A1,252,important,important,重要的,ADJ,english/A1.csv
en,A1,253,in,in,在...里面,ADP,english/A1.csv
en,A1,254,information,information,信息,NOUN,english/A1.csv
en,A1,255,inside,inside,在内部,ADP,english/A1.csv
en,A1,256,into,into,进入,ADP,english/A1.csv
en,A1,257,it,it,它,PRON,english/A1.csv
en,A1,258,job,job,工作,NOUN,english/A1.csv
en,A1,259,join,join,加入,VERB,english/A1.csv
en,A1,260,just,just,仅仅,ADV,english/A1.csv
en,A1,261,keep,keep,保持,VERB,english/A1.csv
en,A1,262,kid,kid,小孩,NOUN,english/A1.csv
en,A1,263,kind,kind,种类,NOUN,english/A1.csv
en,A1,264,king,king,国王,NOUN,english/A1.csv
en,A1,265,know,know,知道,VERB,english/A1.csv
en,A1,266,lady,lady,女士,NOUN,english/A1.csv
en,A1,267,land,land,土地,NOUN,english/A1.csv
en,A1,268,last,last,最后的,ADJ,english/A1.csv
en,A1,269,late,late,晚的,ADJ,english/A1.csv
en,A1,270,later,later,后来,ADV,english/A1.csv
en,A1,271,lead,lead,领导,VERB,english/A1.csv
en,A1,272,learn,learn,学习,VERB,english/A1.csv
en,A1,273,least,least,最少的,ADJ,english/A1.csv
en,A1,274,leave,leave,离开,VERB,english/A1.csv
en,A1,275,less,less,较少的,ADJ,english/A1.csv
en,A1,276,lie,lie,撒谎,VERB,english/A1.csv
en,A1,277,life,life,生活,NOUN,english/A1.csv
en,A1,278,light,light,光,NOUN,english/A1.csv
en,A1,279,like,like,喜欢,VERB,english/A1.csv
en,A1,280,likely,likely,很可能的,ADJ,english/A1.csv
en,A1,281,line,line,线,NOUN,english/A1.csv
en,A1,282,list,list,列表,NOUN,english/A1.csv
en,A1,283,listen,listen,听,VERB,english/A1.csv
en,A1,284,little,little,小的,ADJ,english/A1.csv
en,A1,285,live,live,居住,VERB,english/A1.csv
en,A1,286,lonely,lonely,孤独的,ADJ,english/A1.csv
en,A1,287,long,long,长的,ADJ,english/A1.csv
en,A1,288,look,look,看,VERB,english/A1.csv
en,A1,289,loose,loose,松的,ADJ,english/A1.csv
en,A1,290,lose,lose,丢失,VERB,english/A1.csv
en,A1,291,loss,loss,损失,NOUN,english/A1.csv
en,A1,292,lot,lot,许多,NOUN,english/A1.csv
en,A1,293,love,love,爱,NOUN,english/A1.csv
en,A1,294,luck,luck,运气,NOUN,english/A1.csv
en,A1,295,mad,mad,疯狂的,ADJ,english/A1.csv
en,A1,296,make,make,制作,VERB,english/A1.csv
en,A1,297,man,man,男人,NOUN,english/A1.csv
en,A1,298,many,many,许多,ADJ,english/A1.csv
en,A1,299,married,married,已婚的,ADJ,english/A1.csv
en,A1,300,marry,marry,结婚,VERB,english/A1.csv
en,A1,301,matter,matter,事情,NOUN,english/A1.csv
en,A1,302,may,may,可能,AUX,english/A1.csv
en,A1,303,maybe,maybe,也许,ADV,english/A1.csv
en,A1,304,me,me,我,PRON,english/A1.csv
en,A1,305,mean,mean,意味着,VERB,english/A1.csv
en,A1,306,meet,meet,遇见,VERB,english/A1.csv
en,A1,307,meeting,meeting,会议,NOUN,english/A1.csv
en,A1,308,message,message,信息,NOUN,english/A1.csv
en,A1,309,million,million,百万,NUM,english/A1.csv
en,A1,310,mind,mind,介意,VERB,english/A1.csv
en,A1,311,minute,minute,分钟,NOUN,english/A1.csv
en,A1,312,miss,miss,错过,VERB,english/A1.csv
en,A1,313,missing,missing,失踪的,ADJ,english/A1.csv
en,A1,314,mistake,mistake,错误,NOUN,english/A1.csv
en,A1,315,mom,mom,妈妈,NOUN,english/A1.csv
en,A1,316,moment,moment,时刻,NOUN,english/A1.csv
en,A1,317,money,money,钱,NOUN,english/A1.csv
en,A1,318,month,month,月,NOUN,english/A1.csv
en,A1,319,more,more,更多,ADV,english/A1.csv
en,A1,320,morning,morning,早晨,NOUN,english/A1.csv
en,A1,321,most,most,大多数,ADJ,english/A1.csv
en,A1,322,mother,mother,母亲,NOUN,english/A1.csv
en,A1,323,mouth,mouth,嘴,NOUN,english/A1.csv
en,A1,324,move,move,移动,VERB,english/A1.csv
en,A1,325,much,much,许多,ADJ,english/A1.csv
en,A1,326,music,music,音乐,NOUN,english/A1.csv
en,A1,327,must,must,必须,AUX,english/A1.csv
en,A1,328,my,my,我的,PRON,english/A1.csv
en,A1,329,name,name,名字,NOUN,english/A1.csv
en,A1,330,near,near,在附近,ADP,english/A1.csv
en,A1,331,need,need,需要,VERB,english/A1.csv
en,A1,332,never,never,从不,ADV,english/A1.csv
en,A1,333,new,new,新的,ADJ,english/A1.csv
en,A1,334,next,next,下一个,ADJ,english/A1.csv
en,A1,335,nice,nice,好的,ADJ,english/A1.csv
en,A1,336,night,night,夜晚,NOUN,english/A1.csv
en,A1,337,no,no,不,ADV,english/A1.csv
en,A1,338,nobody,nobody,没有人,PRON,english/A1.csv
en,A1,339,not,not,不,PART,english/A1.csv
en,A1,340,nothing,nothing,没有什么,PRON,english/A1.csv
en,A1,341,now,now,现在,ADV,english/A1.csv
en,A1,342,number,number,数字,NOUN,english/A1.csv
en,A1,343,of,of,的,ADP,english/A1.csv
en,A1,344,office,office,办公室,NOUN,english/A1.csv
en,A1,345,okay,okay,好的,ADJ,english/A1.csv
en,A1,346,old,old,旧的,ADJ,english/A1.csv
en,A1,347,on,on,在...上,ADP,english/A1.csv
en,A1,348,once,once,一次,ADV,english/A1.csv
en,A1,349,one,one,一,NUM,english/A1.csv
en,A1,350,only,only,只有,ADV,english/A1.csv
en,A1,351,open,open,开,VERB,english/A1.csv
en,A1,352,or,or,或者,CCONJ,english/A1.csv
en,A1,353,order,order,顺序,NOUN,english/A1.csv
en,A1,354,other,other,其他的,ADJ,english/A1.csv
en,A1,355,our,our,我们的,PRON,english/A1.csv
en,A1,356,out,out,在外面,ADV,english/A1.csv
en,A1,357,outside,outside,在外面,ADV,english/A1.csv
en,A1,358,over,over,在...上方,ADP,english/A1.csv
en,A1,359,own,own,自己的,ADJ,english/A1.csv
en,A1,360,pain,pain,疼痛,NOUN,english/A1.csv
en,A1,361,part,part,部分,NOUN,english/A1.csv
en,A1,362,party,party,聚会,NOUN,english/A1.csv
en,A1,363,past,past,过去,NOUN,english/A1.csv
en,A1,364,pay,pay,支付,VERB,english/A1.csv
en,A1,365,perfect,perfect,完美的,ADJ,english/A1.csv
en,A1,366,person,person,人,NOUN,english/A1.csv
en,A1,367,phone,phone,电话,NOUN,english/A1.csv
en,A1,368,pick,pick,挑选,VERB,english/A1.csv
en,A1,369,picture,picture,图片,NOUN,english/A1.csv
en,A1,370,piece,piece,碎片,NOUN,english/A1.csv
en,A1,371,place,place,地方,NOUN,english/A1.csv
en,A1,372,plan,plan,计划,NOUN,english/A1.csv
en,A1,373,play,play,玩,VERB,english/A1.csv
en,A1,374,please,please,请,INTJ,english/A1.csv
en,A1,375,point,point,点,NOUN,english/A1.csv
en,A1,376,poor,poor,贫穷的,ADJ,english/A1.csv
en,A1,377,possible,possible,可能的,ADJ,english/A1.csv
en,A1,378,power,power,力量,NOUN,english/A1.csv
en,A1,379,pretty,pretty,漂亮的,ADJ,english/A1.csv
en,A1,380,probably,probably,大概,ADV,english/A1.csv
en,A1,381,problem,problem,问题,NOUN,english/A1.csv
en,A1,382,promise,promise,承诺,NOUN,english/A1.csv
en,A1,383,protect,protect,保护,VERB,english/A1.csv
en,A1,384,proud,proud,自豪的,ADJ,english/A1.csv
en,A1,385,pull,pull,拉,VERB,english/A1.csv
en,A1,386,put,put,放,VERB,english/A1.csv
en,A1,387,question,question,问题,NOUN,english/A1.csv
en,A1,388,quick,quick,快的,ADJ,english/A1.csv
en,A1,389,quiet,quiet,安静的,ADJ,english/A1.csv
en,A1,390,quite,quite,非常,ADV,english/A1.csv
en,A1,391,rather,rather,相当,ADV,english/A1.csv
en,A1,392,read,read,阅读,VERB,english/A1.csv
en,A1,393,ready,ready,准备好的,ADJ,english/A1.csv
en,A1,394,real,real,真实的,ADJ,english/A1.csv
en,A1,395,really,really,真正地,ADV,english/A1.csv
en,A1,396,reason,reason,理由,NOUN,english/A1.csv
en,A1,397,red,red,红色,ADJ,english/A1.csv
en,A1,398,relationship,relationship,关系,NOUN,english/A1.csv
en,A1,399,release,release,释放,VERB,english/A1.csv
en,A1,400,remember,remember,记得,VERB,english/A1.csv
en,A1,401,report,report,报告,NOUN,english/A1.csv
en,A1,402,rest,rest,休息,NOUN,english/A1.csv
en,A1,403,return,return,返回,VERB,english/A1.csv
en,A1,404,ride,ride,骑,VERB,english/A1.csv
en,A1,405,right,right,正确的,ADJ,english/A1.csv
en,A1,406,road,road,道路,NOUN,english/A1.csv
en,A1,407,room,room,房间,NOUN,english/A1.csv
en,A1,408,round,round,圆的,ADJ,english/A1.csv
en,A1,409,run,run,跑,VERB,english/A1.csv
en,A1,410,safe,safe,安全的,ADJ,english/A1.csv
en,A1,411,same,same,相同的,ADJ,english/A1.csv
en,A1,412,save,save,节省,VERB,english/A1.csv
en,A1,413,say,say,说,VERB,english/A1.csv
en,A1,414,scared,scared,害怕的,ADJ,english/A1.csv
en,A1,415,school,school,学校,NOUN,english/A1.csv
en,A1,416,second,second,第二,ADJ,english/A1.csv
en,A1,417,security,security,安全,NOUN,english/A1.csv
en,A1,418,see,see,看见,VERB,english/A1.csv
en,A1,419,seem,seem,似乎,VERB,english/A1.csv
en,A1,420,sell,sell,卖,VERB,english/A1.csv
en,A1,421,send,send,发送,VERB,english/A1.csv
en,A1,422,sense,sense,感觉,NOUN,english/A1.csv
en,A1,423,serious,serious,严肃的,ADJ,english/A1.csv
en,A1,424,set,set,设置,VERB,english/A1.csv
en,A1,425,sex,sex,性别,NOUN,english/A1.csv
en,A1,426,she,she,她,PRON,english/A1.csv
en,A1,427,ship,ship,船,NOUN,english/A1.csv
en,A1,428,shoot,shoot,射击,VERB,english/A1.csv
en,A1,429,shot,shot,射击,NOUN,english/A1.csv
en,A1,430,should,should,应该,AUX,english/A1.csv
en,A1,431,show,show,展示,VERB,english/A1.csv
en,A1,432,shut,shut,关闭,VERB,english/A1.csv
en,A1,433,sick,sick,生病的,ADJ,english/A1.csv
en,A1,434,side,side,侧面,NOUN,english/A1.csv
en,A1,435,sign,sign,标志,NOUN,english/A1.csv
en,A1,436,since,since,自从,ADP,english/A1.csv
en,A1,437,single,single,单一的,ADJ,english/A1.csv
en,A1,438,sir,sir,先生,NOUN,english/A1.csv
en,A1,439,sister,sister,姐妹,NOUN,english/A1.csv
en,A1,440,sit,sit,坐,VERB,english/A1.csv
en,A1,441,situation,situation,情况,NOUN,english/A1.csv
en,A1,442,six,six,六,NUM,english/A1.csv
en,A1,443,sleep,sleep,睡眠,NOUN,english/A1.csv
en,A1,444,small,small,小的,ADJ,english/A1.csv
en,A1,445,so,so,所以,ADV,english/A1.csv
en,A1,446,some,some,一些,DET,english/A1.csv
en,A1,447,somebody,somebody,某人,PRON,english/A1.csv
en,A1,448,someone,someone,某人,PRON,english/A1.csv
en,A1,449,something,something,某事,PRON,english/A1.csv
en,A1,450,sometimes,sometimes,有时,ADV,english/A1.csv
en,A1,451,somewhere,somewhere,某处,ADV,english/A1.csv
en,A1,452,son,son,儿子,NOUN,english/A1.csv
en,A1,453,song,song,歌曲,NOUN,english/A1.csv
en,A1,454,soon,soon,很快,ADV,english/A1.csv
en,A1,455,sorry,sorry,抱歉,ADJ,english/A1.csv
en,A1,456,sort,sort,种类,NOUN,english/A1.csv
en,A1,457,sound,sound,声音,NOUN,english/A1.csv
en,A1,458,space,space,空间,NOUN,english/A1.csv
en,A1,459,speak,speak,说话,VERB,english/A1.csv
en,A1,460,special,special,特别的,ADJ,english/A1.csv
en,A1,461,spend,spend,花费,VERB,english/A1.csv
en,A1,462,stand,stand,站立,VERB,english/A1.csv
en,A1,463,start,start,开始,NOUN,english/A1.csv
en,A1,464,state,state,国家,NOUN,english/A1.csv
en,A1,465,stay,stay,停留,VERB,english/A1.csv
en,A1,466,step,step,步骤,NOUN,english/A1.csv
en,A1,467,still,still,仍然,ADV,english/A1.csv
en,A1,468,stop,stop,停止,VERB,english/A1.csv
en,A1,469,story,story,故事,NOUN,english/A1.csv
en,A1,470,straight,straight,笔直的,ADJ,english/A1.csv
en,A1,471,strange,strange,奇怪的,ADJ,english/A1.csv
en,A1,472,street,street,街道,NOUN,english/A1.csv
en,A1,473,strong,strong,强壮的,ADJ,english/A1.csv
en,A1,474,stuff,stuff,东西,NOUN,english/A1.csv
en,A1,475,stupid,stupid,愚蠢的,ADJ,english/A1.csv
en,A1,476,such,such,如此,DET,english/A1.csv
en,A1,477,sure,sure,确定的,ADJ,english/A1.csv
en,A1,478,swear,swear,发誓,VERB,english/A1.csv
en,A1,479,sweet,sweet,甜的,ADJ,english/A1.csv
en,A1,480,system,system,系统,NOUN,english/A1.csv
en,A1,481,table,table,桌子,NOUN,english/A1.csv
en,A1,482,take,take,拿,VERB,english/A1.csv
en,A1,483,talk,talk,谈话,NOUN,english/A1.csv
en,A1,484,team,team,团队,NOUN,english/A1.csv
en,A1,485,tell,tell,告诉,VERB,english/A1.csv
en,A1,486,ten,ten,十,NUM,english/A1.csv
en,A1,487,terrible,terrible,可怕的,ADJ,english/A1.csv
en,A1,488,test,test,测试,NOUN,english/A1.csv
en,A1,489,than,than,比,ADP,english/A1.csv
en,A1,490,thanks,thanks,谢谢,NOUN,english/A1.csv
en,A1,491,that,that,那个,PRON,english/A1.csv
en,A1,492,the,the,这,DET,english/A1.csv
en,A1,493,their,their,他们的,PRON,english/A1.csv
en,A1,494,them,them,他们,PRON,english/A1.csv
