Arabic_Lemma,English_Lemma,Chinese_Lemma,POS
حدش,eleven,十一,NUM
حدود,borders,边界,NOUN
حدودية,border,边界的,ADJ
حديقة,garden,花园,NOUN
حر,free,自由的,ADJ
حرب,war,战争,NOUN
حرق,burning,燃烧,NOUN
حزن,sadness,悲伤,NOUN
حس,sense,感觉,NOUN
حط,put,放置,VERB
حفرة,hole,洞,NOUN
حق,right,权利,NOUN
حقيبة,bag,包,NOUN
حكومة,government,政府,NOUN
حل,solve,解决,VERB
حلم,dream,梦,NOUN
حلو,sweet,甜的,ADJ
حلوى,sweets,糖果,NOUN
حليب,milk,牛奶,NOUN
حمار,donkey,驴,NOUN
حمامة,pigeon,鸽子,NOUN
أحمر,red,红色的,ADJ
نحن,we,我们,PRON
حوت,whale,鲸鱼,NOUN
خاتم,ring,戒指,NOUN
خاف,fear,害怕,VERB
خال,maternal uncle,舅舅,NOUN
خالة,maternal aunt,姨妈,NOUN
خاوي,empty,空的,ADJ
خباز,baker,面包师,NOUN
خبز,bread,面包,NOUN
أخذ,take,拿,VERB
خضر,green,绿色的,ADJ
خدم,work,工作,VERB
خرج,exit,出去,VERB
خروف,sheep,绵羊,NOUN
خسر,lose,失去,VERB
خفيف,light,轻的,ADJ
خلى,leave,离开,VERB
خمسة,five,五,NUM
خمسون,fifty,五十,NUM
أخ,brother,兄弟,NOUN
خواف,cowardly,胆小的,ADJ
خوخ,peach,桃子,NOUN
خياط,tailor,裁缝,NOUN
خيط,thread,线,NOUN
الآن,now,现在,ADV
داخل,inside,里面,ADP
دار,house,房子,NOUN
ذاق,taste,品尝,VERB
ذبابة,fly,苍蝇,NOUN
دجاج,chicken,鸡,NOUN
دجاجة,hen,母鸡,NOUN
دخل,enter,进入,VERB
درهم,dirham,迪拉姆,NOUN
طفل,child,孩子,NOUN
بسرعة,quickly,快速地,ADV
دفع,push,推,VERB
دقيقة,minute,分钟,NOUN
بطيخ,watermelon,西瓜,NOUN
دم,blood,血,NOUN
تكلم,speak,说话,VERB
مر,pass,经过,VERB
ذئب,wolf,狼,NOUN
فاكهة,fruit,水果,NOUN
دائماً,always,总是,ADV
ذهبي,golden,金色的,ADJ
رئيس,president,总统,NOUN
رجل,man,男人,NOUN
رأس,head,头,NOUN
ربح,win,赢,VERB
أربعة,four,四,NUM
أربعون,forty,四十,NUM
رَجَعَ,to return,返回,VERB
رَجُل,man,男人,NOUN
رِحْلَة,journey,旅行,NOUN
رَخِيص,cheap,便宜的,ADJ
رَسَمَ,to draw,画,VERB
رَطْب,moist,潮湿的,ADJ
رَعْد,thunder,雷,NOUN
رَقِيق,thin,薄的,ADJ
رَكِبَ,to ride,骑,VERB
رُكْبَة,knee,膝盖,NOUN
رَمَادِيّ,gray,灰色的,ADJ
رَمْل,sand,沙子,NOUN
أَرُزّ,rice,米饭,NOUN
رِئَة,lung,肺,NOUN
مَطْعَم,restaurant,餐厅,NOUN
زُبْدَة,butter,黄油,NOUN
زَرِيبَة,carpet,地毯,NOUN
أَزْرَق,blue,蓝色的,ADJ
زُقَاق,alley,小巷,NOUN
جَمِيل,beautiful,美丽的,ADJ
زَيْت,oil,油,NOUN
سَائِح,tourist,游客,NOUN
سَاعَة,hour,小时,NOUN
سَهْل,easy,容易的,ADJ
أَسَد,lion,狮子,NOUN
سَبْعَة,seven,七,NUM
سَبْعِين,seventy,七十,NUM
مُسْتَشْفَى,hospital,医院,NOUN
سِتَّة,six,六,NUM
قَلَم,pen,钢笔,NOUN
سِتِّين,sixty,六十,NUM
سَحَاب,cloud,云,NOUN
ساخن,hot,热的,ADJ
سد,close,关闭,VERB
سروال,pants/trousers,裤子,NOUN
سريع,fast/quick,快的,ADJ
سطل,bucket,桶,NOUN
سفارة,embassy,大使馆,NOUN
سفر,travel,旅行,NOUN
سكت,be quiet,安静,VERB
ساكت,silent/quiet,安静的,ADJ
سكر,sugar,糖,NOUN
سلا,finish/end,结束,VERB
سلاح,weapon/arms,武器,NOUN
سلام,hello/peace,你好/和平,NOUN
سلسلة,necklace/chain,项链/链,NOUN
سلم,peace,和平,NOUN
سماء,sky,天空,NOUN
سمع,hear,听见,VERB
أسنان,teeth,牙齿,NOUN
سحاب,zipper,拉链,NOUN
سوق,market,市场,NOUN
سأل,ask,询问,VERB
سياحة,tourism,旅游,NOUN
أسبوع,week,周,NOUN
سينما,cinema,电影院,NOUN
شاحن,charger,充电器,NOUN
شاف,see,看见,VERB
شال,scarf/shawl,围巾,NOUN
شتاء,winter,冬天,NOUN
شجاع,brave,勇敢的,ADJ
شجرة,tree,树,NOUN
كم,how much,多少,PRON
شد,hold/catch,抓住,VERB
شرا,buy,购买,VERB
شرب,drink,喝,VERB
نافذة,window,窗户,NOUN
كنس,sweep,打扫,VERB
رقص,dance,跳舞,VERB
شعب,people/nation,人民/民族,NOUN
شعر,hair,头发,NOUN
أضاء,light up/turn on,点亮/打开,VERB
شكر,thank,感谢,VERB
شكرا,thank you,谢谢,INTJ
من,who,谁,PRON
شم,smell,闻,VERB
شمس,sun,太阳,NOUN
ما,what,什么,PRON
شهر,month,月份,NOUN
قليلا,a little,一点,ADV
عجوز,old (people),老的,ADJ
سائق,driver,司机,NOUN
صابون,soap,肥皂,NOUN
صاحب,friend (male),朋友 (男),NOUN
صاحبة,friend (female),朋友 (女),NOUN
كاف,enough/okay,足够/好的,ADJ
صباح,morning,早晨,NOUN
حذاء,shoes,鞋子,NOUN
صبر,be patient,耐心,VERB
إصبع,finger/toe,手指/脚趾,NOUN
صبغ,paint/dye,涂/染,VERB
غسل,wash clothes,洗衣服,VERB
صحيح,healthy/correct/strong,健康的/正确的/强壮的,ADJ
صخرة,rock/cliff,岩石/悬崖,NOUN
صدر,chest,胸部,NOUN
صرف,exchange (money),兑换,NOUN
صعب,difficult,困难的,ADJ
صغير,small,小的,ADJ
صندل,sandal,凉鞋,NOUN
حر,heat,热,NOUN
أريكة,sofa,沙发,NOUN
تنورة,skirt,裙子,NOUN
أرسل,send,发送,VERB
ضحك,laugh,笑,VERB
ضعيف,weak,弱的,ADJ
ضيف,guest,客人,NOUN
ضيق,narrow,窄的,ADJ
طبخ,cook,烹饪,VERB
طاولة,table,桌子,NOUN
سقط,fall,掉落,VERB
طار,fly,飞,VERB
قبعة,cap,帽子,NOUN
تاكسي,taxi,出租车,NOUN
طالب,student,学生,NOUN
طيب,good/cooked,好的/熟的,ADJ
طباخ,cook,厨师,NOUN
صحن,plate,盘子,NOUN
طبيب,doctor,医生,NOUN
طحن,grind,磨,VERB
طري,fresh/soft,新鲜的/软的,ADJ
طريق,road,路,NOUN
أطفأ,extinguish,熄灭,VERB
طلب,request,请求,VERB
طلع,go up,上去,VERB
سيارة,car,汽车,NOUN
طويل,long,长的,ADJ
طائرة,airplane,飞机,NOUN
طبخ,cooking,烹饪,NOUN
طائر,bird,鸟,NOUN
ظفر,nail,指甲,NOUN
ظهر,back,背,NOUN
عائلة,family,家庭,NOUN
عاش,live,生活,VERB
عام,year,年,NOUN
عامر,full,拥挤的,ADJ
ساعد,help,帮助,VERB
عجن,knead,揉面,VERB
عدل,justice,正义,NOUN
عرف,know,知道,VERB
ريف,countryside,乡村,NOUN
عريض,wide,宽的,ADJ
عسكر,army,军队,NOUN
عسل,honey,蜂蜜,NOUN
عشاء,dinner,晚餐,NOUN
عشرة,ten,十,NUM
عشرون,twenty,二十,NUM
عشب,grass,草,NOUN
مساء,evening,晚上,NOUN
عصير,juice,果汁,NOUN
أعطى,give,给,VERB
عظم,bone,骨头,NOUN
تفضل,please,请,VERB
عقرب,scorpion,蝎子,NOUN
لماذا,why,为什么,ADV
علم,flag,旗帜,NOUN
عم,uncle,叔叔,NOUN
عمة,aunt,阿姨,NOUN
عنب,grapes,葡萄,NOUN
معوج,crooked,弯曲的,ADJ
حصان,horse,马,NOUN
متعب,tired,累的,ADJ
نادى,call,呼叫,VERB
عين,eye,眼睛,NOUN
غابة,forest,森林,NOUN
غالي,expensive,昂贵的,ADJ
غدًا,tomorrow,明天,ADV
غداء,lunch,午餐,NOUN
غطاء,blanket,毯子,NOUN
غليظ,thick,厚的,ADJ
غنى,sing,唱歌,VERB
صاح,shout,呼喊,VERB
فأر,mouse,老鼠,NOUN
مبلل,wet,湿的,ADJ
استيقظ,wake up,醒来,VERB
ماضي,past,过去,NOUN
فرن,oven,烤箱,NOUN
فرح,rejoice,高兴,VERB
سعيد,happy,快乐的,ADJ
جبن,cheese,奶酪,NOUN
ديك,rooster,公鸡,NOUN
فراولة,strawberry,草莓,NOUN
مجمد,freezer,冰柜,NOUN
فطور,breakfast,早餐,NOUN
فكر,think,思考,VERB
فلاح,farmer,农民,NOUN
نقود,money,钱,NOUN
فهم,understand,理解,VERB
منشفة,towel,毛巾,NOUN
فوق,above,在...上面,ADP
سترة,jacket,夹克,NOUN
أين,where,哪里,ADV
قاس,measure,测量,VERB
قاسٍ,hard,坚硬的,ADJ
قَاضٍ,judge,法官,NOUN
قَالَ,say,说,VERB
قَانُون,law,法律,NOUN
قَبْلَ,before,在...之前,ADP
قَدِيم,old,旧的,ADJ
قَرَأَ,read,读,VERB
قِرْد,monkey,猴子,NOUN
قَرِيب,near,近的,ADJ
قَصِير,short,短的,ADJ
قَطَعَ,cut,切,VERB
قَفْطَان,caftan,长袍,NOUN
قَلْب,heart,心,NOUN
قَمَر,moon,月亮,NOUN
قَمِيص,shirt,衬衫,NOUN
قُنْصُلِيَّة,consulate,领事馆,NOUN
قَهْوَة,coffee,咖啡,NOUN
قَهْوِيّ,brown,棕色的,ADJ
كَاتِب,writer,作家,NOUN
كَأْس,glass,玻璃杯,NOUN
كَبَّ,pour,倒,VERB
كَبُرَ,grow,长大,VERB
كَبِير,big,大的,ADJ
كِتَاب,book,书,NOUN
كَتَبَ,write,写,VERB
كَتِف,shoulder,肩膀,NOUN
كُحْل,kohl,眼线粉,NOUN
كُرْسِيّ,chair,椅子,NOUN
كَرْش,belly,肚子,NOUN
كُسْكُس,couscous,古斯古斯,NOUN
كِسْوَة,clothing,衣服,NOUN
كِلَا,both,两者,DET
كَلْب,dog,狗,NOUN
كُوَافِير,hairdresser,理发师,NOUN
كُورْجِيت,zucchini,西葫芦,NOUN
مطبخ,kitchen,厨房,NOUN
حافلة,bus,公共汽车,NOUN
كيف,how,如何,ADV
لا,no,不,PART
لاجئ,refugee,难民,NOUN
أمس,yesterday,昨天,NOUN
لحم,meat,肉,NOUN
لحية,beard,胡须,NOUN
لسان,tongue,舌头,NOUN
لعب,play,玩,VERB
لمن,to whom,对谁,PRON
هناك,there,那里,ADV
فاصوليا,beans,豆子,NOUN
خلف,behind,在...后面,ADP
ليل,night,夜晚,NOUN
ليمون,lemon,柠檬,NOUN
برتقالي,orange (color),橙色的,ADJ
اليوم,today,今天,NOUN
ماء,water,水,NOUN
مات,die,死,VERB
طعام,food,食物,NOUN
مالح,salty,咸的,ADJ
أم,mother,母亲,NOUN
محامي,lawyer,律师,NOUN
محطة,station,车站,NOUN
محفظة,wallet,钱包,NOUN
محكمة,court,法院,NOUN
مفتوح,open,开着的,ADJ
فوضوي,messy,凌乱的,ADJ
مدرسة,school,学校,NOUN
مدير,director,主任,NOUN
مدينة,city,城市,NOUN
مُرّ,bitter,苦的,ADJ
مَرْأَة,woman,女人,NOUN
مِرْآة,mirror,镜子,NOUN
مَرْحَبًا,welcome,欢迎,INTJ
مَرْضِيّ,satisfied,满意的,ADJ
مَرِيض,sick,生病的,ADJ
مَسْخُوط,cursed,被诅咒的,ADJ
مَسْدُود,blocked,堵塞的,ADJ
مُسَمَّن,msemmen,摩洛哥煎饼,NOUN
مَسُوس,tasteless,无味的,ADJ
قِطّ,cat,猫,NOUN
مَشَى,walk,走,VERB
مَطَار,airport,机场,NOUN
طَمَاطِم,tomato,番茄,NOUN
مِظَلّة,umbrella,雨伞,NOUN
مَاعِز,goat,山羊,NOUN
مُعَطَّل,broken,坏的,ADJ
مِلْعَقَة,spoon,勺子,NOUN
مُعَلِّم,teacher,老师,NOUN
مُنَظَّم,organized,有条理的,ADJ
قِدْر,kettle,水壶,NOUN
مَكْرُونَة,pasta,意大利面,NOUN
مَقْلَاة,frying pan,煎锅,NOUN
مَقْلُوق,worried,担心的,ADJ
مَكْتَب,office,办公室,NOUN
مَكْتَبَة,library,图书馆,NOUN
مَاكِنَة,machine,机器,NOUN
مِلْح,salt,盐,NOUN
مَلِك,king,国王,NOUN
مِلْيُون,million,百万,NUM
مَمْلُوك,owned,被拥有的,ADJ
مُوَاطِن,citizen,公民,NOUN
سكين,knife,刀,NOUN
وسخ,dirt,污垢,NOUN
مئة,hundred,百,NUM
ميكانيكي,mechanic,机械师,NOUN
ميناء,port/harbor,港口,NOUN
ناس,people,人们,NOUN
ناشف,dry,干的,ADJ
ناموسية,mosquito net,蚊帐,NOUN
أنت,you (masculine),你,PRON
أنتم,you (plural),你们,PRON
أنتِ,you (feminine),你,PRON
نجار,carpenter,木匠,NOUN
نحلة,bee,蜜蜂,NOUN
نزل,descend/go down,下降,VERB
نسى,forget,忘记,VERB
نشيد,anthem/song,赞歌/歌曲,NOUN
نظارات,glasses/spectacles,眼镜,NOUN
نعس,sleep,打瞌睡,VERB
نعم,yes,是,INTJ
نقي,clean/pure,纯净的,ADJ
نملة,ant,蚂蚁,NOUN
نهار,day,白天,NOUN
مستقيم,straight/direct,直的,ADJ
أنف,nose,鼻子,NOUN
هؤلاء,these,这些,PRON
هذه,this (feminine),这个,DET
هانئة,fine/no problem,好的/没问题,ADJ
ذلك,that (masculine),那个,DET
أولئك,those,那些,PRON
تلك,that (feminine),那个,DET
هذا,this (masculine),这个,DET
هرب,run away/fled,逃跑,VERB
هز,shake,摇动,VERB
هما,they (two),他俩,PRON
هنا,here,这里,ADV
هو,he,他,PRON
هواء,air,空气,NOUN
هي,she,她,PRON
واحد,one,一,NUM
واد,valley,山谷,NOUN
واسع,wide,宽阔的,ADJ
وجه,face,脸,NOUN
أذن,ear,耳朵,NOUN
ورد,rose,玫瑰,NOUN
وردي,pink,粉色的,ADJ
ورق,paper,纸,NOUN
ورقة,paper,纸,NOUN
وزير,minister,部长,NOUN
وسادة,pillow,枕头,NOUN
وقف,stop,停止,VERB
ولد,boy,男孩,NOUN
يد,hand,手,NOUN
يوم,day,天,NOUN
فم,mouth,嘴,NOUN
اثنان,two,二,NUM
ثلاثة,three,三,NUM
ثلاثون,thirty,三十,NUM
جائع,hungry,饥饿的,ADJ
عطشان,thirsty,口渴的,ADJ
بخير,fine / well,很好,ADJ
