Arabic_Lemma,English_Lemma,Chinese_Lemma,POS,CEFR
قتيل,victim,死者,NOUN,B1
هادى,gift,赠礼,VERB,B2
شارب,mustache,胡须,NOUN,A2
قرعي,gourd,葫芦科的,ADJ,C1
زاني,adulterer,通奸者,NOUN,B2
تقول,fabricate,捏造,VERB,C1
غائب,absent,缺席的,ADJ,B1
أويل,woe,悲叹,NOUN,C1
حشيم,modest,谦虚的,ADJ,B2
رجيم,accursed,受诅咒的,ADJ,B2
صواب,correctness,正确,NOUN,B1
مشية,gait,步态,NOUN,B2
ربقة,bond,束缚,NOUN,C1
شابة,young woman,年轻女子,NOUN,A2
تبنى,adopt,领养,VERB,B1
أنجى,rescue,拯救,VERB,B1
ترحم,pity,怜悯,VERB,B2
أنمر,dappled,斑驳的,ADJ,C1
صعيد,level,层面,NOUN,B2
معين,helper,助手,NOUN,B1
كفاح,struggle,斗争,NOUN,B1
مرحب,welcoming,欢迎的,ADJ,B1
