German_Lemma,Spanish_Translation,Source
kleine,,Frequency (Subtitle)
letzte,,Frequency (Subtitle)
freunde,,Frequency (Subtitle)
all,,Frequency (Subtitle)
töten,,Frequency (Subtitle)
dinge,,Frequency (Subtitle)
meinst,,Frequency (Subtitle)
eins,,Frequency (Subtitle)
minuten,,Frequency (Subtitle)
vielen,,Frequency (Subtitle)
seiner,,Frequency (Subtitle)
jungs,,Frequency (Subtitle)
eure,,Frequency (Subtitle)
augen,,Frequency (Subtitle)
hätten,,Frequency (Subtitle)
kenne,,Frequency (Subtitle)
runter,,Frequency (Subtitle)
gerne,,Frequency (Subtitle)
wurden,,Frequency (Subtitle)
mom,,Frequency (Subtitle)
verrückt,,Frequency (Subtitle)
neue,,Frequency (Subtitle)
ging,,Frequency (Subtitle)
sorgen,,Frequency (Subtitle)
einzige,,Frequency (Subtitle)
jemanden,,Frequency (Subtitle)
braucht,,Frequency (Subtitle)
sah,,Frequency (Subtitle)
ganzen,,Frequency (Subtitle)
ziemlich,,Frequency (Subtitle)
solltest,,Frequency (Subtitle)
frauen,,Frequency (Subtitle)
liegt,,Frequency (Subtitle)
finde,,Frequency (Subtitle)
je,,Frequency (Subtitle)
keiner,,Frequency (Subtitle)
seinem,,Frequency (Subtitle)
hört,,Frequency (Subtitle)
überhaupt,,Frequency (Subtitle)
teufel,,Frequency (Subtitle)
verstanden,,Frequency (Subtitle)
verloren,,Frequency (Subtitle)
große,,Frequency (Subtitle)
kommst,,Frequency (Subtitle)
mama,,Frequency (Subtitle)
gewesen,,Frequency (Subtitle)
stunden,,Frequency (Subtitle)
hoffe,,Frequency (Subtitle)
denkst,,Frequency (Subtitle)
letzten,,Frequency (Subtitle)
he,,Frequency (Subtitle)
nimm,,Frequency (Subtitle)
erzählt,,Frequency (Subtitle)
läuft,,Frequency (Subtitle)
miss,,Frequency (Subtitle)
musste,,Frequency (Subtitle)
fünf,,Frequency (Subtitle)
lässt,,Frequency (Subtitle)
erste,,Frequency (Subtitle)
versucht,,Frequency (Subtitle)
gekommen,,Frequency (Subtitle)
bedeutet,,Frequency (Subtitle)
bringt,,Frequency (Subtitle)
welche,,Frequency (Subtitle)
bestimmt,,Frequency (Subtitle)
sagst,,Frequency (Subtitle)
schau,,Frequency (Subtitle)
ah,,Frequency (Subtitle)
vier,,Frequency (Subtitle)
getötet,,Frequency (Subtitle)
wollten,,Frequency (Subtitle)
verlassen,,Frequency (Subtitle)
beste,,Frequency (Subtitle)
unserer,,Frequency (Subtitle)
denen,,Frequency (Subtitle)
bleibt,,Frequency (Subtitle)
würdest,,Frequency (Subtitle)
glaubst,,Frequency (Subtitle)
lasst,,Frequency (Subtitle)
nehme,,Frequency (Subtitle)
ersten,,Frequency (Subtitle)
guter,,Frequency (Subtitle)
freundin,,Frequency (Subtitle)
gefällt,,Frequency (Subtitle)
kleinen,,Frequency (Subtitle)
anderes,,Frequency (Subtitle)
tage,,Frequency (Subtitle)
entschuldigen,,Frequency (Subtitle)
gehst,,Frequency (Subtitle)
allen,,Frequency (Subtitle)
sachen,,Frequency (Subtitle)
the,,Frequency (Subtitle)
john,,Frequency (Subtitle)
hättest,,Frequency (Subtitle)
wären,,Frequency (Subtitle)
äh,,Frequency (Subtitle)
tu,,Frequency (Subtitle)
captain,,Frequency (Subtitle)
neuen,,Frequency (Subtitle)
beiden,,Frequency (Subtitle)
kleiner,,Frequency (Subtitle)
gedacht,,Frequency (Subtitle)
tust,,Frequency (Subtitle)
einige,,Frequency (Subtitle)
dies,,Frequency (Subtitle)
unseren,,Frequency (Subtitle)
scheint,,Frequency (Subtitle)
jack,,Frequency (Subtitle)
alte,,Frequency (Subtitle)
bleib,,Frequency (Subtitle)
wen,,Frequency (Subtitle)
reicht,,Frequency (Subtitle)
besten,,Frequency (Subtitle)
klingt,,Frequency (Subtitle)
brauchst,,Frequency (Subtitle)
papa,,Frequency (Subtitle)
sondern,,Frequency (Subtitle)
alten,,Frequency (Subtitle)
früher,,Frequency (Subtitle)
jungen,,Frequency (Subtitle)
jede,,Frequency (Subtitle)
arsch,,Frequency (Subtitle)
tue,,Frequency (Subtitle)
kennst,,Frequency (Subtitle)
großen,,Frequency (Subtitle)
hierher,,Frequency (Subtitle)
wär,,Frequency (Subtitle)
bring,,Frequency (Subtitle)
wollt,,Frequency (Subtitle)
zehn,,Frequency (Subtitle)
allem,,Frequency (Subtitle)
nächste,,Frequency (Subtitle)
hände,,Frequency (Subtitle)
gegeben,,Frequency (Subtitle)
wartet,,Frequency (Subtitle)
sechs,,Frequency (Subtitle)
meines,,Frequency (Subtitle)
nächsten,,Frequency (Subtitle)
gebe,,Frequency (Subtitle)
wochen,,Frequency (Subtitle)
scheiß,,Frequency (Subtitle)
hölle,,Frequency (Subtitle)
trotzdem,,Frequency (Subtitle)
tja,,Frequency (Subtitle)
new,,Frequency (Subtitle)
geworden,,Frequency (Subtitle)
wolltest,,Frequency (Subtitle)
denkt,,Frequency (Subtitle)
neues,,Frequency (Subtitle)
wem,,Frequency (Subtitle)
funktioniert,,Frequency (Subtitle)
hattest,,Frequency (Subtitle)
wow,,Frequency (Subtitle)
hm,,Frequency (Subtitle)
alleine,,Frequency (Subtitle)
völlig,,Frequency (Subtitle)
kleines,,Frequency (Subtitle)
könnt,,Frequency (Subtitle)
kumpel,,Frequency (Subtitle)
probleme,,Frequency (Subtitle)
spricht,,Frequency (Subtitle)
fand,,Frequency (Subtitle)
entschuldige,,Frequency (Subtitle)
könntest,,Frequency (Subtitle)
seht,,Frequency (Subtitle)
eigenen,,Frequency (Subtitle)
richtige,,Frequency (Subtitle)
unserem,,Frequency (Subtitle)
hol,,Frequency (Subtitle)
fühle,,Frequency (Subtitle)
jedes,,Frequency (Subtitle)
verstehst,,Frequency (Subtitle)
versuche,,Frequency (Subtitle)
sam,,Frequency (Subtitle)
lebt,,Frequency (Subtitle)
gutes,,Frequency (Subtitle)
lasse,,Frequency (Subtitle)
gebracht,,Frequency (Subtitle)
spielt,,Frequency (Subtitle)
tagen,,Frequency (Subtitle)
nachdem,,Frequency (Subtitle)
gegangen,,Frequency (Subtitle)
geschafft,,Frequency (Subtitle)
typen,,Frequency (Subtitle)
interessiert,,Frequency (Subtitle)
halte,,Frequency (Subtitle)
hält,,Frequency (Subtitle)
glaub,,Frequency (Subtitle)
kennt,,Frequency (Subtitle)
genommen,,Frequency (Subtitle)
weniger,,Frequency (Subtitle)
cool,,Frequency (Subtitle)
getroffen,,Frequency (Subtitle)
passt,,Frequency (Subtitle)
sagten,,Frequency (Subtitle)
vergiss,,Frequency (Subtitle)
angerufen,,Frequency (Subtitle)
daß,,Frequency (Subtitle)
großer,,Frequency (Subtitle)
gefragt,,Frequency (Subtitle)
solche,,Frequency (Subtitle)
mr,,Frequency (Subtitle)
findet,,Frequency (Subtitle)
gesprochen,,Frequency (Subtitle)
wovon,,Frequency (Subtitle)
sobald,,Frequency (Subtitle)
nochmal,,Frequency (Subtitle)
herren,,Frequency (Subtitle)
sex,,Frequency (Subtitle)
waffen,,Frequency (Subtitle)
bringe,,Frequency (Subtitle)
höre,,Frequency (Subtitle)
millionen,,Frequency (Subtitle)
worden,,Frequency (Subtitle)
verletzt,,Frequency (Subtitle)
ändern,,Frequency (Subtitle)
erfahren,,Frequency (Subtitle)
daddy,,Frequency (Subtitle)
fällt,,Frequency (Subtitle)
möchtest,,Frequency (Subtitle)
leuten,,Frequency (Subtitle)
schöne,,Frequency (Subtitle)
schätze,,Frequency (Subtitle)
länger,,Frequency (Subtitle)
großartig,,Frequency (Subtitle)
lacht,,Frequency (Subtitle)
redest,,Frequency (Subtitle)
erwartet,,Frequency (Subtitle)
boss,,Frequency (Subtitle)
glaubt,,Frequency (Subtitle)
still,,Frequency (Subtitle)
setz,,Frequency (Subtitle)
ma,,Frequency (Subtitle)
kämpfen,,Frequency (Subtitle)
wisst,,Frequency (Subtitle)
hörst,,Frequency (Subtitle)
zeug,,Frequency (Subtitle)
umbringen,,Frequency (Subtitle)
sollst,,Frequency (Subtitle)
hasse,,Frequency (Subtitle)
unglaublich,,Frequency (Subtitle)
wärst,,Frequency (Subtitle)
gestorben,,Frequency (Subtitle)
schauen,,Frequency (Subtitle)
mörder,,Frequency (Subtitle)
frank,,Frequency (Subtitle)
ähm,,Frequency (Subtitle)
idiot,,Frequency (Subtitle)
verzeihung,,Frequency (Subtitle)
zeig,,Frequency (Subtitle)
general,,Frequency (Subtitle)
mike,,Frequency (Subtitle)
aufs,,Frequency (Subtitle)
york,,Frequency (Subtitle)
schluss,,Frequency (Subtitle)
schneller,,Frequency (Subtitle)
liebt,,Frequency (Subtitle)
verdient,,Frequency (Subtitle)
meisten,,Frequency (Subtitle)
denk,,Frequency (Subtitle)
umgebracht,,Frequency (Subtitle)
versprochen,,Frequency (Subtitle)
monate,,Frequency (Subtitle)
erinnere,,Frequency (Subtitle)
acht,,Frequency (Subtitle)
arbeitet,,Frequency (Subtitle)
rufe,,Frequency (Subtitle)
nötig,,Frequency (Subtitle)
tages,,Frequency (Subtitle)
unmöglich,,Frequency (Subtitle)
liebling,,Frequency (Subtitle)
charlie,,Frequency (Subtitle)
arbeite,,Frequency (Subtitle)
joe,,Frequency (Subtitle)
verdammte,,Frequency (Subtitle)
lebens,,Frequency (Subtitle)
hole,,Frequency (Subtitle)
michael,,Frequency (Subtitle)
hörte,,Frequency (Subtitle)
bekommt,,Frequency (Subtitle)
machte,,Frequency (Subtitle)
ha,,Frequency (Subtitle)
hilft,,Frequency (Subtitle)
werdet,,Frequency (Subtitle)
konnten,,Frequency (Subtitle)
geschickt,,Frequency (Subtitle)
jedem,,Frequency (Subtitle)
sieben,,Frequency (Subtitle)
ihres,,Frequency (Subtitle)
bezahlt,,Frequency (Subtitle)
you,,Frequency (Subtitle)
voller,,Frequency (Subtitle)
george,,Frequency (Subtitle)
seien,,Frequency (Subtitle)
starb,,Frequency (Subtitle)
tom,,Frequency (Subtitle)
monaten,,Frequency (Subtitle)
leiche,,Frequency (Subtitle)
niemanden,,Frequency (Subtitle)
arschloch,,Frequency (Subtitle)
peter,,Frequency (Subtitle)
zieh,,Frequency (Subtitle)
nimmt,,Frequency (Subtitle)
gerettet,,Frequency (Subtitle)
schlimmer,,Frequency (Subtitle)
regeln,,Frequency (Subtitle)
findest,,Frequency (Subtitle)
absolut,,Frequency (Subtitle)
mary,,Frequency (Subtitle)
rum,,Frequency (Subtitle)
gedanken,,Frequency (Subtitle)
werd,,Frequency (Subtitle)
benutzt,,Frequency (Subtitle)
jemandem,,Frequency (Subtitle)
wünschte,,Frequency (Subtitle)
worte,,Frequency (Subtitle)
kamen,,Frequency (Subtitle)
erinnerst,,Frequency (Subtitle)
fahr,,Frequency (Subtitle)
sitzt,,Frequency (Subtitle)
hilf,,Frequency (Subtitle)
schönen,,Frequency (Subtitle)
monsieur,,Frequency (Subtitle)
müsste,,Frequency (Subtitle)
arme,,Frequency (Subtitle)
fürs,,Frequency (Subtitle)
david,,Frequency (Subtitle)
klappe,,Frequency (Subtitle)
herum,,Frequency (Subtitle)
ließ,,Frequency (Subtitle)
gleiche,,Frequency (Subtitle)
max,,Frequency (Subtitle)
führt,,Frequency (Subtitle)
paris,,Frequency (Subtitle)
wozu,,Frequency (Subtitle)
geschrieben,,Frequency (Subtitle)
informationen,,Frequency (Subtitle)
erledigt,,Frequency (Subtitle)
müsst,,Frequency (Subtitle)
fühlt,,Frequency (Subtitle)
darfst,,Frequency (Subtitle)
zuhause,,Frequency (Subtitle)
hältst,,Frequency (Subtitle)
gewonnen,,Frequency (Subtitle)
irgendwann,,Frequency (Subtitle)
chffffff,,Frequency (Subtitle)
alex,,Frequency (Subtitle)
steckt,,Frequency (Subtitle)
jedenfalls,,Frequency (Subtitle)
schreit,,Frequency (Subtitle)
tolle,,Frequency (Subtitle)
rüber,,Frequency (Subtitle)
nennt,,Frequency (Subtitle)
paul,,Frequency (Subtitle)
irgendetwas,,Frequency (Subtitle)
weile,,Frequency (Subtitle)
sekunden,,Frequency (Subtitle)
wofür,,Frequency (Subtitle)
erzähl,,Frequency (Subtitle)
nen,,Frequency (Subtitle)
beweise,,Frequency (Subtitle)
nahm,,Frequency (Subtitle)
freut,,Frequency (Subtitle)
schießen,,Frequency (Subtitle)
dauert,,Frequency (Subtitle)
magst,,Frequency (Subtitle)
harry,,Frequency (Subtitle)
gelernt,,Frequency (Subtitle)
sucht,,Frequency (Subtitle)
weitere,,Frequency (Subtitle)
lady,,Frequency (Subtitle)
herzen,,Frequency (Subtitle)
wütend,,Frequency (Subtitle)
damen,,Frequency (Subtitle)
darin,,Frequency (Subtitle)
gottes,,Frequency (Subtitle)
holt,,Frequency (Subtitle)
fehlt,,Frequency (Subtitle)
heiße,,Frequency (Subtitle)
gehabt,,Frequency (Subtitle)
zumindest,,Frequency (Subtitle)
vermisst,,Frequency (Subtitle)
hübsch,,Frequency (Subtitle)
kriegt,,Frequency (Subtitle)
stell,,Frequency (Subtitle)
gelesen,,Frequency (Subtitle)
gekauft,,Frequency (Subtitle)
wussten,,Frequency (Subtitle)
gestohlen,,Frequency (Subtitle)
leg,,Frequency (Subtitle)
ben,,Frequency (Subtitle)
verschwunden,,Frequency (Subtitle)
steh,,Frequency (Subtitle)
nächstes,,Frequency (Subtitle)
gearbeitet,,Frequency (Subtitle)
meinte,,Frequency (Subtitle)
gesucht,,Frequency (Subtitle)
süße,,Frequency (Subtitle)
verliebt,,Frequency (Subtitle)
redet,,Frequency (Subtitle)
seltsam,,Frequency (Subtitle)
versteckt,,Frequency (Subtitle)
fürchte,,Frequency (Subtitle)
verschwinde,,Frequency (Subtitle)
erwischt,,Frequency (Subtitle)
verkauft,,Frequency (Subtitle)
vermutlich,,Frequency (Subtitle)
näher,,Frequency (Subtitle)
major,,Frequency (Subtitle)
jung,,Frequency (Subtitle)
majestät,,Frequency (Subtitle)
ans,,Frequency (Subtitle)
de,,Frequency (Subtitle)
and,,Frequency (Subtitle)
großes,,Frequency (Subtitle)
welches,,Frequency (Subtitle)
beschützen,,Frequency (Subtitle)
geboren,,Frequency (Subtitle)
kindern,,Frequency (Subtitle)
verraten,,Frequency (Subtitle)
colonel,,Frequency (Subtitle)
fährt,,Frequency (Subtitle)
zieht,,Frequency (Subtitle)
wette,,Frequency (Subtitle)
fahre,,Frequency (Subtitle)
schwöre,,Frequency (Subtitle)
geredet,,Frequency (Subtitle)
james,,Frequency (Subtitle)
madame,,Frequency (Subtitle)
eigene,,Frequency (Subtitle)
zeiten,,Frequency (Subtitle)
nachrichten,,Frequency (Subtitle)
güte,,Frequency (Subtitle)
euren,,Frequency (Subtitle)
persönlich,,Frequency (Subtitle)
kriege,,Frequency (Subtitle)
stirbt,,Frequency (Subtitle)
bleibe,,Frequency (Subtitle)
verändert,,Frequency (Subtitle)
nämlich,,Frequency (Subtitle)
letztes,,Frequency (Subtitle)
bekam,,Frequency (Subtitle)
ruft,,Frequency (Subtitle)
beschäftigt,,Frequency (Subtitle)
yeah,,Frequency (Subtitle)
toten,,Frequency (Subtitle)
weihnachten,,Frequency (Subtitle)
offensichtlich,,Frequency (Subtitle)
naja,,Frequency (Subtitle)
henry,,Frequency (Subtitle)
gefühle,,Frequency (Subtitle)
show,,Frequency (Subtitle)
fbi,,Frequency (Subtitle)
drogen,,Frequency (Subtitle)
kriegst,,Frequency (Subtitle)
ermordet,,Frequency (Subtitle)
fotos,,Frequency (Subtitle)
entfernt,,Frequency (Subtitle)
geschlafen,,Frequency (Subtitle)
manche,,Frequency (Subtitle)
ran,,Frequency (Subtitle)
schlaf,,Frequency (Subtitle)
wunderschön,,Frequency (Subtitle)
nick,,Frequency (Subtitle)
zerstört,,Frequency (Subtitle)
übrigens,,Frequency (Subtitle)
willen,,Frequency (Subtitle)
heim,,Frequency (Subtitle)
richtigen,,Frequency (Subtitle)
deines,,Frequency (Subtitle)
namens,,Frequency (Subtitle)
zeigt,,Frequency (Subtitle)
geliebt,,Frequency (Subtitle)
brachte,,Frequency (Subtitle)
herrn,,Frequency (Subtitle)
schlechte,,Frequency (Subtitle)
haare,,Frequency (Subtitle)
sagtest,,Frequency (Subtitle)
stecken,,Frequency (Subtitle)
lebe,,Frequency (Subtitle)
miteinander,,Frequency (Subtitle)
meint,,Frequency (Subtitle)
liebst,,Frequency (Subtitle)
indem,,Frequency (Subtitle)
bleibst,,Frequency (Subtitle)
kümmere,,Frequency (Subtitle)
weder,,Frequency (Subtitle)
möglichkeit,,Frequency (Subtitle)
bekomme,,Frequency (Subtitle)
zweite,,Frequency (Subtitle)
jim,,Frequency (Subtitle)
entweder,,Frequency (Subtitle)
weiss,,Frequency (Subtitle)
don,,Frequency (Subtitle)
detective,,Frequency (Subtitle)
stellt,,Frequency (Subtitle)
verspreche,,Frequency (Subtitle)
überrascht,,Frequency (Subtitle)
hau,,Frequency (Subtitle)
mark,,Frequency (Subtitle)
schlag,,Frequency (Subtitle)
sheriff,,Frequency (Subtitle)
untertitel,,Frequency (Subtitle)
setzt,,Frequency (Subtitle)
frag,,Frequency (Subtitle)
vaters,,Frequency (Subtitle)
verstecken,,Frequency (Subtitle)
schuldig,,Frequency (Subtitle)
schützen,,Frequency (Subtitle)
of,,Frequency (Subtitle)
überleben,,Frequency (Subtitle)
zeichen,,Frequency (Subtitle)
richter,,Frequency (Subtitle)
besorgt,,Frequency (Subtitle)
lief,,Frequency (Subtitle)
vergnügen,,Frequency (Subtitle)
wüsste,,Frequency (Subtitle)
lhr,,Frequency (Subtitle)
herausfinden,,Frequency (Subtitle)
königin,,Frequency (Subtitle)
soldaten,,Frequency (Subtitle)
lag,,Frequency (Subtitle)
gelassen,,Frequency (Subtitle)
soweit,,Frequency (Subtitle)
gefahren,,Frequency (Subtitle)
bord,,Frequency (Subtitle)
schönes,,Frequency (Subtitle)
jimmy,,Frequency (Subtitle)
billy,,Frequency (Subtitle)
angefangen,,Frequency (Subtitle)
lee,,Frequency (Subtitle)
fühlst,,Frequency (Subtitle)
bob,,Frequency (Subtitle)
mussten,,Frequency (Subtitle)
worauf,,Frequency (Subtitle)
gebeten,,Frequency (Subtitle)
tony,,Frequency (Subtitle)
lieutenant,,Frequency (Subtitle)
ganzes,,Frequency (Subtitle)
schuhe,,Frequency (Subtitle)
sarah,,Frequency (Subtitle)
niemandem,,Frequency (Subtitle)
gibst,,Frequency (Subtitle)
übernehmen,,Frequency (Subtitle)
al,,Frequency (Subtitle)
la,,Frequency (Subtitle)
nimmst,,Frequency (Subtitle)
danny,,Frequency (Subtitle)
falsche,,Frequency (Subtitle)
verantwortlich,,Frequency (Subtitle)
jesus,,Frequency (Subtitle)
stöhnt,,Frequency (Subtitle)
zerstören,,Frequency (Subtitle)
jawohl,,Frequency (Subtitle)
london,,Frequency (Subtitle)
gegessen,,Frequency (Subtitle)
geholfen,,Frequency (Subtitle)
erster,,Frequency (Subtitle)
wohnt,,Frequency (Subtitle)
guck,,Frequency (Subtitle)
nahe,,Frequency (Subtitle)
aussieht,,Frequency (Subtitle)
dachten,,Frequency (Subtitle)
ungefähr,,Frequency (Subtitle)
neun,,Frequency (Subtitle)
zuvor,,Frequency (Subtitle)
charles,,Frequency (Subtitle)
freue,,Frequency (Subtitle)
amerika,,Frequency (Subtitle)
spur,,Frequency (Subtitle)
falschen,,Frequency (Subtitle)
sergeant,,Frequency (Subtitle)
melden,,Frequency (Subtitle)
helfe,,Frequency (Subtitle)
werfen,,Frequency (Subtitle)
bill,,Frequency (Subtitle)
haltet,,Frequency (Subtitle)
erinnert,,Frequency (Subtitle)
hängt,,Frequency (Subtitle)
erschossen,,Frequency (Subtitle)
verzeihen,,Frequency (Subtitle)
uh,,Frequency (Subtitle)
monster,,Frequency (Subtitle)
entschieden,,Frequency (Subtitle)
mission,,Frequency (Subtitle)
verdammten,,Frequency (Subtitle)
gewusst,,Frequency (Subtitle)
vorne,,Frequency (Subtitle)
