German_Lemma,Spanish_Translation
Asthma,asma
astronaut,astronauta
Atombombe,bomba atómica
attraktiv,atractivo
au,ay
aua,au
aufbewahrt,guardado
aufbrechen,partir/forzar
auferstehung,resurrección
auffuehrung,representación
Aufgabe,tarea/misión
aufgaben,tareas
aufgefallen,llamado la atención
aufgefunden,encontrado
aufgegeben,rendido/abandonado
aufgehen,abrirse/salir (sol)
aufgehoben,guardado/anulado
aufgelegt,colgado (teléfono)
aufgepasst,tenido cuidado
aufgeregt,emocionado
aufgestellt,colocado/establecido
aufgetaucht,aparecido
aufgewacht,despertado
aufgrund,debido a
aufnahmen,grabaciones
aufrichtig,sincero
aufsetzen,ponerse (gafas/sombrero)
Aufsicht,supervisión
aufstand,levantamiento/rebelión
aufstellen,colocar/instalar
aufsuchen,buscar/visitar
auftauchen,aparecer
aufwärts,hacia arriba
aufzeichnungen,registros/grabaciones
aufzubauen,construir
aufzunehmen,grabar/acoger
aufzustehen,levantarse
ausbrechen,fugarse/estallar
ausfindig,localizar (hacer)
Ausflug,excursión
ausführen,ejecutar/llevar a cabo
ausgebildet,formado/entrenado
ausgebrochen,escapado/estallado
ausgedacht,inventado
ausgefallen,cancelado/fallado
ausgegangen,salido/agotado
ausgegeben,gastado
ausgegraben,exhumado/desenterrado
ausgeht,sale/apaga
ausgeloescht,borra/apaga
ausgenutzt,aprovechado/explotado
ausgerechnet,precisamente
ausgeschaltet,apagado/eliminado
ausgesetzt,expuesto/suspendido
ausgesprochen,pronunciado
ausgesucht,elegido
ausgezeichnet,excelente
ausgezeichneter,excelente
ausgezogen,mudado/desnudado
ausgleichen,equilibrar
auslassen,omitir/perderse
ausleihen,tomar prestado
ausliefern,entregar
ausloten,sondear
ausmacht,importa/apaga
Ausnahme,excepción
ausnutzen,aprovechar/explotar
ausprobieren,probar
aussah,parecía
ausschau,mirada/vistazo
aussehe,veo (apariencia)
außerdem,además
ausstehen,soportar
Ausweg,salida
ausweise,blanca
auswerten,evaluar
auswirkungen,consecuencias/efectos
auszeit,tiempo muerto/descanso
auszugehen,salir
auszusehen,parecer
Auto,coche
automobil,automóvil
autopsie,autopsia
Autor,autor
autounfall,accidente de coche
außerirdischen,extraterrestres
axt,hacha
aß,comió
babe,cariño/nena
babys,bebés
badezimmer,cuarto de baño
baer,oso
bahnen,escenario
Balance,equilibrio
Balkon,balcón
Ballett,ballet
ballons,globos
banden,bandas
banditen,bandidos
banken,bancos
Bankrott,bancarrota
barbier,barbero
barfuß,descalzo
barkeeper,camarero (bar)
barmherzigkeit,misericordia
basiert,basado
bass,bajo (instrumento)
bastard,bastardo
batterien,pilas
baue,construyo
bauern,campesinos
baust,construyes
baut,construye
beamen,teletransportar
beantworte,responde (imperativo)
beantwortet,respondido
beauftragen,encargar
beauftragt,encargado
bedauern,lamentar
bedaure,lamento
bedeckt,cubierto
bedenke,ten en cuenta/considera
bedenken,considerar/dudas
bedeutete,significaba
bedeutungslos,insignificante
bedient,servido
bedingungen,condiciones
bedroht,amenazado
Bedrohung,amenaza
beduerfnisse,necesidades
beeilt,dado prisa
beeilung,prisa
beeinflussen,influir
beende,termino
beendet,terminado
befassen,ocuparse de
befehle,órdenes
befehlen,ordenar
befoerderung,ascenso
befohlen,ordenado
befolgen,obedecer/seguir
befragen,interrogar
befreie,libero
befreundet,amigo de
befriedigen,satisfacer
begangen,cometido
begann,empezó
begannen,empezaron
begeben,dirigirse
begegnung,encuentro
begehen,cometer
beginnt,empieza
begonnen,empezado
begraben,enterrar
begreifen,comprender
begrenzt,limitado
behaelt,conserva/guarda
behalt,quédate (imperativo)
behandelst,tratas
behandle,trato
behauptet,afirmado
beherrschen,dominar
beherrschung,control/dominio
behilflich,útil/servicial
beileid,pésame
beim,en el (bei dem)
beinah,casi
beine,piernas
beinen,piernas
beiseite,aparte
beitragen,contribuir
beißt,muerde
bekamen,recibieron
bekloppt,chiflado
bekomme,recibo
bekommst,recibes
bekommt,recibe
belaestigung,acoso
belasten,cargar/incriminar
belastet,cargado/incriminado
belegen,demostrar/probar
belegt,ocupado/demostrado
bellen,ladrar
belogen,mentido
belohnt,recompensado
bemerkte,notó
bene,bien
benimm,compórtate
benimmt,se comporta
benommen,aturdido
benutze,uso
benutzt,usado
Benzin,gasolina
beobachtet,observado
berater,asesor
berechnet,escenario
berechtigt,justificado/autorizado
bereden,hablar de
bereitet,prepara
bereut,arrepentido
berichte,informes
berlin,Berlín
Berufung,vocación/apelación
beruhige,calma
beruhigt,calmado
bescheiden,mierda
bescheuert,estúpido
beschissen,de mierda
beschissene,mierda de (adjetivo)
beschissenen,de mierda/jodido
beschleunigt,acelera
beschloss,decidió
beschuldigen,acusar
Beschwerde,queja
besessen,poseído
besetzen,ocupar
besiegen,vencer
besiegt,vencido
besitzt,posee
besoffen,borracho
besondere,especial
besonderen,especial
besonderer,especial
besonderes,especial
besorg,consigue
besorge,consigo
Besorgnis,preocupación
besprochen,discutido/hablado
besser,mejor
bessere,mejor
besserer,mejor
besseres,mejor
bestanden,aprobado/existido
beste,mejor
Bestechung,soborno
besteht,existe/consiste
bestellt,pedido
besten,mejores
bester,mejor
bestes,mejor
bestraft,calles
bestreiten,romper/arrancar
bestuerzt,consternado
Besuch,visita
besuche,visito/visitas
besucht,visita
besuchte,visitó
bete,rezo
beteiligt,implicado
beteiligten,implicados/participantes
beten,rezar
betonen,enfatizar
betrachtet,contemplado/considerado
betreten,entrar/pisar
betritt,entra
betrogen,engañado
betrügen,engañar
betteln,mendigar/suplicar
betten,camas
beule,chichón/bollo
beurteilen,juzgar
beute,botín
beutel,bolsa
bevorzuge,prefiero
bevorzugt,prefiere
bewachen,vigilar
bewacht,vigilado
bewaehrungshelfer,agente de la condicional
bewaffnet,armado
bewahrt,guardado/protegido
beweise,blanca
beweist,blanca
bewiesen,demostrado
Bewohner,escenario
bewundern,admirar
bewundert,admirado
bewusstlos,inconsciente
bezahlst,pagas
bezahlt,pagado
bezahlte,pagó
bezahlung,pago
bezaubernd,encantador
beziehungen,relaciones
bezirk,distrito
bezueglich,referente a
bh,sujetador
biber,castor
biegen,doblar
bienen,abejas
biest,bestia
bietet,ofrece
bikini,bikini
bilden,formar
bilder,imágenes/cuadros
bildern,imágenes/cuadros
binden,atar
birgt,alberga/esconde
Birne,pera/bombilla
bischen,poco
bischof,obispo
biss,mordisco
bißchen,poco
blase,vejiga/burbuja
blau,azul
blauen,azules
blauer,azul
bleib,quédate
bleibe,me quedo
blicke,miradas
blickt,mira
blieben,quedaron
bloede,tonta/estúpida
blonde,rubia
blue,azul
blues,blues
blutdruck,presión arterial
blute,sangro
blutgruppe,grupo sanguíneo
blutig,sangriento
boesewicht,villano
Bogen,arco
boote,barcos
bord,bordo
boss,jefe
bot,ofreció
boten,mensajeros/ofrecieron
botschaften,embajadas/mensajes
botschafter,embajador
bowling,bolos
boxen,cajas/boxeo
brach,rompió
brachte,trajo
Brauch,necesidad/costumbre
brauche,necesito
brauchst,necesitas
braucht,necesita
brauchte,necesitaba
brauchten,necesitaban
braun,marrón
braut,novia
brav,bueno/obediente
braves,bueno/obediente
bravo,bravo
breche,rompo
breitet,extiende
brennt,arde
brett,tabla
Briefkasten,buzón
bringe,traigo
bringt,trae
Brot,pan
bruders,del hermano
brueder,hermanos
bruellt,ruge/grita
brunnen,pozo/fuente
Brust,pecho
brutal,brutal
brutale,brutal
Buch,libro
buchstaben,letras
bude,choza/piso (coloquial)
buechern,libros
Bühne,escenario
Bürger,ciudadanos
bulle,poli (coloquial)
bullen,polis (coloquial)
burger,hamburguesa
bursche,chico/muchacho
burschen,muchachos
busch,arbusto
butler,mayordomo
campus,campus
captain,capitán
center,centro
champagner,champán
champion,campeón
chaos,caos
charme,encanto
chemikalien,productos químicos
china,China
chinesen,chinos
chinesisch,chino
chip,chip/ficha
chips,patatas fritas
christus,Cristo
city,ciudad
clever,listo
clown,payaso
clowns,payasos
club,club
college,universidad
colonel,coronel
commander,comandante
coole,guay
cooler,más genial
cops,policías
corporal,cabo
cotton,algodón
coup,golpe
Cousine,prima
cowboy,vaquero
crew,tripulación
dachten,pensaban
dachtest,pensabas
dad,papá
daheim,caliente
dahinter,detrás
daisy,margarita
danke,gracias
dar,ahí/presente
darf,puede/tiene permiso
darfst,puedes/tienes permiso
darm,intestino
darunter,debajo/entre ellos
dastehen,estar ahí parado
dateien,archivos
dauert,dura (tiempo)
dazwischen,ropa sucia/colada
daß,que (conjunción)
dealer,camello/traficante
definitiv,definitivamente
deine,tu/tus
deinem,tu/a tu
deinen,tu/tus
deiner,de tu/tuya
deines,de tu/tuyo
dem,al/el (dativo)
demselben,mismo
den,el/al (acusativo)
denkst,piensas
deputy,ayudante del sheriff
deren,cuyo/de ellos
derjenige,aquel que
des,del
dessen,cuyo/de eso
desto,cuanto (más...)
Detail,detalle
detailliert,detallado
deuten,indicar/interpretar
deutsche,alemana
deutschland,Alemania
di,martes (Di)
Diagnose,diagnóstico
Dialog,diálogo
dicken,gordos
dicker,gordo
Dieb,ladrón
diebin,ladrona
diejenige,aquella
diejenigen,aquellos
Dienst,servicio/turno
dienste,servicios
dieselbe,la misma
diesen,este/estos
dieses,este/esto
differenziert,diferenciado
Ding,cosa
dinge,cosas
dingen,cosas
dings,cosa
dinner,cena
direktorin,directora
diskret,discreto
dna,ADN
dns,ADN
dock,muelle
Dollar,dólar
donner,trueno
Donnerstag,jueves
donnerwetter,caramba/trueno
doof,tonto
doppelt,doble
doppelte,doble
doppelten,dobles
dorfler,aldeano
dorthin,allí (hacia allí)
dose,lata
dosen,latas
drachen,dragones/cometas
draht,alambre
dramatisch,dramático
dramatische,dramática
draufgehen,palmarla/morir
draus,de eso (daraus)
draußen,fuera
dreckige,sucia
dreckigen,sucios
drecksack,cabrón/basura
dreckskerl,cerdo/cabrón
drehbuch,guion
drehst,giras
dreht,gira/rueda
drehung,giro
dringt,penetra
dritten,tercero
drittes,tercero
drohen,amenazar
drohung,amenaza
drum,por eso
dschungel,selva
dulde,tolero
dumme,tonta
dummen,tontos
dummer,tonto
dummes,tonto
Dummheit,caliente
dummheiten,caliente
Dunkelheit,caliente
dunkeln,oscuridad
dunkle,oscura
dunklen,oscuros
durchaus,absolutamente/sin duda
durchdrehen,volverse loco
durchgedreht,vuelto loco
durchgehen,repasar/dejar pasar
durchgeknallt,chiflado
durchmachen,pasar por/sufrir
durchsucht,registrado
durchsuchungsbefehl,orden de registro
durchzufuehren,llevar a cabo
durfte,podía/tenía permiso
echte,verdadera
echter,verdadero
echtes,verdadero
effizient,eficiente
ego,ego
eh,de todas formas/eh
Ehefrau,esposa
ehemaenner,maridos
ehemaliger,antiguo/ex
Ehre,honor
ehrenhaft,honorable
ehrenwerte,honorable
ehrenwort,palabra de honor
ehrlichkeit,honestidad
eid,juramento
eigene,propia
eigener,propio
eigentliche,real/verdadero
Eile,prisa
Einbrecher,ladrón
eindringen,penetrar/invadir
eine,una
einen,uno/un
einer,uno/alguien
einfache,sencilla
einfachen,sencillos
einfaellt,ocurre (idea)
eingeben,introducir/entrar
eingefallen,ocurrido (idea)
eingefroren,congelado
eingegangen,entrado/recibido
eingehend,minucioso/a fondo
eingeklemmt,atrapado/apretado
eingeladen,invitado
eingerichtet,amueblado/configurado
eingeschaltet,encendido
eingeschlagen,roto (ventana)/tomado (camino)
eingesetzt,empleado/usado
eingestellt,contratado/ajustado
eingetreten,entrado/sucedido
eingetroffen,llegado
eingezogen,mudado/reclutado
einheiten,caliente
einiger,algún
einiges,algo/bastante
einjagen,meter (miedo)
Einladung,invitación
einladungen,invitaciones
einmischen,entrometerse
einnahmen,ingresos
einnehmen,tomar/ocupar
einsamen,solitarios
einsamkeit,soledad
einschlafen,dormirse
einschuechtern,intimidar
einspruch,protesta/objeción
einst,antaño/una vez
eintreffen,llegar
Eintritt,entrada
eintrittskarte,entrada
einwandfrei,impecable
einzelheiten,caliente
einzelne,individuales
einzigartig,único
einzigen,únicos
einziger,único
einzudringen,penetrar/invadir
Eis,hielo/helado
Eisenbahn,ferrocarril
ekelhaft,asqueroso
Elektrizität,electricidad
elektronische,electrónica
elemente,elementos
elend,miseria
elf,once
ellbogen,codo
emotional,emocional
emotionen,emociones
empfange,recibo
empfinde,siento
empfindest,sientes
empfindlich,sensible
endlich,finalmente (endlich)
Energie,energía
engagieren,contratar
engagiert,contratado/comprometido
england,Inglaterra
englisch,inglés
englischen,inglés
enkelin,nieta
entdeckt,descubierto
entdeckte,descubrió
entferne,quito/alejo
entfernt,lejano/alejado
entfernten,lejanos
entfuehrer,secuestrador
entgegen,en contra/hacia
entkam,escapó
entkommt,escapa
entscheide,mierda
entscheidend,decisivo
entscheidest,mierda
entscheidet,mierda
Entscheidung,mierda
entscheidungen,mierda
entschied,decidió
entschieden,se llamaba
entschuldige,disculpa
entspann,relájate
entspanne,relajo
entspannen,relajarse
entspannt,relajado
entspricht,corresponde
entsteht,surge/se origina
enttaeuscht,decepcionado
entweder,o (bien)
entwickelt,desarrollado
Entwicklung,desarrollo
episode,episodio
erben,heredar
erdbeben,terremoto
erden,tierra
ereignisse,eventos
erfahren,experimentar/enterarse
erfahrungen,experiencias
erfasst,captado/comprendido
erfinder,inventor
erfindungen,inventos
Erfolg,éxito
erfordert,requiere
erfüllen,cumplir
ergab,dio como resultado
ergebe,rindo
ergeben,rendirse/dar como resultado
ergebnisse,resultados
ergehen,pasar/suceder
ergreifen,romper/arrancar
ergriffen,conmigo/agarrado
erhaengt,ahorcado
erheben,levantar
erhielt,se llamaba
erholt,recuperado
erinnere,recuerdo
erinnerst,recuerdas
erinnert,recuerda
erinnerte,recordó
erinnerungen,recuerdos
erkannt,reconocido
erkannte,reconoció
erkenne,reconozco
erkennt,reconoce
Erkenntnis,conocimiento/hallazgo
erklären,explicar
erlaubte,permitió
erlebt,vivido/experimentado
Erleichterung,alivio
erleiden,sufrir
erläutern,explicar
Erläuterung,explicación
ermitteln,investigar
ermittelt,investiga
ermittlungen,investigaciones
ermorden,asesinar
ermordet,asesinado
ermordung,asesinato
ernaehrt,alimenta
erneut,de nuevo
ernste,seria
ernstes,serio
erpressen,chantajear
erpresst,chantajeado
erregt,excitado/alterado
erreichbar,disponible/alcanzable
erreicht,alcanzado
erscheinen,cagón
erschienen,dispara
erschiessen,dispara
erschießt,dispara
erschlagen,matar a golpes
erschoss,mató a tiros
erschossen,muerto a tiros
erspart,ahorrado
erste,primera
ersten,primero
erstens,primero
erstmal,por ahora/primero
erstmals,por primera vez
erteilen,conceder/dar
erteilt,concedido
ertrage,soporto
ertragen,soportar
ertrunken,ahogado
erwartest,esperas
erwartet,esperado
erwecken,despertar
erweisen,blanco
erwischt,pillado
erwischte,pilló
erzeugen,generar/producir
erzeugt,generado/producido
erzogen,educado
eskorte,escolta
esse,como
esst,comed
Etage,planta/piso
eule,búho
eurem,vuestro
euren,vuestro
eurer,vuestro
eures,vuestro
europa,Europa
evakuieren,evacuar
evakuiert,evacuado
Evolution,evolución
ewigen,eternos
ewigkeit,eternidad
exakt,exacto
existiert,existe
exklusiv,exclusivo
expedition,expedición
Experiment,experimento
experten,expertos
exzellenz,excelencia
ey,oye
f,f
fabelhaft,fabuloso
Fachrichtung,especialidad
faehigkeiten,habilidades
faengt,atrapa/empieza
fahne,bandera
fahr,conduce/ve
fahre,conduzco
fahren,conducir/ir
fahrkarten,billetes
faiien,caer (fallen)
fakultaet,facultad
fall,caso/caída
fallschirm,paracaídas
familien,familias
fanden,encontraron
fandest,encontrabas
fang,atrapa
fans,fans
farben,colores
farbigen,de color
farm,granja
fasst,agarra
faszinierend,fascinante
fauler,vago
faust,puño
Fax,fax
Feder,pluma/muelle
federn,plumas
fehlst,faltas/te echo de menos
fehlte,faltaba
feierlich,solemne
feiert,celebra
Feiertag,día festivo
feige,cobarde
feigling,cobarde
felder,campos
fell,piel/pelaje
felsen,roca
fern,lejos
Fernbedienung,mando a distancia
ferne,lejanía
fernglas,prismáticos
fersen,talones
fertigmachen,terminar/acabar con
fesseln,ataduras/encadenar
feste,fiestas/firme
fester,más fuerte/fijo
festgestellt,comprobado/constatado
festung,fortaleza
festzuhalten,sujetar/detener
fette,gorda/grasa
feuchte,húmeda
feuchten,húmedos
feuern,disparar/despedir
fick,follar
ficken,follar
fickst,follas
fickt,follad
fiel,cayó
fielen,cayeron
figuren,figuras/personajes
filme,películas
filmen,películas/filmar
films,de la película
filmstar,estrella de cine
finde,encuentro
fing,atrapó/empezó
fingern,dedos
finsternis,tinieblas
Firma,empresa
fischen,pescar
fischer,pescador
flagge,bandera
flaschen,botellas
flecken,manchas
fliege,vuelo/mosca
fliegst,vuelas
fliegt,vuela
fließt,fluye
flinte,escopeta
flirten,ligar
flossen,balsa
flotte,flota
floß,balsa
fluch,maldición
fluesse,ríos
fluestern,susurrar
fluestert,susurra
flugzeuge,aviones
folgende,siguiente
folgenden,siguientes
folgern,deducir
folgt,sigue
folgte,siguió
foltern,torturar
football,fútbol americano
fordert,exige
forderungen,exigencias
formen,formas
forscher,investigador
Fortschritt,progreso
Fotograf,fotógrafo
fotze,coño (vulgar)
fragt,pregunta
fragte,preguntó
fragten,preguntaron
franzose,francés
franzosen,franceses
frauen,mujeres
freak,bicho raro
freie,libre
Freiheit,caliente
freilassen,romper/arrancar
freiwillige,voluntarios
freiwilligen,romper/arrancar
fremde,extraños/extranjeros
fremden,extranjeros/extraños
fremder,extranjero/extraño
Freude,alegría
freue,alegro
freunde,amigos
freunden,amigos
freundinnen,amigas/novias
freundliche,amable
freundlichen,amables
freust,alegras
freut,alegra
friedlich,pacífico
frische,fresca
frischen,frescos
frisches,fresco
Friseur,peluquero
frisst,come (animal)
froehliches,alegre
frohe,feliz
Frucht,fruta
fruechte,frutas
fruehe,temprana
ft,pies (medida)
fuchs,zorro
fuehle,siento
fuellen,llenar
fuenften,quinto
fürchten,temer
fuhr,condujo
fuhren,condujeron
funkkontakt,contacto por radio
furchtbare,terrible
Fußball,fútbol
gaben,dieron/dones
Gang,pasillo/marcha/banda
gans,ganso
ganze,toda
ganzes,todo/entero
garantiere,garantizo
gate,puerta (aeropuerto)
gattin,esposa
gauner,estafador
geachtet,respetado
geantwortet,respondido
gearbeitet,trabajado
geb,doy
gebaeuden,edificios
gebaut,construido
gebe,doy
gebeten,pedido
gebetet,rezado
Gebiet,área/territorio
gebissen,mordido
geblasen,soplando
geboren,nacido
geborene,nacida
geboten,ofrecido
gebracht,traído
Gebrauch,uso
gebraucht,usado/necesitado
gebrochen,roto
gebunden,atado
Geburtstag,cumpleaños
gedanken,pensamientos
gedauert,durado
Gedicht,poema
gedichte,poemas
gedreht,girado/rodado
gedroht,amenazado
gedruckt,impreso
Geduld,paciencia
geehrt,honrado
geeignet,adecuado
gefaellst,gustas
Gefängnis,cárcel
gefahren,conducido/peligros
gefalle,gusto
gefangene,prisionera
gefangener,prisionero
gefecht,combate
gefehlt,faltado
gefeiert,celebrado
gefesselt,atado
gefeuert,despedido
gefickt,jodido (vulgar)
geflogen,volado
gefolgt,seguido
gefragt,preguntado
gefressen,comido (animal)
gefreut,alegrado
gefuettert,alimentado
gefunden,encontrado
gegangen,ido
gegenmittel,antídoto
gegenstaende,objetos
Gegenteil,contrario
geglaubt,creído
geh,vete
gehabt,tenido
gehandelt,actuado/comerciado
gehasst,odiado
gehe,voy
geheilt,curado
geheimdienst,caliente
geheime,caliente
Geheimnis,caliente
geheimnisse,caliente
gehirne,cerebros
gehirnerschuetterung,conmoción cerebral
gehoerst,perteneces
gehofft,esperado
geholfen,ayudado
gehorchen,obedecer
geht,va
gehts,va (cómo va)
geier,buitre
geile,cachonda/genial
Geisel,rehén
Geist,espíritu/fantasma
geiste,espíritu
geister,fantasmas
gejagt,cazado
gekauft,comprado
geklappt,funcionado
geklaut,robado (coloquial)
gekostet,costado
gelacht,reído
geladen,cargado
gelandet,aterrizado
gelangen,llegar/acceder
gelangt,llegado
gelaufen,corrido/funcionado
gelbe,amarilla
gelben,amarillos
gelegentlich,ocasionalmente
gelegt,puesto
geleitet,dirigido
gelernt,aprendido
geliebte,amante/amada
geliebten,amado/amante
geliefert,entregado
gelitten,sufrido
geloescht,borra/apaga
gelogen,mentido
gelungen,logrado
gemalt,pintado
gemeinde,comunidad/municipio
gemeine,mala/mezquina
gemeinsamen,comunes
gemeldet,informado/reportado
gemocht,gustado
genannt,llamado
genannten,mencionados
genaue,exacta
genauen,exactos
genehmigt,aprobado/autorizado
genehmigung,permiso
generationen,generaciones
genetische,genética
genick,nuca
genieß,disfruto
genommen,tomado
genossen,disfrutado/camaradas
gentleman,caballero
genutzt,usado
geopfert,sacrificado
gepackt,empacado/agarrado
gepflegt,cuidado
geraeumt,desalojado
geraeusche,ruidos
geraten,aconsejado/caído en
gerede,habladuría
geregelt,regulado/arreglado
gereist,viajado
gerettet,salvado
gerichtet,dirigido
geriet,cayó (en una situación)
geringsten,menor/mínimo
geritten,montado (a caballo)
gerufen,llamado
gesagt,dicho
gesammelt,recogido/coleccionado
gesamten,todo/completo
geschadet,dañado
geschaefte,negocios
geschaetzt,estimado/apreciado
geschafft,logrado
geschichten,historias
geschieden,se llamaba
geschieht,se llamaba
geschlafen,dormido
geschlagen,golpeado/batido
geschleppt,arrastrado
geschnitten,cortado
geschossen,disparado
geschrei,griterío
geschrieben,escrito
geschrien,gritado
gesegnet,bendecido
Gesellschaft,sociedad
gesessen,sentado
gesetze,leyes
gesichert,asegurado
Gesicht,cara
gesichtern,caras
gesichtet,avistado
gesiegt,vencido
gesperrt,bloqueado
gesprochen,hablado
gestank,hedor
gestatten,permitir
gestattet,permitido
gesteckt,metido
gestehen,confesar
gestellt,puesto/colocado
gestiegen,subido
gestoert,perturbado/molestado
gestohlen,chocado/empujado
gestoppt,parado
gestorben,chocado/empujado
gestoßen,chocado/empujado
gestuerzt,caído
gesucht,buscado
gesunde,sana
gesungen,cantado
getauft,bautizado
getauscht,cambiado
geteilt,compartido/dividido
getestet,probado
getragen,llevado/usado (ropa)
getreten,pisado/pateado
getroffen,encontrado/acertado
getue,fingimiento/teatro
gewaehlt,elegido
gewagt,atrevido
gewahrsam,custodia
gewaltsam,violento
gewann,ganó
gewartet,esperado
gewaschen,lavado
gewechselt,cambiado
geweckt,despertado
gewehre,fusiles
gewinner,ganador
gewinnt,gana
gewisser,cierto
Gewitter,tormenta
gewollt,querido
gewonnen,ganado
geworden,llegado a ser
geworfen,tirado
gewusst,sabido
gezahlt,pagado
gezeigt,mostrado
gezwungen,obligado
gib,da
Gift,veneno
gig,concierto/bolo
gilt,es válido/se considera
gin,ginebra
gingen,fueron
gingst,fuiste
gips,yeso
girl,chica
gitter,rejas
giueck,suerte (glück)
Glas,vaso/vidrio
glaub,creo
glaubens,de la fe
glaubte,creía
glaubten,creían
gleiche,misma
gleichen,mismos/iguales
gleichfalls,igualmente
global,global
globale,global
glocke,campana
glocken,campanas
glueckliches,feliz
gluecks,de la suerte
Glückwunsch,felicidades
goetter,dioses
goettin,diosa
goettlichen,divino
goldenen,dorados
golf,golf
golfplatz,campo de golf
gottes,de Dios
graeber,tumbas
graf,conde
gral,grial
granate,granada
grande,grande
grau,gris
grauen,horror
grauer,gris
grausam,cruel
greif,agarra
greifen,agarrar
greift,ataca/agarra
grenzen,fronteras/límites
griechischen,griego
griffen,agarraron/atacaron
grob,tosco/grosero
grosses,grande
großartiger,grandioso
große,grande
großem,gran
großen,grandes
Großmutter,tienes que
Großvater,abuelo
grunzen,gruñido
Gruppe,grupo
gruppen,grupos
guck,mira
gucken,mirar
guete,bondad
guetig,bondadoso
Gunst,favor
gurt,cinturón
guten,buenos
ha,ja
haare,pelo
haaren,pelo (cabellos)
hab,tengo (coloquial)
hacken,picar/hackear
haendchen,manita
hängen,colgar
haette,hubiera/habría
haeuser,casas
haftbefehl,orden de detención
hai,tiburón
haitet,parad (haltet)
haken,gancho
halb,medio
halben,medio
halbes,medio
hallen,naves/pabellones
Hallo,hola
halloween,Halloween
halte,paro/sostengo
haltet,parad/sostened
Handel,comercio
