German_Lemma,Spanish_Translation
dauern,durar
denken,pensar
denn,porque
deshalb,por eso
deutlich,claramente
dick,gordo
ding,cosa
direkt,directamente
disco,
diskutieren,discutir
doch,sí
doppelzimmer,habitación doble
dorf,pueblo
dort,allí
dorther,
dorthin,allí (hacia allí)
draußen,fuera
dringend,urgente
drinnen,dentro
drucken,imprimir
drucker,impresora
drüben,allí
drücken,pulsar
dumm,tonto
dunkel,oscuro
durch,a través de
durst,sed
dusche,ducha
dünn,delgado
dürfen,poder
E-Book,libro electrónico
e-mail,correo electrónico
echt,de verdad
ecke,esquina
egal,igual
ehefrau,esposa
ehemann,esposo
ehepartner,
ei,huevo
eigenes,propio
eigentlich,en realidad
eilig,con prisa
ein-paar,
einfach,fácil
eingang,entrada
einige,algunos
einkaufen,ir de compras
Einkaufszentrum,centro comercial
einladen,invitar
einladung,invitación
einmal,una vez
einpacken,empaquetar
einsteigen,subir
eintritt,entrada
einverstanden-sein,
einzelkind,
einzeln,individual
einzelzimmer,habitación individual
einziehen,mudarse
eis,hielo
empfehlen,recomendar
empfänger,destinatario
ende,final
enden,terminar
endlich,finalmente
eng,estrecho
entschuldigung,disculpa
Erdgeschoss,planta baja
Erfahrung,experiencia
erklären,explicar
erkältet-sein,
erlauben,permitir
Erlaubnis,permiso
erlaubt-sein,
Ermäßigung,descuento
erreichen,llegar
erst,primero
erwachsene,adulto
erzählen,contar
essen,comer
essen_1,
etwas,algo
Fach,asignatura
fahren,conducir/ir
fahrkarte,billete
Fahrplan,horario
fahrrad,bicicleta
fallen,caer
falsch,falso
familie,familia
familienname,apellido
Fan,fan
fantastisch,fantástico
farbe,color
fast,casi
faul,vago
fehlen,faltar
fehler,error
feier,celebración
feierabend,fin de la jornada laboral
feiern,celebrar
feiertag,día festivo
fenster,ventana
ferien,vacaciones
fernsehen,ver la tele
Fernseher,televisor
fertig-sein,
fest,fiesta
Festival,festival
fett,graso
fieber,fiebre
film,película
finden,encontrar
firma,empresa
fisch,pescado
fit-sein,
flasche,botella
fleisch,carne
fleißig,trabajador
fliegen,volar
Flohmarkt,mercadillo
Flug,vuelo
flughafen,aeropuerto
flugzeug,avión
Fluss,río
formular,formulario
foto,foto
Fotoapparat,cámara de fotos
fotografieren,fotografiar
frage,pregunta
fragen,preguntar
frau,mujer
frei,libre
freiwillig,voluntario
freizeit,tiempo libre
fremd,extranjero
freund,amigo
freundin,
freundlich,amable
frisch,fresco
froh,alegre
früh,antes
früher,
frühstück,desayuno
frühstücken,desayunar
Fundsachen,objetos perdidos
furchtbar,terrible
fuß,pie
fußball,fútbol
führerschein,carné de conducir
führung,visita guiada
für,para
Gabel,tenedor
ganz,entero
Garage,garaje
garten,jardín
gast,invitado
geben,dar
geboren,nacido
geburtsjahr,año de nacimiento
geburtsort,lugar de nacimiento
geburtstag,cumpleaños
geehrte,
gefallen,gustar
gefährlich,peligroso
gegen,contra
Gegenteil,contrario
gegenüber,enfrente
gehalt,sueldo
gehen,ir
gehören,pertenecer
geld,dinero
Geldbörse,monedero
gemüse,verdura
genau,exacto
genug,suficiente
gepäck,equipaje
gerade,recto
geradeaus,todo recto
Gericht,plato
gern,con gusto
Gerät,aparato
geschenk,regalo
Geschichte,historia
Geschirr,vajilla
geschäft,tienda
gesicht,cara
gespräch,conversación
gestern,ayer
gesund,sano
Gesundheit,salud
getränk,bebida
gewinnen,ganar
Gewitter,tormenta
Gitarre,guitarra
glas,vaso
glauben,creer
gleich,igual
gleis,vía
glück,suerte
glücklich,feliz
glückwunsch,felicitación
gratulieren,felicitar
grillen,hacer una barbacoa
Grippe,gripe
groß,grande
gruppe,grupo
gruß,saludo
größe,talla
gut,bueno
gültig-sein,
günstig,barato
haar,pelo
haben,tener
halle,vestíbulo
hallo,hola
hals,cuello
halten,parar
haltestelle,parada
Hamburger,hamburguesa
hand,mano
Handtuch,toalla
handy,móvil
hart,duro
Hauptstadt,capital
haus,casa
Haushalt,hogar
Heft,cuaderno
heimat,patria
heiraten,casarse
Heizung,calefacción
heiß,caliente
heißen,llamarse
helfen,ayudar
hell,claro
Hemd,camisa
her-kommen,
heraus,afuera
herd,cocina
herein,adentro
herr,señor
herstellen,fabricar
herunterladen,descargar
herzlich,cordial
heute,hoy
hier,aquí
hilfe,ayuda
Himmel,cielo
hin,hacia
hinaus,hacia fuera
hinein,
hinten,detrás
hinter,detrás de
hobby,afición
hoch,alto
hochzeit,boda
hoffen,esperar
hoffentlich,ojalá
holen,ir a buscar
Homepage,página web
hose,pantalones
hotel,hotel
hund,perro
hunger,hambre
husten,toser
hähnchen,pollo
hängen,colgar
hässlich,feo
hören,oír
idee,idea
immer,siempre
in,en
information,información
Insel,isla
Instrument,instrumento
intelligent,inteligente
interessant,interesante
Interesse,interés
international,internacional
internet,internet
Interview,entrevista
ja,sí
jacke,chaqueta
Jeans,vaqueros
jeden,cada
jedes,cada
jemand,alguien
jetzt,ahora
job,trabajo
joggen,hacer footing
Jugendherberge,albergue juvenil
jugendliche-männlich,
jugendliche-weiblich,
jung,joven
junge,chico
kaffee,café
Kalender,calendario
kalt,frío
Kamera,cámara
kaputt,roto
karte,tarjeta
kartoffel,patata
kasse,caja
katze,gato
kaufen,comprar
Kaufhaus,grandes almacenes
kein,ningún
Keller,sótano
kennen,conocer
kennenlernen,conocer a alguien
kenntnisse,
Kette,cadena
kind,niño
kindergarten,guardería
kino,cine
kiosk,quiosco
Kirche,iglesia
klappen,funcionar
klar,claro
Klavier,piano
kleid,vestido
kleidung,ropa
klein,pequeño
klug,listo
kochen,cocinar
koffer,maleta
kollege,colega
kollegin,colega/compañera
komisch,raro
kommen,venir
Kontakt,contacto
konto,cuenta
kontrollieren,controlar
Konzert,concierto
kopf,cabeza
Kosmetik,cosmética
kosten,costar
kostenlos,gratis
krank,enfermo
Krankenhaus,hospital
Krankenkasse,seguro médico
Krankheit,enfermedad
Kredit,crédito
Kreuzung,cruce
kriegen,conseguir
Krimi,novela negra
kuchen,pastel
Kultur,cultura
kunde,cliente
kundin,
Kunst,arte
kurs,curso
kurz,corto
käse,
können,poder
Körper,cuerpo
küche,cocina
kühl,fresco
kühlschrank,nevera
kündigen,despedir
lachen,reír
laden,tienda
Lampe,lámpara
land,país
Landschaft,paisaje
lang,largo
lange,mucho tiempo
langsam,despacio
langweilig,aburrido
Laptop,portátil
lassen,dejar
laufen,correr
laut,alto
leben,vivir
leben_1,
lebensmittel,alimento
leer,vacío
legen,poner
leicht,fácil
leider,lamentablemente
leidtun,sentir
leihen,prestar
leise,bajo
lernen,aprender
lesen,leer
letzte,última
leute,gente
licht,luz
lieben,amar
lieber,preferiblemente
lieblingsfarbe,
lied,canción
liefern,entregar
liegen,estar tumbado
Link,enlace
links,izquierda
lokal,bar
Lust,gana
lustig,divertido
Löffel,cuchara
Lüge,mentira
lügen,mentir
machen,hacer
Magen,estómago
Mailbox,buzón de voz
mal,vez
mal_1,
malen,pintar
man,se
manche,algunos
manchmal,a veces
mann,hombre
Mannschaft,equipo
Mantel,abrigo
markt,mercado
maschine,máquina
Medikament,medicamento
meer,mar
mehr,más
meinen,opinar
Meinung,opinión
meisten,mayoría
meistens,la mayoría de las veces
Menge,cantidad
mensch,persona
merken,darse cuenta
Messe,feria
Messer,cuchillo
miete,alquiler
mieten,alquilar
milch,leche
mindestens,por lo menos
Mineralwasser,agua mineral
mit,con
Mitarbeiter,empleado
mitbringen,traer consigo
mitkommen,acompañar
mitmachen,participar
mitnehmen,llevar consigo
mitspielen,jugar con/participar
Mittagessen,almuerzo
mitte,centro
Mittel,medio
Mobiltelefon,teléfono móvil
Mode,moda
modern,moderno
moment,momento
morgen,mañana
Motor,motor
Motorroller,scooter
mund,boca
Museum,museo
musik,música
mädchen,chica
männlich,masculino
möbel,muebles
möchten,querer
mögen,gustar
möglich,posible
müde,cansado
Müll,basura
müssen,deber
Mütze,gorro
nach,a
Nachbar,vecino
nachbarin,vecina
Nachricht,noticia
name,nombre
nass,mojado
Natur,naturaleza
natürlich,por supuesto
neben,al lado
nebenan,al lado
neblig,con niebla
nehmen,coger
nein,no
nennen,llamar
nervös,nervioso
nett,amable
neu,nuevo
nicht,no
nichts,nada
nie,nunca
niemand,nadie
nirgends,en ninguna parte
noch,todavía
normal,normal
note,nota
notieren,anotar
Notiz,nota
notwendig,necesario
Nudel,pasta
nummer,número
nur,solo
nächste,
Nähe,cercanía
nützlich,útil
oben,arriba
obst,fruta
oder,o
offen,abierto
oft,a menudo
ohne,sin
ohr,oreja
online,en línea
Orange,naranja
ordnung,orden
organisieren,organizar
ort,lugar
paar,par
packen,hacer la maleta
Paket,paquete
papier,papel
papiere,papeles
Parfüm,perfume
park,parque
parken,aparcar
partner,pareja
partnerin,socia/compañera
party,fiesta
pass,pasaporte
passen,quedar bien
passieren,ocurrir
Passwort,contraseña
pause,pausa
person,persona
Pferd,caballo
Pflanze,planta
pizza,pizza
Plakat,cartel
plan,plan
planen,planear
platz,plaza
plötzlich,de repente
polizei,policía
pommes-frites,
Portion,porción
post,correos
Poster,póster
Postkarte,postal
postleitzahl,código postal
praktikum,prácticas
praktisch,práctico
praxis,consulta
preis,precio
preiswert,barato
privat,privado
pro,por (pro)
probieren,probar
problem,problema
Produkt,producto
Programm,programa
Projekt,proyecto
prospekt,folleto
prüfen,comprobar
prüfung,examen
Pullover,jersey
putzen,limpiar
pünktlich,puntual
Qualität,calidad
Quiz,concurso
Radio,radio
raten,adivinar
Rathaus,ayuntamiento
rauchen,fumar
raum,habitación
rechnen,calcular
rechnung,factura
recht-haben,
rechts,derecha
reden,hablar
regen,lluvia
regnen,llover
reich,rico
Reifen,neumático
Reihe,fila
Reinigung,limpieza
reis,arroz
reise,viaje
reisebüro,agencia de viajes
reiseführer,guía de viaje
reisen,viajar
reiten,montar
renovieren,renovar
Rentner,jubilado
rentnerin,
reparatur,reparación
reparieren,reparar
reservieren,reservar
Rest,resto
restaurant,restaurante
Rezept,receta
rezeption,recepción
richtig,correcto
riechen,oler
Rind,ternera
Ring,anillo
Rock,falda
romantisch,romántico
Rose,rosa
Rucksack,mochila
rufen,llamar
Ruhe,tranquilidad
ruhig,tranquilo
rund,redondo
Rundgang,recorrido
Rätsel,acertijo
Rücken,espalda
sache,cosa
saft,zumo
sagen,decir
salat,ensalada
salz,sal
sammeln,coleccionar
satz,frase
sauber,limpio
sauer,ácido
schade,lástima
schaffen,lograr
schalter,ventanilla
scharf,picante
scheinen,brillar
schenken,regalar
Schere,tijeras
schicken,enviar
Schiff,barco
schild,señal
schimpfen,regañar
Schirm,paraguas
schlafen,dormir
Schlafzimmer,dormitorio
schlecht,malo
schließen,cerrar
schlimm,grave
Schloss,castillo
schluss,fin/conclusión
schlüssel,llave
schmecken,saber
Schmerz,dolor
schmutzig,sucio
Schnee,nieve
schneien,nevar
schnell,rápido
Schokolade,chocolate
schon,ya
schrank,armario
schrecklich,terrible
schreiben,escribir
schriftlich,por escrito
schuh,zapato
schule,escuela
schwach,débil
schwanger,embarazada
Schwein,cerdo
schwer,difícil
schwierig,difícil
schwimmbad,piscina
schwimmen,nadar
schädlich,dañino
schön,bonito
schüler,alumno
schülerin,
see-meer,
see-teich,
sehen,ver
sehenswürdigkeit,monumento
sehr,muy
Seife,jabón
sein,ser
seit,desde
seite,lado
selbst,mismo
Sendung,programa
Service,servicio
sich-anmelden,
sich-ausruhen,
sich-bedanken,
sich-beeilen,
sich-beschweren,
sich-bewerben,
sich-duschen,
sich-eintragen,
sich-entschuldigen,
sich-erinnern,
sich-freuen,
sich-fühlen,
sich-interessieren,
sich-kümmern,
sich-schneiden,
sich-setzen,
sich-streiten,
sich-treffen,
sich-umziehen,
sich-unterhalten,
sich-verletzen,
sich-verlieben,
sich-vorstellen,
sich-waschen,
sich-ärgern,
sich-über-informieren,
sicher,seguro
singen,cantar
Situation,situación
sitzen,estar sentado
Ski,esquí
so,así
sofa,sofá
sofort,inmediatamente
sogar,incluso
sollen,deber
sonne,sol
sonnig,soleado
sonst,si no
spannend,emocionante
sparen,ahorrar
spazieren-gehen,
Spaziergang,paseo
Spaß,diversión
speichern,guardar
Speisekarte,carta
spiel,juego
spielen,jugar
sport,deporte
sportlich,deportivo
Sportplatz,campo de deportes
sprache,idioma
sprechen,hablar
Sprechstunde,horario de consulta
spät,tarde
später,más tarde
stadt,ciudad
Stadtplan,plano de la ciudad
Star,estrella
stark,fuerte
stattfinden,tener lugar
stehen,estar de pie
stelle,puesto
stellen,colocar
sterben,morir
Stiefel,bota
Stift,lápiz
stipendium,beca
stock,piso
Stockwerk,planta
Strand,playa
straße,calle
straßenbahn,tranvía
streng,estricto
Stress,estrés
stressig,estresante
student,estudiante
studentin,estudiante
studieren,estudiar
studium,estudios
stuhl,silla
stören,molestar
Stück,trozo
suchen,buscar
super,genial
Supermarkt,supermercado
Suppe,sopa
surfen,navegar
sympathisch,simpático
süß,dulce
Süßigkeiten,dulces
T-Shirt,camiseta
Tablet,tableta
Tablette,pastilla
Tafel,pizarra
tanzen,bailar
tasche,bolso
Taschengeld,paga
Tasse,taza
tauschen,intercambiar
taxi,taxi
Team,equipo
tee,té
teilen,compartir
teilnehmen,participar
telefon,teléfono
telefonieren,telefonear
Teller,plato
Tennis,tenis
termin,cita
teuer,caro
text,texto
Theater,teatro
thema,tema
ticket,billete
tief,profundo
Tier,animal
Tipp,consejo
tisch,mesa
Titel,título
toilette,baño
toll,genial
tomate,tomate
Topf,olla
Torte,tarta
tot,muerto
total,totalmente
Tour,excursión
Tourist,turista
touristin,
tragen,llevar
trainieren,entrenar
Training,entrenamiento
Traum,sueño
traurig,triste
treppe,escalera
trinken,beber
trocken,seco
träumen,soñar
tschüs,
tun,hacer
typisch,típico
tür,puerta
uhr,reloj
um,a las
umsteigen,hacer transbordo
umziehen,mudarse
umzug,
unbedingt,absolutamente
und,y
unfall,accidente
universität,universidad
unten,abajo
unter,debajo
Unterkunft,alojamiento
unternehmen,emprender
unterricht,clase
Unterschied,diferencia
unterschreiben,romper/arrancar
unterschrift,firma
untersuchen,examinar
unterwegs-sein,
urlaub,vacaciones
verabredet-sein,
Veranstaltung,evento
verbieten,prohibido
verboten-sein,
verdienen,ganar
verein,club
vereinbaren,
vergessen,olvidar
vergleichen,comparar
verkaufen,vender
Verkehr,tráfico
Verkehrsmittel,medio de transporte
verlieren,perder
vermieten,alquilar
vermieter,arrendador
vermieterin,
verpassen,perder
verreisen,irse de viaje
verschieben,posponer
verschieden,diferente
Verspätung,retraso
verstehen,entender
versuchen,intentar
Vertrag,contrato
viel,mucho
viele,muchos
vielleicht,quizás
Vogel,pájaro
voll,lleno
Volleyball,voleibol
von,de
vor,delante de
vorbei,pasado
vorbereiten,preparar
vorgestern,anteayer
vorher,antes
vorname,nombre
vorne,delante
Vorschlag,sugerencia
vorsichtig,con cuidado
vorwärts,hacia adelante
wach,despierto
Wagen,coche
wahr,verdadero
wahrscheinlich,probablemente
wald,bosque
wandern,hacer senderismo
wann,cuándo
warm,caliente
warten,esperar
warum,por qué
was,qué
wasser,agua
Webseite,página web
wechseln,cambiar
wecken,despertar
Weg,camino
weg-sein,
weg_1,
wegbringen,llevarse
wegen,a causa de
wegfahren,irse (en vehículo)
weggehen,irse
weglaufen,huir
wegmachen,
wegnehmen,quitar
wegwerfen,tirar (basura)
wehtun,doler
weiblich,femenino
weich,blando
weil,porque
wein,vino
weinen,llorar
weit,lejos
weiter,continuar
weiterhelfen,
weitermachen,continuar
welcher,cuál
welt,mundo
wem,a quién
wen,a quién
wenig,poco
wenigstens,por lo menos
wenn,cuando
wer,quién
werden,llegar a ser
Werkstatt,taller
Wettbewerb,concurso
wetter,tiempo
wichtig,importante
wie,cómo
wie-viel,
wieder,otra vez
wiederholen,repetir
wiederhören,hasta luego
wiedersehen,hasta la vista
willkommen,bienvenido
wind,viento
windig,
wirklich,de verdad
wissen,saber
Witz,chiste
witzig,gracioso
wo,dónde
woher,de dónde
wohin,a dónde
wohnen,vivir
wohnung,apartamento
Wohnzimmer,salón
Wolke,nube
wollen,querer
Workshop,taller
wort,palabra
wunderbar,maravilloso
Wunsch,deseo
Wurst,salchicha
wählen,elegir
wäsche,
wünschen,desear
zahl,número
zahlen,pagar
Zahn,diente
zeichnen,dibujar
zeigen,mostrar
zeit,tiempo
Zeitschrift,revista
zeitung,periódico
Zelt,tienda de campaña
zentrum,centro
Zettel,nota
Zeugnis,certificado
Ziel,meta
zimmer,habitación
Zirkus,circo
Zitrone,limón
Zoo,zoo
zu,a/hacia/cerrado/demasiado
zu-sein,
zucker,azúcar
zuerst,primero
zufrieden,satisfecho
zug,tren
zuhören,escuchar
zuletzt,por último
zum-beispiel,
zumachen,cerrar
zurück,de vuelta
zurückfahren,
zurückgeben,
zurückgehen,
zurückkommen,
zurücklaufen,
zusammen,juntos
zwischen,entre
ändern,
öffnen,abrir
öl,aceite
üben,practicar
über,sobre
überall,en todas partes
übermorgen,pasado mañana
übernachten,pernoctar
übersetzen,traducir
Übersetzung,traducción
überweisen,
